State_Name,State Cde,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,abadi bhagwan pur,249775,31.363861,74.785431,ABADI BHAGWAN PUR,21,1694
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,algon kalan,253490,31.270421,74.634681,ALGON KALAN,21,1211
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,algon khurd,249775,31.283841,74.637731,ALGON KHURD,21,8653
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,algon kothi,249776,31.280831,74.652481,ALGON KOTHI,21,8653
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,amishah,249777,31.391681,74.620861,AMISHAH,21,2026
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,baba sodhi ji di abadi,249837,31.348491,74.699151,BABA SODHI JI DI ABADI,21,4659
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,bagrari,249780,31.328701,74.784143,BAGRARI,21,446
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,bainka,249778,31.358521,74.752851,BAINKA,21,2763
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,balehar,249779,31.353741,74.730471,BALEHAR,21,2840
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,balehar khurd,249835,31.351761,74.724171,BALEHAR KHURD,21,2840
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,banika khurd,249838,31.355891,74.752981,BANIKA KHURD,21,2926
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,basarke,249781,31.298761,74.603551,BASARKE,21,2463
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,baserke khurd,253493,31.303912,74.603812,BASERKE KHURD,21,2463
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,bhagwanpur,249782,31.295901,74.676541,BHAGWANPUR,21,2526
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,bhai ladhu,249783,31.259691,74.681701,BHAI LADHU,21,6702
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,bhaini gurmukh singh,249784,31.324381,74.748921,BHAINI GURMUKH SINGH,21,1860
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,bhaini massa singh,249785,31.295191,74.640431,BHAINI MASSA SINGH,21,1496
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,bhikhiwind,249786,31.344611,74.692921,BHIKHIWIND,21,20526
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,boor chand,249788,31.316671,74.739741,BOOR CHAND,21,881
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,channa,249790,31.252071,74.657231,CHANNA,21,1566
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,chela,249789,31.333012,74.671251,CHELA,21,662
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,chung,249791,31.303241,74.651812,CHUNG,21,2137
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,daliri,249792,31.356061,74.593801,DALIRI,21,1254
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,dall,243491,31.344851,74.573241,DALL,21,4039
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,darajke,249795,31.333112,74.656331,DARAJKE,21,3955
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,dhun,249793,31.399261,74.674452,DHUN,21,1711
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,dialpura,249796,31.309141,74.742461,DIALPURA,21,2314
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,dode,249794,31.384191,74.606831,DODE,21,1186
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,farandipura,249797,31.361171,74.722713,FARANDIPURA,21,740
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,fatehpur sugga,249798,31.336271,74.769871,FATEHPUR SUGGA,21,689
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,ghurkwind,249799,31.330961,74.767181,GHURKWIND,21,2098
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,gillpan,249800,31.408112,74.617761,GILLPAN,21,330
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,hundal,249801,31.298712,74.603713,HUNDAL,21,123
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,kalsian kalan,249803,31.275271,74.703612,KALSIAN KALAN,21,3955
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,kalsian khurd,249804,31.378691,74.591773,KALSIAN KHURD,21,1521
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,kazi chak,249805,31.314961,74.696651,KAZI CHAK,21,403
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,khalra,249806,31.398961,74.614761,KHALRA,21,5831
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,khalra mandi,253492,31.400021,74.615821,KHALRA MANDI,21,5831
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,kotli sur singh,249807,31.409741,74.679152,KOTLI SUR SINGH,21,218
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,lakhna,249808,31.342251,74.779731,LAKHNA,21,1435
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,makhi kalan,249809,31.296712,74.713421,MAKHI KALAN,21,2772
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,margindh pura,249810,31.291691,74.736731,MARGINDH PURA,21,3666
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,mari gaur singh,249811,31.309241,74.684233,MARI GAUR SINGH,21,4659
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,mari kamboke,249812,31.333117,74.601839,MARI KAMBOKE,21,3929
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,mari mauabad,249814,31.290471,74.658451,MARI MAUABAD,21,815
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,mari megha,249813,31.353271,74.628871,MARI MEGHA,21,5867
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,mari samra,249815,31.320941,74.679861,MARI SAMRA,21,591
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,mari santpura,253495,31.315161,74.673253,MARI SANTPURA,21,2376
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,mari udhoke,249816,31.333721,74.619481,MARI UDHOKE,21,1955
PUNJAB,3,Tarn Taran,50,BHIKHI WIND,211,mughal chak,3825,31.378441,74.633361,MUGHAL CHAK,21,812
