State_Name,State Cde,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,arjanwal,9796,31.423362,75.689541,ARJANWAL,21,1695
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,bahaudinpur,9797,31.471312,75.759461,BAHAUDINPUR,21,260
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,bhagwanpur,9798,31.474232,75.763255,BHAGWANPUR,21,1900
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,bias pind,9800,31.451315,75.632308,BIAS PIND,21,4203
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,chomon,9801,31.427713,75.734134,CHOMON,21,3704
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,chuharwali,9802,31.397974,75.672174,CHUHARWALI,21,2713
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,chukhiara,9803,31.448072,75.786061,CHUKHIARA,21,1176
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,damunda,9804,31.416463,75.765153,DAMUNDA,21,1880
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,daroli kalan,9806,31.409874,75.783698,DAROLI KALAN,21,4767
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,daroli khurd,9807,31.401169,75.760489,DAROLI KHURD,21,1808
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,daulatpur,9809,31.429276,75.628513,DAULATPUR,21,1046
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,dhandour,9810,31.371848,75.731897,DHANDOUR,21,1008
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,dhandouri,9811,31.373905,75.744161,DHANDOURI,21,504
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,dhepur,9812,31.457414,75.760468,DHEPUR,21,822
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,dhogri,9814,31.398271,75.635168,DHOGRI,21,4280
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,diantpur,9816,31.451811,75.782309,DIANTPUR,21,334
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,dolike sunderpur,9818,31.460856,75.660275,DOLIKE SUNDERPUR,21,1698
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,duhre,9819,31.463049,75.675278,DUHRE,21,1406
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,fatehpur,9820,31.435019,75.728466,FATEHPUR,21,426
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,ghurial,9821,31.441951,75.795818,GHURIAL,21,2151
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,haripur,9822,31.389636,75.712977,HARIPUR,21,3292
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,jagrawan,9823,31.444084,75.663519,JAGRAWAN,21,423
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,jalbhey,9825,31.468423,75.756677,JALBHEY,21,851
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,jalpot,9826,31.388054,75.756091,JALPOT,21,447
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,jandu singha,9827,31.374884,75.650301,JANDU SINGHA,21,6334
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,kadiana,9828,31.443427,75.717996,KADIANA,21,1370
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,kalra,9829,31.398421,75.780055,KALRA,21,2019
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,kandola,9830,31.420182,75.754066,KANDOLA,21,1958
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,kapurpind,9831,31.374686,75.678961,KAPURPIND,21,2252
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,kathar,9832,31.456914,75.769517,KATHAR,21,1134
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,khiala,9833,31.428614,75.805856,KHIALA,21,163
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,khichipur,9834,31.378959,75.704084,KHICHIPUR,21,788
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,khurdpur,9835,31.438178,75.725852,KHURDPUR,21,2877
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,kishanpur,9836,31.481116,75.662048,KISHANPUR,21,778
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,koopur,9837,31.456983,75.763626,KOOPUR,21,1260
PUNJAB,3,JALANDHAR,37,ADAMPUR,277,kotli shekhan,9839,31.461646,75.653178,KOTLI SHEKHAN,21,268
