State_Name,State Cde,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,daulowal,8531,31.651556,75.764194,Daulowal,2,620
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,dehra,8532,31.703111,75.857361,Dehra,2,253
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,dehriwala,8534,31.729889,75.690611,Dehriwala,2,189
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,dhaki,8535,31.646889,75.873694,Dhaki,2,543
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,dharamkot,8536,31.702389,75.735306,Dharamkot,2,504
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,dhatt,8537,31.648056,75.707806,Dhatt,2,991
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,dherian,8542,31.815253,75.916444,Dherian,2,966
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,dholbaha,8538,31.735878,75.868722,Dholbaha,2,2738
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,dholowal,8539,31.744389,75.725639,Dholowal,2,492
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,dhugga kalan,8541,31.721574,75.695372,Dhugga Kalan,2,396
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,dhurian,8542,31.676639,75.744167,Dhurian,2,571
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,dhut,8540,31.695383,75.784271,Dhut,2,890
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,dhut khurd,9093,31.635278,75.734328,DHUT KHURD,2,890
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,fatehpur(423),8543,31.667167,75.84175,Fatehpur(423),2,1142
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,fatehpur(423),8543,31.770722,75.779889,Fatehpur(423),2,1142
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,gajj,8545,31.709806,75.816502,Gajj,2,566
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,galowal,8546,31.716917,75.746167,Galowal,2,646
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,ghagial,8547,31.663639,75.828444,Ghagial,2,358
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,gondpur,8548,31.730222,75.767861,Gondpur,2,1482
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,goraya,8549,31.655444,75.767389,Goraya,2,1295
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,gujar basoya,8550,31.800167,75.772254,Gujar Basoya,2,113
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,hajipur,8551,31.661944,75.776583,Hajipur,2,1827
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,hussainpur,8552,31.667361,75.725306,Hussainpur,2,1490
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,jai sahota kalan,8559,31.740944,75.740389,Jai sahota kalan,2,302
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,jalowal,8553,31.670556,75.772405,Jalowal,2,417
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,jamsher chathial,8554,31.779584,75.768167,Jamsher Chathial,2,1294
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,janauri,8555,31.712861,75.894222,Janauri,2,2266
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,jandy,8556,31.754618,75.772259,Jandy,2,253
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,jhambowal,8557,31.699361,75.745611,Jhambowal,2,713
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,jhujar chathial,8558,31.791583,75.761417,Jhujar Chathial,2,578
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,jia sahota khurd,8560,31.728278,75.712667,Jia Sahota Khurd,2,153
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,johal,8561,31.704778,75.690278,Johal,2,2060
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kabirpur shekhan(526),8563,31.628472,75.851861,Kabirpur Shekhan(526),2,425
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kabirpur(400),8562,31.672222,75.817333,Kabirpur(400),2,1320
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kahlwan,8564,31.684296,75.836198,Kahlwan,2,552
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kakrali,8566,31.767944,75.824751,Kakrali,2,420
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kalra,8567,31.762222,75.746722,Kalra,2,725
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kandhalian,8568,31.753222,75.769639,Kandhalian,2,682
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kang mai,8569,31.662556,75.816528,Kang Mai,2,1405
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kapat,8570,31.635806,75.944833,Kapat,2,1274
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kathorah,8571,31.771889,75.855961,Kathorah,2,1502
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kello,8565,31.622861,75.858917,Kello,2,1728
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,keshopur,8572,31.761389,75.760917,Keshopur,2,291
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,khabal,8573,31.600515,75.780344,Khabal,2,713
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,khadiala,8568,31.647194,75.718972,Khadiala,2,611
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,khangwarhi,8575,31.783083,75.856361,Khangwarhi,2,938
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,khanpur,8576,31.732972,75.693611,Khanpur,2,1363
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kheparh,8577,31.670583,75.863023,Kheparh,2,544
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,khiala bulanda,8578,31.693694,75.767806,Khiala Bulanda,2,655
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,khurda,8579,31.705722,75.779444,Khurda,2,975
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,koi,8580,31.813028,75.824965,Koi,2,1203
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kort,8580,31.727028,75.939222,Kort,2,508
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kotli,8583,31.691481,75.808278,Kotli,2,411
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,kukanet,8584,31.772694,75.913861,Kukanet,2,897
