State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, SHERTHA, 159176, 23.20112, 72.54735, SHERTHA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, JALUND, 159140, 23.26652, 72.54951, JALUND, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, VEDA, 159260, 23.411055, 72.550671, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, PALIYAD, 159236, 23.380475, 72.552449, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, KHORAJ, 159143, 23.15028, 72.55428, KHORAJ, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, JAMIYATPURA, 159141, 23.1751, 72.55557, JAMIYATPURA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, TINTODA, 159182, 23.2412, 72.55606, TINTODA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, PARSA, 253010, 23.450111, 72.556418, PARSA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, NAVA, 159234, 23.35842, 72.556464, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, NARDIPUR, 159232, 23.334642, 72.56228, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, ADRAJ MOTI, 159120, 23.26172, 72.567224, ADRAJ MOTI, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, SARDHAV, 159173, 23.30044, 72.56994, SARDHAV, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, BARU, 252985, 23.425732, 72.573004, BARU, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, JAMLA, 159219, 23.397069, 72.575022, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, KHARNA, 252999, 23.451951, 72.578789, KHARNA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, ADALAJ, 255670, 23.16609, 72.58087, ADALAJ, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, SOJA, 159251, 23.367725, 72.582917, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, HARNAHODA, 252996, 23.505033, 72.587067, HARNAHODA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, UVARSAD, 159184, 23.20876, 72.58727, UVARSAD, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, GOLTHARA, 159214, 23.348406, 72.588455, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, AMARAPUR, 159073, 23.456162, 72.590127, AMARAPUR, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, VAGOSANA, 159256, 23.406279, 72.59448, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, RUPAL, 159171, 23.31256, 72.5953, RUPAL, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, TARAPUR, 159181, 23.18576, 72.59712, TARAPUR, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, SAMOU, 242729, 23.48838, 72.597417, SAMOU, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, SONIPUR, 159179, 23.29026, 72.59931, SONIPUR, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, DHENDHU, 159211, 23.389337, 72.60177, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, MANSA, 4121, ITADRA, 252997, 23.435513, 72.604477, ITADRA, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, AMBAPUR, 159122, 23.14974, 72.60825, AMBAPUR, 21, 
GUJARAT, 24, GANDHINAGAR, 473, GANDHINAGAR, 4119, KOLAVDA, 159145, 23.26116, 72.60941, KOLAVDA, 21, 
