State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase,throughput
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, AMBI, 185807, 18.531475, 75.487419, AMBI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, ANANDWADI, 185808, 18.554894, 75.499642, ANANDWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, ANDRUD, 185809, 18.654083, 75.591194, ANDRUD, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, ANTRAGAON, 185811, 18.396093, 75.548495, ANTRAGAON, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, ARSOLI, 185813, 18.404419, 75.689086, ARSOLI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, ASTA, 185814, 18.408781, 75.616863, ASTA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, BAGALWADI, 185815, 18.571694, 75.572138, BAGALWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, BARANPUR, 185816, 18.481394, 75.614002, BARANPUR, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, BAVI, 185817, 18.517863, 75.559391, BAVI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, BEDERWADI, 185818, 18.543031, 75.520613, BEDERWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, BELGAON, 185819, 18.415363, 75.558002, BELGAON, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, BHOGALGAON, 185820, 18.455283, 75.593447, BHOGALGAON, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, CHANDWAD, 185823, 18.598947, 75.636586, CHANDWAD, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, CHINCHOLI, 185824, 18.487586, 75.637531, CHINCHOLI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, CHINCHPUR (D), 185825, 18.430613, 75.571641, CHINCHPUR (D), 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, CHUMBLI, 185826, 18.465363, 75.561951, CHUMBLI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, DANDEGAON, 185827, 18.554252, 75.455447, DANDEGAON, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, DEOGRA, 185829, 18.389472, 75.658111, DEOGRA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, DEOLALI, 185828, 18.365531, 75.695113, DEOLALI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, DHUDHODI, 185832, 18.580947, 75.534863, DHUDHODI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, DINDORI, 185830, 18.448141, 75.750561, DINDORI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, DOKEWADI, 185831, 18.634669, 75.641891, DOKEWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, EIDA, 185843, 18.381336, 75.535419, EIDA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, ERACHIWADI, 185845, 18.565027, 75.591694, ERACHIWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, GANEGAON, 185833, 18.426669, 75.517641, GANEGAON, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, GHATNANDUR, 185834, 18.582836, 75.622752, GHATNANDUR, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, GOLEGAON, 185837, 18.441281, 75.618641, GOLEGAON, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, GORMALA, 185838, 18.483252, 75.593531, GORMALA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, HADONGREE, 185839, 18.465363, 75.711752, HADONGREE, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, HIWARA, 185840, 18.462725, 75.737863, HIWARA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, HIWARDA, 185841, 18.494172, 75.533363, HIWARDA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, IEET, 185844, 18.620753, 75.602558, IEET, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, JAMB, 185846, 18.537527, 75.560751, JAMB, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, JAYWANTNAGAR, 185847, 18.528808, 75.514531, JAYWANTNAGAR, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, JEJALA, 185848, 18.567058, 75.476475, JEJALA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, JYOTIBACHI WADI, 185849, 18.616614, 75.549113, JYOTIBACHI WADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, KANADI, 185850, 18.404203, 75.556319, KANADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, LANGESHWAR, 185853, 18.661722, 75.585972, LANGESHWAR, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, MALEWADI, 185854, 18.658055, 75.563277, MALEWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, MANKESHWAR, 185855, 18.354975, 75.656863, MANKESHWAR, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, MATREWADI, 185856, 18.540641, 75.588502, MATREWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, NAGEWADI, 185857, 18.600561, 75.594451, NAGEWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, NALIWADGAON, 185858, 18.602197, 75.507475, NALIWADGAON, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, NANAJWADI, 185859, 18.563558, 75.516169, NANAJWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, NIPANI, 185860, 18.675805, 75.568666, NIPANI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, PAKRUD, 185861, 18.634336, 75.569502, PAKRUD, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, PATHRUD, 185863, 18.555697, 75.541836, PATHRUD, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, PATSANGVI, 185864, 18.489113, 75.522336, PATSANGVI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, RALESAWANGVI, 185866, 18.511336, 75.519391, RALESAWANGVI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, RAMESHWAR, 185867, 18.511919, 75.623725, RAMESHWAR, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, RAMKUND, 185868, 18.551555, 75.715166, RAMKUND, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, SADESANGVI, 185869, 18.443616, 75.585811, SADESANGVI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, SAVARGAON (D), 185870, 18.397416, 75.662333, SAVARGAON (D), 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, SAWARGAON (P), 185871, 18.583086, 75.511891, SAWARGAON (P), 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, SHEKAPUR, 185872, 18.390031, 75.643338, SHEKAPUR, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, SONEWADI, 185874, 18.624669, 75.676725, SONEWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, SONGIRI, 185873, 18.508305, 75.660777, SONGIRI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, SUKATA, 185875, 18.527086, 75.634141, SUKATA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, TAMBEWADI, 186275, 18.345333, 75.674003, TAMBEWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, TINTRAJ, 185876, 18.580113, 75.462697, TINTRAJ, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, ULUP, 185878, 18.497641, 75.615891, ULUP, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, UMACHIWADI, 185879, 18.590808, 75.559613, UMACHIWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, WADACHIWADI, 185880, 18.583611, 75.573777, WADACHIWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, WAKWAD, 185881, 18.529055, 75.697305, WAKWAD, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, WALHA, 185882, 18.449586, 75.495336, WALHA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, WALWAD, 185883, 18.456002, 75.524308, WALWAD, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, WANGARWADI, 185886, 18.428113, 75.708616, WANGARWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, WANGI (BK), 185884, 18.367419, 75.606975, WANGI (BK), 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, WANGI (KU), 185885, 18.383308, 75.598113, WANGI (KU), 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, WAREWADGAON, 185887, 18.467197, 75.621752, WAREWADGAON, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, BHOOM, 4494, WARUD, 185888, 18.495447, 75.595613, WARUD, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, KALAMB, 4495, ADHALA, 185889, 18.560416, 75.943916, ADHALA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, KALAMB, 4495, ADSULWADI, 185890, 18.602416, 75.922003, ADSULWADI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, KALAMB, 4495, ANDORA, 185891, 18.522027, 75.993166, ANDORA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, KALAMB, 4495, ATUREDI, 185892, 18.600888, 75.946527, ATUREDI, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, KALAMB, 4495, AWADSHIRPURA, 185893, 18.565251, 76.519777, AWADSHIRP, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, KALAMB, 4495, BABHALGAON, 185894, 18.444501, 75.929251, BABHALGA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, KALAMB, 4495, BAHULA, 185895, 18.644002, 75.912861, BAHULA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, KALAMB, 4495, BANGARWADI, 185896, 18.377583, 75.831138, BANGARWA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, KALAMB, 4495, BARATEWADI, 185898, 18.428666, 75.921444, BARATEWA, 1,2,
MAHARASHTRA, 27, OSMANABAD, 525, KALAMB, 4495, BHATSANGVI, 185900, 18.582527, 75.987722, BHATSANG, 1,2,
