State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase,throughput
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, AHUPE, 185262, 19.17681, 73.57052, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, AMBEDARA, 185263, 19.03571, 73.79098, AMBEDARA, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, AMBEGAON GAVTHAN, 185264, 19.03729, 73.841, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, AMBODI, 185265, 19.09125, 73.82684, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, ASANE, 185266, 19.16534, 73.67392, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, AWASARI BK., 185267, 18.96272, 74.00425, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, AWASARI KH., 185268, 18.97317, 73.96354, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, BHAGADI, 185269, 19.02917, 74.12588, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, BHARADI, 185270, 18.98709, 74.03036, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, BHAVADI, 185271, 18.9545, 73.98435, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, BHORGHAR, 185272, 19.14317, 73.72955, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, CHANDOLI BK., 185274, 19.02161, 73.97619, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, CHANDOLI KH., 185275, 19.01666, 73.97686, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, CHAPATEWADI, 185273, 19.1033, 74.77241, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, CHAS, 185276, 19.0518, 73.88153, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, CHIKHALI, 185277, 19.07724, 73.66016, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, CHINCHODI, 185278, 19.03113, 73.90366, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, CHINCHOLI, 185279, 19.05709, 73.85313, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, DEVGAON, 185280, 18.9852, 74.14095, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, DHAKALE, 185282, 19.01473, 73.7924, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, DHAMANI, 185281, 18.91682, 74.06661, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, DHONDMALA SHINDEWADI, 185283, 19.04966, 73.83518, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, DIMBE BK., 185284, 19.09448, 73.73949, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, DIMBE KH., 185285, 19.08508, 73.74507, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, EKLAHARE, 185286, 19.03743, 73.95438, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, GANGAPUR BK., 185288, 19.08053, 73.79063, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, GANGAPUR KH., 185287, 19.1087, 73.79785, GP Office, 1,2,
MAHARASHTRA, 27, PUNE, 521, AMBEGAON, 4511, GAWADEWADI, 185289, 18.95814, 73.99322, GP Office, 1,2,
