State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,
BIHAR,10,ARARIA,209,FORBESGANJ,1626,FORBESGANJ BLOCK,88888,26.31153,87.2454,FORBESGANJ BLOCK,1,
BIHAR,10,ARARIA,209,PALASI,1630,Palasi Block,88888,26.24015,87.566317,Palasi Block,1,
BIHAR,10,ARWAL,236,KAPRI,6507,Karpi Block,88888,25.168465,84.734156,Karpi Block,1,
BIHAR,10,AURANGABAD,237,DAUDNAGAR,1635,Block office,88888,25.020238,84.360815,Block office,1,
BIHAR,10,AURANGABAD,237,KUTUMBA,1639,Kutumba block,88888,24.628932,84.286779,Kutumba block,1,
BIHAR,10,BANKA,225,AMARPUR,1644,AMARPUR BLOCK,88888,25.048283,86.894801,AMARPUR BLOCK,1,
BIHAR,10,BANKA,225,BELHAR,1648,BELHAR BLOCK,88888,24.917784,86.598953,BELHAR BLOCK,1,
BIHAR,10,BANKA,225,DHURAIYA,1650,DHORAIYA Block,88888,24.978466,87.131801,DHORAIYA Block,1,
BIHAR,10,BANKA,225,FULLIDUMAR,1651,FULLIDUMAR BLOCK,88888,24.983833,86.785666,FULLIDUMAR BLOCK,1,
BIHAR,10,BEGUSARAI,222,BACHHWARA,1655,BISHANPUR,88888,25.572019,85.817844,BISHANPUR,1,
BIHAR,10,BEGUSARAI,222,BAKHRI,1656,Bakhari Block,88888,25.610068,86.272116,Bakhari Block,1,
BIHAR,10,BEGUSARAI,222,BALLIA,1657,BALIA BLOCK,88888,25.406221,86.299582,BALIA BLOCK,1,
BIHAR,10,BEGUSARAI,222,BALLIA,1657,RAHATPUR,88888,25.39066,86.254111,RAHATPUR,1,
BIHAR,10,BEGUSARAI,222,BARAUNI,1658,Barauni Block,88888,25.463211,86.028239,Barauni Block,1,
BIHAR,10,BEGUSARAI,222,BEGUSARAI,1659,Vinodpur,88888,25.448151,86.087833,Vinodpur,1,
BIHAR,10,BEGUSARAI,222,BHAGWANPUR,1660,BHAGWANPUR BLOCK,88888,25.543409,86.009967,BHAGWANPUR BLOCK,1,
BIHAR,10,BEGUSARAI,222,CHERIA BARIARPUR,1662,Baryarpur Block,88888,25.580275,86.094586,Baryarpur Block,1,
BIHAR,10,BEGUSARAI,222,CHHAURAHI,1663,Chaurahi Block,88888,25.699732,86.092683,Chaurahi Block,1,
BIHAR,10,BEGUSARAI,222,GADHPURA,1665,GARPURA BLOCK,88888,25.661464,86.176527,GARPURA BLOCK,1,
BIHAR,10,BEGUSARAI,222,KHODAWANDPUR,1666,Khodawanpur block,88888,25.665857,86.024668,Khodawanpur block,1,
BIHAR,10,BEGUSARAI,222,MATIHANI,1668,Matihani Block,88888,25.364774,86.163948,Matihani Block,1,
BIHAR,10,BEGUSARAI,222,NAWKOTHI,1669,NAOKOTHI BLOCK,88888,25.521492,86.202464,NAOKOTHI BLOCK,1,
BIHAR,10,BEGUSARAI,222,SAHEBPUR KAMAL,1670,Sahebpur Kamal,88888,25.422931,86.403851,Sahebpur Kamal,1,
BIHAR,10,BEGUSARAI,222,SAMHO AKHA KURHA,1671,Samho Block,88888,25.27559,86.196241,Samho Block,1,
BIHAR,10,BEGUSARAI,222,TEGHRA,1672,Teghra Block,88888,25.501062,85.941124,Teghra Block,1,
BIHAR,10,BHAGALPUR,224,GOPALPUR,1675,GOPALPUR BLOCK,88888,25.324507,87.182966,GOPALPUR BLOCK,1,
BIHAR,10,BHAGALPUR,224,ISMAILPUR,1677,ISMILEPUR BLOCK,88888,25.313116,87.123583,ISMILEPUR BLOCK,1,
BIHAR,10,BHAGALPUR,224,JAGDISHPUR,1678,JAGDISHPUR BLOCK,88888,25.114352,86.985066,JAGDISHPUR BLOCK,1,
BIHAR,10,BHAGALPUR,224,KAHALGAON,1674,KAHALGAON BLOCK,88888,25.260783,87.246304,KAHALGAON BLOCK,1,
BIHAR,10,BHAGALPUR,224,KHARIK,1679,KHARIK BAZAR Block,88888,25.385516,87.015216,KHARIK BAZAR Block,1,
BIHAR,10,BHAGALPUR,224,NATHNAGAR,1681,NATHNAGAR BLOCK,88888,25.227151,86.935783,NATHNAGAR BLOCK,1,
BIHAR,10,BHAGALPUR,224,NAUGACHHIA,1682,NAUGACHIA BLOCK,88888,25.383283,87.085666,NAUGACHIA BLOCK,1,
BIHAR,10,BHAGALPUR,224,PIRPAINTI,1683,PIRPAINTI BLOCK,88888,25.297966,87.427552,PIRPAINTI BLOCK,1,
BIHAR,10,BHAGALPUR,224,RANGRACHOWK,1684,RANGRA BLOCK,88888,25.394796,87.194009,RANGRA BLOCK,1,
BIHAR,10,BHAGALPUR,224,SABOUR,1685,SABOUR BLOCK,88888,25.235183,87.053705,SABOUR BLOCK,1,
BIHAR,10,BHAGALPUR,224,SONHAULA,1687,SANHOULLA BLOCK,88888,25.096101,87.161083,SANHOULLA BLOCK,1,
BIHAR,10,BHOJPUR,231,ARA,1690,Ara Block,88888,25.56593,84.674961,Ara Block,1,
BIHAR,10,BHOJPUR,231,BARHARA,1691,Barhara,88888,25.679389,84.738083,Barhara,1,
BIHAR,10,BHOJPUR,231,SAHAR,1698,Sahar Block,88888,25.247584,84.61447,Sahar Block,1,
BIHAR,10,BHOJPUR,231,SHAHPUR,1700,Ranisagar,88888,25.608889,84.360778,Ranisagar,1,
BIHAR,10,BUXAR,232,CHAUSA,1706,Chausa Block,88888,25.497136,83.884756,Chausa Block,1,
BIHAR,10,DARBHANGA,215,MANIGACHHI,1729,Manigachhi Block,88888,26.217447,86.147228,Manigachhi Block,1,
BIHAR,10,DARBHANGA,215,TARDIH,1731,TARDIH BLOCK,88888,26.150369,86.258408,TARDIH BLOCK,1,
BIHAR,10,GAYA,238,BARACHATTI,1735,BLOCK GP,88888,24.502877,85.017494,BLOCK GP,1,
BIHAR,10,GAYA,238,SHERGHATTY,1752,BLOCK,88888,24.573461,84.803313,BLOCK,1,
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,Block office,88888,26.270444,84.744611,Block office,1,
BIHAR,10,GOPALGANJ,217,BARAULI,1757,Block Office,88888,26.38504,84.58234,Block Office,1,
BIHAR,10,JAMUI,240,CHAKAI,1771,CHAKAIBLOCK,88888,24.556817,86.398016,CHAKAIBLOCK,1,
BIHAR,10,JAMUI,240,GIDHOR,1772,Gidhaur Block,88888,24.857246,86.323181,Gidhaur Block,1,
BIHAR,10,JAMUI,240,KHAIRA,1776,Khaira Block,88888,24.845906,86.196707,Khaira Block,1,
BIHAR,10,JEHANABAD,235,GHOSHI,1780,Ghoshi Block,88888,25.163931,85.098401,Ghoshi Block,1,
BIHAR,10,KAIMUR (BHABUA),233,ADHAURA,1787,Adhaura,88888,24.698306,83.611965,Adhaura,1,
BIHAR,10,KAIMUR (BHABUA),233,ADHAURA,1787,Athan,88888,24.689681,83.626511,Athan,1,
BIHAR,10,KAIMUR (BHABUA),233,ADHAURA,1787,Babhani kala,88888,24.699747,83.610039,Babhani kala,1,
BIHAR,10,KAIMUR (BHABUA),233,ADHAURA,1787,Barwan kala,88888,24.610039,83.564575,Barwan kala,1,
BIHAR,10,KAIMUR (BHABUA),233,ADHAURA,1787,Block,88888,24.699428,83.611061,Block,1,
BIHAR,10,KAIMUR (BHABUA),233,ADHAURA,1787,Dahar,88888,24.793142,83.553394,Dahar,1,
BIHAR,10,KAIMUR (BHABUA),233,ADHAURA,1787,Dighar,88888,24.835186,83.516358,Dighar,1,
BIHAR,10,KAIMUR (BHABUA),233,ADHAURA,1787,Dumraon,88888,24.727857,83.651147,Dumraon,1,
BIHAR,10,KAIMUR (BHABUA),233,ADHAURA,1787,Jamuninar,88888,24.820186,83.547347,Jamuninar,1,
BIHAR,10,KAIMUR (BHABUA),233,BHABUA,1788,Block,88888,25.036793,83.624498,Block,1,
BIHAR,10,KAIMUR (BHABUA),233,KUDRA,1793,Block,88888,25.048406,83.788133,Block,1,
BIHAR,10,KAIMUR (BHABUA),233,NUAON,1795,Akhani,88888,25.380281,83.699714,Akhani,1,
BIHAR,10,KAIMUR (BHABUA),233,NUAON,1795,Akolhi,88888,25.377408,83.717417,Akolhi,1,
BIHAR,10,KAIMUR (BHABUA),233,NUAON,1795,Chandes I,88888,25.314947,83.793325,Chandes I,1,
BIHAR,10,KAIMUR (BHABUA),233,NUAON,1795,Dumduma,88888,25.294947,83.813325,Dumduma,1,
BIHAR,10,KAIMUR (BHABUA),233,NUAON,1795,Ewati,88888,25.347073,83.767173,Ewati,1,
BIHAR,10,KAIMUR (BHABUA),233,NUAON,1795,Kota,88888,25.254947,83.840325,Kota,1,
BIHAR,10,KAIMUR (BHABUA),233,NUAON,1795,Mukhrawan,88888,25.32194,83.846,Mukhrawan,1,
BIHAR,10,KAIMUR (BHABUA),233,NUAON,1795,Nuaon,88888,25.364325,83.7416,Nuaon,1,
BIHAR,10,KAIMUR (BHABUA),233,NUAON,1795,Pajrawan,88888,25.38408,83.769417,Pajrawan,1,
BIHAR,10,KAIMUR (BHABUA),233,NUAON,1795,Taraitha,88888,25.342,83.698,Taraitha,1,
BIHAR,10,KATIHAR,212,BARARI,1801,BARARI BLOCK,88888,25.498666,87.380433,BARARI BLOCK,1,
BIHAR,10,KATIHAR,212,BARSOI,1802,BARSOI BLOCK,88888,25.624533,87.928133,BARSOI BLOCK,1,
BIHAR,10,KATIHAR,212,KADWA,1806,Kadwa Block,88888,25.662183,87.7159,Kadwa Block,1,
BIHAR,10,KISHANGANJ,210,BAHADURGANJ,1821,BAHADURGANJ BLOCK,88888,26.262733,87.826268,BAHADURGANJ BLOCK,1,
BIHAR,10,KISHANGANJ,210,DIGHALBANK,1822,DIGHALBANK  BLOCK,88888,26.373242,87.84234,DIGHALBANK  BLOCK,1,
BIHAR,10,KISHANGANJ,210,KOCHADHAMAN,1824,KOCHADHAMAN BLOCK,88888,26.183534,87.776077,KOCHADHAMAN BLOCK,1,
BIHAR,10,KISHANGANJ,210,POTHIA,1825,POTHIYA BLOCK,88888,26.31433,88.17493,POTHIYA BLOCK,1,
BIHAR,10,KISHANGANJ,210,TERHAGACHH,1826,TERHAGACHH BLOCK,88888,26.383513,87.689112,TERHAGACHH BLOCK,1,
BIHAR,10,KISHANGANJ,210,THAKURGANJ,1827,THAKURGANJ BLOCK,88888,26.42542,88.12126,THAKURGANJ BLOCK,1,
