,Block Name,Distance,GP Name,GP_lat,GP_long,Village Name,Village_lat,Village_long
120,Naraini,6820.85639077,GADHA,25.189756,80.446467,Gadha,Khaje Gadhwa,83.89047
121,Naraini,6833.14399946,PANCHAMPUR B,25.0326516667,80.3642166667,Gadha Khurd,Dihakhurd,83.85773
122,Naraini,6800.05721563,NAUGAWAN,25.1786483333,80.531455,Gahabara,Bishunpur Gabarua,83.64741
123,Naraini,6838.8677137,PATAURA,25.2004766667,80.5866866667,Gaidi Mafi,Arajimafi Sagarpali,84.09956
124,Naraini,6827.98820053,TARAHATI KALINZAR,25.0121183333,80.476755,Girdharpur,Chamari Girdharpur,83.66165
125,Naraini,6816.12629843,GOPARA,25.1077683333,80.4412716667,Gopara,Gohara,83.26281
126,Naraini,6813.9935412,GORE MAU KALAN,25.0741683333,80.6029516667,Gore Mau Kalan,Gurautykalan,83.24823
127,Naraini,6819.36927345,GORE MAU KALAN,25.0741683333,80.6029516667,Goremau Khurd,Gorakhpura,83.62771
128,Naraini,6804.24028385,GUDHA KALAN,25.1522666667,80.5024933333,Gudha Kalan,Gurautykalan,83.24823
129,Naraini,6803.73725078,HADAHA,25.27347,80.6475083333,Hadaha,Gauri Shardaha,83.69577
130,Naraini,6753.40153507,PURAINIYA,25.0710066667,80.4943066667,Haripur,Haripur,82.38483
131,Naraini,6846.28641818,JAMAWARA,25.1586683333,80.4357566667,Jamawara,Jamsara,84.30082
132,Naraini,6834.3263341,PATHARA,25.2004766667,80.5866866667,Juganihar,Jiganhara,84.04715
133,Naraini,6807.21807551,MUDI,25.08444,80.5885116667,Kahala,Ahala,83.46681
134,Naraini,6748.5206958,KALYANPUR,25.147375,80.6351316667,Kalyanpur,Kalyanpur,82.57292
135,Naraini,6813.38344774,KANAYA,25.0364683333,80.3589583333,Kanaya,Kanawa,83.06111
136,Naraini,6825.38170095,KARATAL,25.02877,80.34322,Karatal,Karayal Upadhyay,83.69804
137,Naraini,6836.36545829,KATARA KALINJAR,25.0070683333,80.4729733333,Katara Kalinjar,Atarsuwakala,83.73649
138,Naraini,6853.34243038,TERA(B),25.2103783333,80.58995,Khadiha,Rampur Taluk Handiha,84.37613
139,Naraini,6827.02522761,KHALARI,25.0955233333,80.3941033333,Khalari,Kalwari,83.78936
140,Naraini,6782.90702227,MUDI,25.08444,80.5885116667,Khandeura,Khardeur,82.73747
141,Naraini,6801.14457947,GORE MAU KALAN,25.0741683333,80.6029516667,Khujamariya,Khamhariya,82.89029
142,Naraini,6845.97790446,TARAHATI KALINZAR,25.0121183333,80.476755,Kila Kalinzar,Lakhwalia,83.93746
143,Naraini,6828.21361494,KOLAWAL RAIPUR,25.0264416667,80.3104966667,Kolawal Raipur,Kotawalipur,83.62357
144,Naraini,6850.7974258,KULSARI,25.1642183333,80.5838116667,Kulsari,Kulwari Mutlke Chhata,84.24011
145,Naraini,6846.66934475,MASAUNI BHARATPUR,25.0212483333,80.4532466667,Lad Pahari,Adhari Patti,83.9519
146,Naraini,6806.82880794,RANIPUR,25.0264416667,80.3104966667,Lahura,Lahura Deur,83.48302
