STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
18,310,02063,291066,Chawolkhowa Charaihabi Gaon,519,2563,BARBARUAH,106241,BOGIBIL,,
18,310,02063,291067,Chawolkhowa N.C.,1668,2563,BARBARUAH,106241,BOGIBIL,,
18,310,02063,291068,Laruajan Gaon,500,2563,BARBARUAH,106245,GARUDHORIA,,
18,310,02063,291069,Shahjan Gaon No.2,58,2563,BARBARUAH,106241,BOGIBIL,,
18,310,02063,291070,Jagalani Grant No.43 F.S.,1553,2563,BARBARUAH,106241,BOGIBIL,,
18,310,02063,291071,Kawaimari Gaon,500,2563,BARBARUAH,106249,KUTUHA,,
18,310,02063,291072,Walkhabi Gaon No.1,170,2563,BARBARUAH,106241,BOGIBIL,,
18,310,02063,291073,Walkhabi Gaon No.2,772,2563,BARBARUAH,106241,BOGIBIL,,
18,310,02063,291074,Gabharujan Gaon,328,2563,BARBARUAH,106241,BOGIBIL,,
18,310,02063,291075,Shajan Gaon No.1,58,2563,BARBARUAH,106241,BOGIBIL,,
18,310,02063,291076,Hiloibam Gaon,181,2563,BARBARUAH,106245,GARUDHORIA,,
18,310,02063,291077,Kalatomoni Gaon,95,2563,BARBARUAH,106241,BOGIBIL,,
18,310,02063,291078,Hapekhati Gaon,210,2563,BARBARUAH,106241,BOGIBIL,,
18,310,02063,291079,Lengapather Gaon,396,2563,BARBARUAH,106241,BOGIBIL,,
18,310,02063,291080,Bagibill Gaon,495,2563,BARBARUAH,106252,RAJABHETTA,,
18,310,02063,291081,Mahmari Pather,1354,2563,BARBARUAH,106242,BORPATHER,,
18,310,02063,291082,Changamari Habi,399,2563,BARBARUAH,106242,BORPATHER,,
18,310,02063,291083,Changamari Tekela Gaon,654,2563,BARBARUAH,106242,BORPATHER,,
18,310,02063,291084,Dighala Gaon,548,2563,BARBARUAH,106252,RAJABHETTA,,
18,310,02063,291085,Tingkhong Gaon,1358,2563,BARBARUAH,106252,RAJABHETTA,,
18,310,02063,291086,Nagakhalia Gaon,423,2563,BARBARUAH,106252,RAJABHETTA,,
18,310,02063,291087,Konwar Handiqui Gaon,1197,2563,BARBARUAH,106242,BORPATHER,,
18,310,02063,291088,Kamar Gaon,3437,2563,BARBARUAH,106252,RAJABHETTA,,
