,Block Name,Distance,GP Name,GP_lat,GP_long,Village Name,Village_lat,Village_long
218,Kashipur,6081.08295738,BARKHEDI,29.15039,78.99026,Barkhera Rajpoot,Bakharya Julla,80.01883
219,Kashipur,6081.07199496,BARKHEDI,29.15039,78.99026,Barkheri,Jhultar Barkhet,80.0681
220,Kashipur,6091.90076731,BAGHELE WALA,29.14591,78.92343,Beghelewala,Bhelolat,80.20831
221,Kashipur,6096.79128353,BARKHEDA PANDEY,29.15099,78.96494,Berkhera Pandey,Madlak Pandey,80.2459
222,Kashipur,6054.29557196,LAXMIPUR LACHHI,29.25438,78.99864,Bhagwantpur Kashipur,Bhawanipur,79.68621
223,Kashipur,6046.51751928,LAXMIPUR LACHHI,29.25438,78.99864,Bhogpurkashipur,Boranshi,79.63717
224,Kashipur,6092.55316165,KACHNAL GOSHAI,29.16207,78.97795,Chanakpur,TANAKPUR,80.12239
225,Kashipur,6090.36539102,DABHOURA MUSTKAM,29.14646,79.01154,Dabhaura Aihatmali,Daurali,80.12974
226,Kashipur,6094.92236639,DABHOURA MUSTKAM,29.14646,79.01154,Dabhauramustahkam,Surautha,80.26352
227,Kashipur,6065.91814924,GOPIPURA,29.29442,79.01495,Dasho Diyawala,Dashiya Chamo,80.01431
228,Kashipur,6110.78106416,DHAKIYAN GULABO,29.19234,78.94721,Dhakia Gulaboo,Sagri Dhakdhauna,80.67075
229,Kashipur,6059.73058893,DHAKIYA KALAN,29.21807,79.04811,Dhakia Kalan,Thaklan,79.87909
230,Kashipur,6079.92330283,DHANAURI,29.27516,79.02114,Dhanauri Patti,Ajera Madye Bharpatta,80.26314
231,Kashipur,6095.29319837,DHEEMAR KHEDA,29.17338,78.96327,Dhimar Khera,Majhera,80.28875
232,Kashipur,6071.55866894,SAANDKHERA,29.17889,79.02087,Dohari Parsa,Harara,79.95435
233,Kashipur,6052.4391998,FIROJPUR,29.25584,78.96511,Firojpur,Firojpur,79.60509
234,Kashipur,6066.2415067,JUDKA,29.24739,79.05037,Gandhi Nagar,Dinnagar,79.79274
235,Kashipur,6088.8566165,DHANAURI,29.27516,79.02114,Garhiganj,Tarigaon,80.35313
236,Kashipur,6072.94878762,LAXMIPUR LACHHI,29.25438,78.99864,Garhi Indarjit,Garhsari Gunth,80.02922
237,Kashipur,6071.63514866,BANSKHERA KALA,29.18051,78.94801,Ginni Khera,Kuwa Khera,79.80706
238,Kashipur,6098.78318223,BAGHELE WALA,29.14591,78.92343,Gir Dhyai,Dholi Kholi Urf Giyari,80.3289
239,Kashipur,6083.87887679,GOPIPURA,29.29442,79.01495,Gopipura,Pura Sthiti Urf Pundakhet,80.31331
240,Kashipur,6087.82305549,GULDIYA,29.17412,78.90907,Gularia,Dum Gara,80.04153
241,Kashipur,6087.55934239,HEMPUR ISMAEL,29.18812,78.99906,Hempur Ismail,Usail,80.22629
242,Kashipur,6098.10408282,SAANDKHERA,29.17889,79.02087,Jaitpur Ghosi,Jalturi,80.33118
243,Kashipur,6052.97296963,JASPUR KHURD,29.20666,78.98512,Jaspur Khurd,Jaspur Khaulia,79.59534
244,Kashipur,6078.95373779,JUDKA,29.24739,79.05037,Jurka,Jubra,80.20334
245,Kashipur,6089.69207835,KACHNAL GAJI,29.24154,78.96504,Kachnalgaji,Kuchala Bhadwari,80.3381
246,Kashipur,6092.19894742,KACHNAL GOSHAI,29.16207,78.97795,Kachnal Gosain,Machbalan,80.18511
247,Kashipur,6098.01078137,KACHNAL GOSHAI,29.16207,78.97795,Kanakpur,Kanar,80.39548
248,Kashipur,6101.63649415,KATAEYA,29.14877,78.97543,Kataiya,Katiyani,80.36497
249,Kashipur,6099.18679962,KATAEYA,29.14877,78.97543,Khai Khera,Khatera,80.31023
250,Kashipur,6051.72811462,KHARAKPUR DEVIPURA,29.19193,78.97352,Kharakpur Devipura,Kharakpur,79.55075
251,Kashipur,6087.71936899,KHARMASA,29.25393,79.03447,Kharmasa,Kharayat,80.21626
252,Kashipur,6087.15093699,KHARMASI,29.22162,79.01069,Kharmasi,Khara Giri,80.16904
253,Kashipur,6086.46585353,DHEEMAR KHEDA,29.17338,78.96327,Khokhratal,Kotal Gaon,80.27879
254,Kashipur,6082.28809074,HEMPUR ISMAEL,29.18812,78.99906,Kuakhera,Khetar Ukhera,80.06287
255,Kashipur,6091.27463159,KUNDESHWARI,29.20551,79.01883,Kundeswari,Kunari,80.23374
256,Kashipur,6082.27154726,HEMPUR ISMAEL,29.18812,78.99906,Kundsebara,Kandera,80.16535
257,Kashipur,6048.01109676,LAXMIPUR LACHHI,29.25438,78.99864,Laxmipur Lachhi,Laxmipur,79.53783
258,Kashipur,6074.16754796,SAANDKHERA,29.17889,79.02087,Nandrampur,Padampur,79.89532
259,Kashipur,6118.22922933,PAIGA,29.12774,78.91717,Paiga,Pangla,80.67618
