State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase
ANDHRA PRADESH, 28, Nalgonda, 539, ANUMULA, 5314, YALLAPURAM, 207132, 16.69436, 79.354844, YALLAPURAM, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, ATHMAKUR(M), 207133, 17.473723, 79.140827, ATHMAKUR(M), 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, CHADA, 207134, 17.498833, 79.076428, CHADA, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, CHAMAPUR, 207134, 17.53291, 79.132271, CHAMAPUR, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, CHANDEPALLY, 207136, 17.532375, 79.099265, CHANDEPALLY, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, DUPPELLA, 207137, 17.36831, 79.181804, DUPPELLA, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, KATEPALLY, 207137, 17.48597, 79.048392, KATEPALLY, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, KHAPURAIPALLY, 207139, 17.467131, 79.220093, KHAPURAIPALLY, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, KONDAPUR, 207140, 17.476405, 79.098241, KONDAPUR, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, KORATIKAL, 207141, 17.495548, 79.162758, KORATIKAL, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, KURELLA, 207142, 17.427394, 79.18825, KURELLA, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, LINGARAJPALLY, 207143, 17.409431, 79.130126, LINGARAJPALLY, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, MODULLABAIGUDEM, 234557, 17.486361, 79.233025, MODULLABAIGUDEM, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, MORIPIRALA, 207145, 17.489137, 79.132635, MORIPIRALA, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, NANCHARIPET, 207144, 17.473186, 79.070813, NANCHARIPET, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, NARSAPUR, 207146, 17.395351, 79.170178, NARSAPUR, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, PALLERLA, 207147, 17.416523, 79.146642, PALLERLA, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, POTHIREDDYPALLY, 207148, 17.494954, 79.189194, POTHIREDDYPALLY, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, PULLAIGUDEM, 207149, 17.430103, 79.204692, PULLAIGUDEM, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, RAGHAVAPUR, 207150, 17.407214, 79.184654, RAGHAVAPUR, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, RAHIMKHANPET, 207151, 17.477669, 79.196561, RAHIMKHANPET, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, RAIPALLY, 207152, 17.472215, 79.116176, RAIPALLY, 2
ANDHRA PRADESH, 28, Nalgonda, 539, ATMAKUR(M), 5315, SARVEPALLY, 207153, 17.460923, 79.102647, SARVEPALLY, 2
