State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, A.KONDURU, 202890, 16.965397, 80.652779, A.KONDURU, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, CHEEMALAPADU, 202891, 16.888652, 80.65298, CHEEMALAPADU, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, GOLLAMANDALA, 202892, 16.981312, 80.671775, GOLLAMANDALA, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, GOPALAPURAM, 202894, 17.018524, 80.662392, GOPALAPURAM, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, JEELAKUNTA, 202895, 17.034399, 80.657047, JEELAKUNTA, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, KAMBHAMPADU, 202896, 16.985078, 80.654298, KAMBHAMPADU, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, KODURU, 202897, 17.007516, 80.621603, KODURU, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, KRISHNARAOPALEM, 205687, 16.910644, 80.643049, KRISHNARAOPALEM, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, KUMMARIKUNTLA, 202899, 16.93868, 80.671967, KUMMARIKUNTLA, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, MADHAVARAM, 202900, 16.911868, 80.707276, MADHAVARAM, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, MAREPALLI, 202901, 17.027842, 80.623106, MAREPALLI, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, POLISETTIPADU, 202902, 17.031137, 80.631858, POLISETTIPADU, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, RAMACHANDRAPURAM, 202903, 16.869025, 80.637253, RAMACHANDRAPURAM, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, REPUDI, 202893, 16.958319, 80.696238, REPUDI, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, REPUDI THANDA, 202904, 16.937547, 80.680145, REPUDI THANDA, 2
ANDHRA PRADESH, 28, KRISHNA, 547, A.KONDURU, 5099, VALLAMPATLA, 205694, 17.046903, 80.662572, VALLAMPATLA, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, ADAVINEKKALAM, 202906, 16.631077, 80.722275, ADAVINEKKALAM, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, AGIRIPALLI, 202907, 16.67775, 80.78224, AGIRIPALLI, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, AMMAVARIGUDEM, 202908, 16.666932, 80.804022, AMMAVARIGUDEM, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, BODDANAPALLI, 202909, 16.706802, 80.749433, BODDANAPALLI, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, CHINNAGIRIPALLI, 202910, 16.661417, 80.784804, CHINNAGIRIPALLI, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, CHOPPARAMETLA, 202911, 16.678365, 80.814835, CHOPPARAMETLA, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, EDARA, 202912, 16.729961, 80.751007, EDARA, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, EDULAGUDEM, 202913, 16.68641, 80.839725, EDULAGUDEM, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, GOLLAGUDEM, 202914, 16.640964, 80.72481, GOLLAGUDEM, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, KALATURU, 202915, 16.675565, 80.831763, KALATURU, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, KANASANAPALLI, 202916, 16.636208, 80.746337, KANASANAPALLI, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, KOMMURU, 202917, 16.652919, 80.876755, KOMMURU, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, KOTHA EDARA, 202918, 16.72624, 80.765209, KOTHA EDARA, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, KRISHNAVARAM, 202919, 16.650894, 80.853886, KRISHNAVARAM, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, NARASINGAPALEM, 202920, 16.656662, 80.805266, NARASINGAPALEM, 2
ANDHRA PRADESH, 28, KRISHNA, 547, AGIRIPALLI, 5100, NUGONDAPALLI, 202921, 16.683157, 80.765284, NUGONDAPALLI, 2
