State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phas
JAMMU AND KASHMIR,1,SAMBA,22,PURMANDAL,62,Smailpur,245830,32.629639,74.961333,P/G,2
JAMMU AND KASHMIR,1,SAMBA,22,PURMANDAL,62,Kartholi,245832,32.625639,74.922083,P/G,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Moutalian Kalan,245872,32.62275,75.075056,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Taloor,245874,32.616028,75.187389,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Dhora,245844,32.612056,75.141611,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,PURMANDAL,62,Rajinder Pura,245836,32.611194,75.010778,P/G,2
JAMMU AND KASHMIR,1,SAMBA,22,PURMANDAL,62,Gurha Slathian Lower,245834,32.608972,75.037889,p/g,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Blater,245848,32.603889,75.224889,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,PURMANDAL,62,Gurha Slathian Upper,245833,32.60275,75.042111,P/G,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Amli,245843,32.601028,75.169472,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,PURMANDAL,62,Sangwal,245835,32.599306,75.0085,P/G,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Patyari,245849,32.598806,75.212361,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Druee,245854,32.597639,75.102583,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Goran,245857,32.590083,75.280694,p/g ,2
JAMMU AND KASHMIR,1,SAMBA,22,PURMANDAL,62,Salmari,245838,32.587306,75.000972,Gms salmari,2
JAMMU AND KASHMIR,1,SAMBA,22,SAMBA,64,Mananu,245855,32.587083,75.123944,p/g ,2
