State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase,population
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,khanivali,194169,19.41093,73.21914, Khanivali GP,2,964
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kharbao,194170,19.2938,72.9959, Kharbao-GP,2,5250
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kharivali,194171,19.45976,73.11269, Kharivali GP,2,729
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,khoni,194172,19.30564,73.05119, Khoni GP,2,461
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kon,194173,19.24788,73.10522, Kon GP,2,24295
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kopar,194174,19.25395,73.02055, Kopar GP,2,2011
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,koshimbe,194175,19.41548,73.10988, Koshimbe GP,2,883
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kuhe,194176,19.37698,72.98933, Kuhe GP,2,2104
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kukase,194177,19.33438,73.14512, Kukase GP,2,705
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kunde,194178,19.47801,73.13377, Kunde GP,2,1326
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kurund,194179,19.3672,73.16286, Kurund-GP,2,818
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kusapur,194180,19.49566,73.14527, Kusapur GP,2,422
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,lakhivali,194181,19.3485,73.01316, Lakhivali GP,2,1978
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,lamaj,194182,19.38679,73.08081, Lamaj GP,2,515
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,lap bu.,194183,19.40405,73.13699, Lap BK GP,2,98
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,lonad,194184,19.28852,73.1358, Lonad GP,2,831
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,mahalunge,194190,19.47449,73.04855, Mahalnge GP,2,451
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,mahapoli,194185,19.40618,73.08582, Mahapoli GP,2,5666
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,mainde,194186,19.46998,73.17906, Mainde GP,2,1411
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,malbidi,194187,19.41903,73.07311, Malbidi GP,2,511
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,malodi,194188,19.31179,72.97906, Malodi GP,2,1732
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,mankoli,194189,19.2389,73.04478, Mankoli GP,2,3421
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,mohandool,194191,19.4299,73.19036, Mohandul GP,2,358
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,mohili,194192,19.42553,73.06313, Mohili GP,2,475
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,morani,194193,19.493,73.14777, Morani GP,2,286
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,nandithane,194194,19.39559,73.08051, Nandithane GP,2,1297
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,nandkar,194195,19.30751,73.16109, Nandkar GP,2,1603
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,nimbavali,194196,19.32912,73.0968, Nimbavali GP,2,673
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,nivali,194197,19.37082,73.08862, Nivali GP,2,879
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,ovali,194198,19.25552,73.05453, Ovali GP,2,1566
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,pachchapur,194199,19.45396,73.17226, Pachharpur GP,2,241
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,padgha,194200,19.36717,73.17462, Padgha GP,2,6633
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,pahare,194201,19.45226,73.09319, Pahare GP,2,1159
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,paigaon,194202,19.32543,72.97685, Paigaon GP,2,337
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,palakhane,194203,19.42444,73.08804, Palkhane GP,2,720
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,parivali,194204,19.35464,73.06543, GP at Kolivali,2,2854
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,paye,194205,19.31982,72.95449, Paye GP,2,1919
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,pilanze,194206,19.38562,73.0649, Pilanze GP,2,1327
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,pimpalghar-ranjanoli,194208,19.2667,73.08789, Pimpalghar Rajnoli GP,2,1736
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,pimpalner,194209,19.24406,73.06805, Pimpalner GP,2,2258
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,pimplas,194207,19.24615,73.07283, Pimplas GP,2,3935
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,pise,194210,19.30472,73.15153, Pise GP,2,1120
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,pundas,194211,19.37439,73.1168, Pundas GP at Khaling Kh,2,1243
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,purna,194212,19.25606,73.02608, Purna Gp,2,6588
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,rahanal,194213,19.26676,73.02909, Rahanal GP,2,10928
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,rahur,194214,19.3951,73.1781, Rahur GP,2,579
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,sape,194215,19.34568,73.15728, Sape GP,2,1443
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,saravali,194216,19.26654,73.09661, Sarvli GP,2,2259
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,savad,194217,19.29907,73.15179, Savad GP,2,591
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,shelar,194218,19.32136,73.06677, Shelar GP,2,14899
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,shirole,194219,19.44233,73.15368, Shirole GP,2,1677
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,sonale,194220,19.28428,73.10972, Sonale GP,2,1297
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,supegaon,194221,19.37967,73.07858, Supegav GP,2,1224
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,surai-sarang,194222,19.22079,73.05795, Surai GP,2,1661
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,talvali,194223,19.34676,73.15854, Talavali GP,2,1580
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,vadgahr,194224,19.29346,73.01268, Vadghar GP,2,1380
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,vadpe,194225,19.34594,73.11363, Vadape GP,2,1623
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,vadunavghar,194226,19.30218,73.01679, Vadunavghar GP,2,2997
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,vadvali t.rahur,194227,19.40867,73.20405, Vadavali GP,2,1582
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,vajreshwari,194232,19.48832,73.02832, Vajreshwari GP,2,2414
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,val,194228,19.2655,73.04163, Val Gp,2,707
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,vandre,194229,19.35254,73.20174, Vandre GP,2,244
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,varet,194233,19.45112,73.08238, Varet GP,2,819
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,vedhe,194230,19.45586,73.06264, Vedhe GP,2,1195
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,vehele,194231,19.23536,73.06144, Vehele GP,2,3237
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,zidake,194234,19.4688,73.07828, Zidke GP,2,2729
MAHARASHTRA,27, THANE,517, KALYAN,4593,ane,241491,19.23356,73.22929, Bhisol Ane G P,2,526
MAHARASHTRA,27, THANE,517, KALYAN,4593,asade,194370,19.21237,73.10311, Asade GP,2,266
MAHARASHTRA,27, THANE,517, KALYAN,4593,bapsai,194371,19.27291,73.26351, Bapai GP,2,431
MAHARASHTRA,27, THANE,517, KALYAN,4593,behere,194372,19.35456,73.21801, Behere GP,2,5234
MAHARASHTRA,27, THANE,517, KALYAN,4593,bhopar,194374,19.18789,73.07362, Bhopar GP,2,1056
MAHARASHTRA,27, THANE,517, KALYAN,4593,chavare,241493,19.24504,73.27319, Chavare GP,2,1116
MAHARASHTRA,27, THANE,517, KALYAN,4593,dahagaon,194375,19.22159,73.25999, Dahagaon GP,2,942
MAHARASHTRA,27, THANE,517, KALYAN,4593,dahivli,194376,19.3076,73.28295, Dahivali GP,2,0
MAHARASHTRA,27, THANE,517, KALYAN,4593,davdi,194377,19.19668,73.11662, Davdi GP,2,1974
MAHARASHTRA,27, THANE,517, KALYAN,4593,falegaon,194378,19.3234,73.26696, Falegaon GP,2,2263
MAHARASHTRA,27, THANE,517, KALYAN,4593,gerase,194379,19.38694,73.27007, Gerase GP,2,823
MAHARASHTRA,27, THANE,517, KALYAN,4593,gharivali,194380,19.18038,73.08424, Gharivali GP,2,519
MAHARASHTRA,27, THANE,517, KALYAN,4593,ghesar,194381,19.15244,73.08524, Ghesar GP,2,1056
MAHARASHTRA,27, THANE,517, KALYAN,4593,ghotsai,194382,19.27773,73.22495, Ghotsai GP,2,2902
MAHARASHTRA,27, THANE,517, KALYAN,4593,golvali,194383,19.21017,73.11662, Golvali GP,2,1580
MAHARASHTRA,27, THANE,517, KALYAN,4593,goveli,194384,19.26387,73.24001, Goveli GP,2,324
MAHARASHTRA,27, THANE,517, KALYAN,4593,gurvli,194385,19.32001,73.21366, Gurvli GP,2,3682
MAHARASHTRA,27, THANE,517, KALYAN,4593,hedutane,194386,19.16469,73.10284, Hedutane GP,2,1246
MAHARASHTRA,27, THANE,517, KALYAN,4593,jambul,194387,19.19968,73.24073, Jambul GP,2,588
MAHARASHTRA,27, THANE,517, KALYAN,4593,kakadpada,194388,19.36996,73.27653, Kakadpada GP,2,923
MAHARASHTRA,27, THANE,517, KALYAN,4593,kamba,194389,19.24715,73.1988, Kamba GP,2,5436
MAHARASHTRA,27, THANE,517, KALYAN,4593,katai,194390,19.16974,73.08194, Katai GP,2,12898
MAHARASHTRA,27, THANE,517, KALYAN,4593,khoni,194392,19.1705,73.12047, Khoni GP,2,461
MAHARASHTRA,27, THANE,517, KALYAN,4593,kolam,241502,19.26314,73.27992, Kolam GP,2,464
MAHARASHTRA,27, THANE,517, KALYAN,4593,kole,194393,19.17011,73.08791, Kole GP,2,437
MAHARASHTRA,27, THANE,517, KALYAN,4593,kosale,194394,19.38072,73.26617, Kosale GP,2,1237
MAHARASHTRA,27, THANE,517, KALYAN,4593,kunde,194395,19.27445,73.29385, Kunde GP,2,1326
MAHARASHTRA,27, THANE,517, KALYAN,4593,mamanoli,194401,19.27246,73.29071, Mamanoli GP,2,1044
MAHARASHTRA,27, THANE,517, KALYAN,4593,mangaon,241504,19.18478,73.09273, Mangaon GP,2,1896
MAHARASHTRA,27, THANE,517, KALYAN,4593,manivli,194397,19.26715,73.20824, Manivli GP,2,419
MAHARASHTRA,27, THANE,517, KALYAN,4593,manjarli,241505,19.2374,73.25002, Manjarli GP,2,754
MAHARASHTRA,27, THANE,517, KALYAN,4593,mharal,194399,19.24263,73.17206, Hharal GP,2,29462
MAHARASHTRA,27, THANE,517, KALYAN,4593,mhaskal,194400,19.28712,73.2474, Mhaskal GP,2,679
MAHARASHTRA,27, THANE,517, KALYAN,4593,nadgaon,194402,19.34027,73.22494, Nadgaon GP,2,829
MAHARASHTRA,27, THANE,517, KALYAN,4593,nandap,194403,19.27908,73.21047, Nandap GP,2,1166
MAHARASHTRA,27, THANE,517, KALYAN,4593,nandivli tarfe ambernath,194404,19.21148,73.13773, Nandivli Tarfe Ambernath GP,2,2553
MAHARASHTRA,27, THANE,517, KALYAN,4593,nandivli tarfe panchanand,194396,19.19977,73.08522, Nandivli Tarfe Panchanand GP,2,2553
MAHARASHTRA,27, THANE,517, KALYAN,4593,nilje,194405,19.16405,73.08034, Nilje GP,2,1378
MAHARASHTRA,27, THANE,517, KALYAN,4593,nimbavli,194406,19.31895,73.2079, Nimbavli GP,2,358
