State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,block office,88888,26.270444,84.744611,Block office,21,,1269
BIHAR,10,GOPALGANJ,217,BARAULI,1757,block office,88888,26.38504,84.58234,Block Office,21,,1269
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,azbi nagar,93218,26.27646,84.65459,AZBI NAGAR,21,,186
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,bakhari,93219,26.23122,84.845861,BAKHARI,21,,5409
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,bandhaulia banaura,93220,26.28221,84.77982,BANDHAULIA BANAURA,21,,1725
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,bangra,93221,26.23037,84.80861,BANGRA,21,,1351
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,bansghat masuria,93222,26.31231,84.76213,BANSGHAT MASURIA,21,,500
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,chamanpura,93223,26.25632,84.68791,CHAMANPURA,21,,1910
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,chiutoha,93224,26.26855,84.78288,CHIUTOHA,21,,2569
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,dharambari,93225,26.24473,84.72451,DHARAMBARI,21,,1590
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,dighwa north,93226,26.25492,84.75594,DIGHWA NORTH,21,,21100
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,dighwa south,93227,26.24364,84.75311,DIGHWA SOUTH,21,,21100
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,fajulahpur,93228,26.24169,84.83021,FAJULAHPUR,21,,500
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,gamhari,93229,26.236251,84.793056,GAMHARI,21,,500
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,hakam,93230,26.30065,84.69346,HAKAM,21,,4253
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,hamidpur,93231,26.21987,84.79642,HAMIDPUR,21,,3708
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,jagdispur,93232,26.22589,84.84476,JAGDISPUR,21,,482
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,katalpur,93233,26.22338,84.77111,KATALPUR,21,,475
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,khaira azam,93234,26.30404,84.72025,KHAIRA AZAM,21,,4935
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,parasauni,93235,26.32404,84.74055,PARASAUNI,21,,4843
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,pyaripur,93236,26.22561,84.86176,PYARIPUR,21,,500
BIHAR,10,GOPALGANJ,217,BAIKUNTHPUR,1756,rewatith,93237,26.27981,84.73141,REWATITH,21,,9324
