State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,ARARIA,209,FORBESGANJ,1626,mirzapur,91149,26.183683,87.223583,MIRZAPUR,21,,14498
BIHAR,10,ARARIA,209,FORBESGANJ,1626,musahari,91150,26.229667,87.246733,MUSAHARI,21,,900
BIHAR,10,ARARIA,209,FORBESGANJ,1626,parwaha,91151,26.232367,87.218567,PARWAHA,21,,3225
BIHAR,10,ARARIA,209,FORBESGANJ,1626,pipra,91152,26.3651,87.28425,PIPRA,21,,1718
BIHAR,10,ARARIA,209,FORBESGANJ,1626,pothia,91153,26.2267,87.30295,POTHIA,21,,7723
BIHAR,10,ARARIA,209,FORBESGANJ,1626,rahikpur tilamohan,91154,26.2168,87.363283,RAHIKPUR TILAMOHAN,21,,2690
BIHAR,10,ARARIA,209,FORBESGANJ,1626,rampur north,91155,26.30182,87.24221,RAMPUR NORTH,21,,25407
BIHAR,10,ARARIA,209,FORBESGANJ,1626,rampur south,91156,26.29498,87.24201,RAMPUR SOUTH,21,,620
BIHAR,10,ARARIA,209,FORBESGANJ,1626,sahbazpur,91157,26.345117,87.235933,SAHBAZPUR,21,,525
BIHAR,10,ARARIA,209,FORBESGANJ,1626,saifganj,91158,26.21009,87.22952,SAIFGANJ,21,,1646
BIHAR,10,ARARIA,209,FORBESGANJ,1626,tiraskund,91159,26.260867,87.346883,TIRASKUND,21,,4011
BIHAR,10,ARARIA,209,PALASI,1630,balua kaliyaganj,91229,26.322167,87.619167,BALUA KALIYAGANJ,21,,12456
BIHAR,10,ARARIA,209,PALASI,1630,baradbatta,91230,26.2557,87.613717,BARADBATTA,21,,3044
BIHAR,10,ARARIA,209,PALASI,1630,barahkumba,91231,26.200817,87.665067,BARAHKUMBA,21,,1803
BIHAR,10,ARARIA,209,PALASI,1630,bhikha,91232,26.2152,87.573067,BHIKHA,21,,2528
BIHAR,10,ARARIA,209,PALASI,1630,chahatpur,91233,26.235967,87.580167,CHAHATPUR,21,,13063
BIHAR,10,ARARIA,209,PALASI,1630,chauri,91234,26.298,87.617817,CHAURI,21,,3430
BIHAR,10,ARARIA,209,PALASI,1630,deghli,91235,26.299133,87.604783,DEGHLI,21,,1309
BIHAR,10,ARARIA,209,PALASI,1630,dehti north,91236,26.25395,87.551783,DEHTI NORTH,21,,4539
BIHAR,10,ARARIA,209,PALASI,1630,dehti south,91237,26.22425,87.5408,DEHTI SOUTH,21,,4539
BIHAR,10,ARARIA,209,PALASI,1630,dharam ganj,91238,26.293333,87.542167,DHARAM GANJ,21,,1884
BIHAR,10,ARARIA,209,PALASI,1630,kankhudia,91239,26.284133,87.600683,KANKHUDIA,21,,727
BIHAR,10,ARARIA,209,PALASI,1630,kujari,91240,26.2482,87.639983,KUJARI,21,,10377
BIHAR,10,ARARIA,209,PALASI,1630,majlis pur,91241,26.227367,87.620717,MAJLIS PUR,21,,3089
BIHAR,10,ARARIA,209,PALASI,1630,miapur,91242,26.267767,87.64205,MIAPUR,21,,1017
BIHAR,10,ARARIA,209,PALASI,1630,nakta khurd,91243,26.217567,87.658767,NAKTA KHURD,21,,66
BIHAR,10,ARARIA,209,PALASI,1630,pakri,91244,26.21695,87.586167,PAKRI,21,,1962
BIHAR,10,ARARIA,209,PALASI,1630,pechaili,91245,26.187233,87.563017,PECHAILI,21,,7173
BIHAR,10,ARARIA,209,PALASI,1630,pipra bijwara,91246,26.3129,87.582667,PIPRA BIJWARA,21,,992
