State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,DARBHANGA,215,MANIGACHHI,1729,manigachhi block,88888,26.217447,86.147228,Manigachhi Block,21,,4679
BIHAR,10,DARBHANGA,215,TARDIH,1731,tardih block,88888,26.150369,86.258408,TARDIH BLOCK,21,,4679
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,shisho (east),2400,26.208778,85.85775,SHISHO (East),21,,4789
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,chotaipatti,4400,26.232194,85.983353,CHOTAIPATTI,21,,149
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,dularpur,4900,26.223278,86.035806,DULARPUR,21,,4953
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,muria,5400,26.200944,86.014667,MURIA,21,,7459
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,loam,5500,26.223722,85.994278,LOAM,21,,10443
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,bijali,5600,26.191778,85.970056,BIJALI,21,,532
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,kabirchak,6400,26.151167,85.918194,KABIRCHAK,21,,500
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,sara mohammad,7400,26.170861,85.918611,SARA MOHAMMAD,21,,4679
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,ranipur,8200,26.137333,85.903556,RANIPUR,21,,1413
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,sonki,9900,26.128028,86.005056,SONKI,21,,520
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,dhoi,10300,26.146583,85.961917,DHOI,21,,6029
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,atihar,10500,26.163361,85.983028,ATIHAR,21,,1733
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,khutawara,10900,26.1745,85.961778,KHUTAWARA,21,,4866
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,kharua,12300,26.170472,85.903333,KHARUA,21,,3719
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,adalpur,12700,26.196972,86.024,ADALPUR,21,,500
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,bhalpatti,13100,26.180611,86.051306,BHALPATTI,21,,8255
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,nainaghat,13300,26.166889,86.042778,NAINAGHAT,21,,500
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,taralahi,14000,26.115306,85.856167,TARALAHI,21,,4476
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,bahdurpur dekuli,38000,26.137333,85.903556,BAHDURPUR DEKULI,21,,4406
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,kharajpur,39300,26.11075,85.883194,KHARAJPUR,21,,3356
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,ojhoul,39800,26.117167,85.873889,OJHOUL,21,,500
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,simra nehalpur,41900,26.17425,85.870889,SIMRA NEHALPUR,21,,1586
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,dilawarpur,43900,26.143917,85.915694,DILAWARPUR,21,,2794
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,bajidpur,44200,26.144889,85.927056,Bajidpur,21,,2571
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,darhar,45300,26.112583,85.914889,DARHAR,21,,1350
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,harpatti,45900,26.098389,85.936778,HARPATTI,21,,15500
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,premjiwar,46100,26.098389,85.936778,PREMJIWAR,21,,1099
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,balha,46800,26.222,85.952444,BALHA,21,,559
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,kusothar,47000,26.100972,85.961222,KUSOTHAR,21,,3281
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,ghorghatta,48300,26.142472,86.008944,GHORGHATTA,21,,500
BIHAR,10,DARBHANGA,215,DARBHANGA,1719,basdeopur,48600,26.206333,85.931917,BASDEOPUR,21,,12141
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,baruara,49700,26.111028,85.982694,BARUARA,21,,5044
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,andama,49900,26.082167,85.988611,ANDAMA,21,,1181
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,basat pur,92570,26.06472,85.981488,BASAT PUR,21,,2950
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,khaira,92576,26.031546,86.014376,KHAIRA,21,,9427
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,maniari,92579,26.17625,85.828333,MANIARI,21,,2777
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,mekna baida,92580,26.103,86.024444,MEKNA BAIDA,21,,1560
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,pirri,92582,26.123667,85.950223,PIRRI,21,,451
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,rambhadra pur,92584,26.049847,85.968747,RAMBHADRA PUR,21,,1479
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,tikapatti dekuli,92587,26.119611,86.025361,TIKAPATTI DEKULI,21,,5980
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,ughara,92588,26.053551,85.999909,UGHARA,21,,705
BIHAR,10,DARBHANGA,215,BAHADURPUR,1715,ughara mahapara,92589,26.071619,86.026254,UGHARA MAHAPARA,21,,393
BIHAR,10,DARBHANGA,215,BAHERI,1716,atahar north,92590,26.072722,86.053611,ATAHAR NORTH,21,,11792
BIHAR,10,DARBHANGA,215,BAHERI,1716,atahar south,92591,26.048056,86.072056,ATAHAR SOUTH,21,,2918
BIHAR,10,DARBHANGA,215,BAHERI,1716,baghouni,92592,25.931472,86.057167,BAGHOUNI,21,,10261
BIHAR,10,DARBHANGA,215,BAHERI,1716,baheri east,92593,25.946611,86.048417,BAHERI EAST,21,,21872
BIHAR,10,DARBHANGA,215,BAHERI,1716,baheri west,92594,25.975056,86.055139,BAHERI WEST,21,,21872
BIHAR,10,DARBHANGA,215,BAHERI,1716,baligaon,92595,26.04225,86.036778,BALIGAON,21,,4616
BIHAR,10,DARBHANGA,215,BAHERI,1716,bhachhi,92596,26.007833,86.048472,BHACHHI,21,,10770
BIHAR,10,DARBHANGA,215,BAHERI,1716,bithouli,92597,26.019056,86.086806,BITHOULI,21,,8448
BIHAR,10,DARBHANGA,215,BAHERI,1716,chakwa bharwari,92598,25.973139,85.932889,CHAKWA BHARWARI,21,,925
BIHAR,10,DARBHANGA,215,BAHERI,1716,dhanouli,92599,26.003528,86.023833,DHANOULI,21,,2275
BIHAR,10,DARBHANGA,215,BAHERI,1716,dohat narain,92600,25.977861,86.068861,DOHAT NARAIN,21,,3837
BIHAR,10,DARBHANGA,215,BAHERI,1716,enai,92601,25.954889,86.078139,ENAI,21,,5190
BIHAR,10,DARBHANGA,215,BAHERI,1716,gangdah sheoram,92602,25.988167,86.064944,GANGDAH SHEORAM,21,,5574
BIHAR,10,DARBHANGA,215,BAHERI,1716,gujrouli ramouli,92603,25.988417,85.974361,GUJROULI RAMOULI,21,,3039
BIHAR,10,DARBHANGA,215,BAHERI,1716,harhacha,92604,26.031083,85.964333,HARHACHA,21,,1112
BIHAR,10,DARBHANGA,215,BAHERI,1716,hathori south,92606,25.962583,85.974889,HATHORI SOUTH,21,,1536
BIHAR,10,DARBHANGA,215,BAHERI,1716,hawidih north,92607,26.013778,86.121167,HAWIDIH NORTH,21,,412
BIHAR,10,DARBHANGA,215,BAHERI,1716,hawidih south,92608,25.994611,86.106778,HAWIDIH SOUTH,21,,32612
BIHAR,10,DARBHANGA,215,BAHERI,1716,hawidih middle,92609,25.971306,86.106944,HAWIDIH MIDDLE,21,,32612
BIHAR,10,DARBHANGA,215,BAHERI,1716,jorja,92610,26.015611,85.985417,JORJA,21,,12862
BIHAR,10,DARBHANGA,215,BAHERI,1716,mithunia,92611,25.953972,86.048639,MITHUNIA,21,,2087
BIHAR,10,DARBHANGA,215,BAHERI,1716,nimaithi,92612,26.034278,85.966778,NIMAITHI,21,,2310
BIHAR,10,DARBHANGA,215,BAHERI,1716,paghari,92613,25.997361,86.003861,PAGHARI,21,,3377
BIHAR,10,DARBHANGA,215,BAHERI,1716,samadhpura,92614,25.952444,86.036667,SAMADHPURA,21,,3358
BIHAR,10,DARBHANGA,215,BAHERI,1716,susari turki,92615,26.030528,86.086889,SUSARI TURKI,21,,15500
BIHAR,10,DARBHANGA,215,BAHERI,1716,thathopur,92616,25.975556,86.023528,THATHOPUR,21,,7518
BIHAR,10,DARBHANGA,215,BIRAUL,1718,afzala,92639,25.933483,86.233545,AFZALA,21,,14595
BIHAR,10,DARBHANGA,215,BIRAUL,1718,akbarpur benk,92640,25.916762,86.233421,AKBARPUR BENK,21,,6329
BIHAR,10,DARBHANGA,215,BIRAUL,1718,bairampur,92642,25.900234,86.116873,BAIRAMPUR,21,,2633
BIHAR,10,DARBHANGA,215,BIRAUL,1718,bhawanipur,92643,25.983338,86.216693,BHAWANIPUR,21,,17506
BIHAR,10,DARBHANGA,215,BIRAUL,1718,biraul,92644,25.933495,86.250106,BIRAUL,21,,1158
BIHAR,10,DARBHANGA,215,BIRAUL,1718,dumari,92646,25.916935,86.216851,DUMARI,21,,3080
BIHAR,10,DARBHANGA,215,BIRAUL,1718,ganwara tarwara,92647,25.95006,86.133431,GANWARA TARWARA,21,,27390
BIHAR,10,DARBHANGA,215,BIRAUL,1718,itwa shivnagar,92648,25.983396,86.133342,ITWA SHIVNAGAR,21,,8383
BIHAR,10,DARBHANGA,215,BIRAUL,1718,kahua,92649,25.983434,86.183393,KAHUA,21,,5227
BIHAR,10,DARBHANGA,215,BIRAUL,1718,kamarkala,92650,25.916712,86.133584,KAMARKALA,21,,1434
BIHAR,10,DARBHANGA,215,BIRAUL,1718,ladaho,92651,25.916851,86.200248,LADAHO,21,,3364
