,Block Name,Distance,GP Name,GP_lat,GP_long,TOT_P,Throughput,Village Name,Village_lat,Village_long
356,Chalisgaon,1.09677146236,RAJDEHRE,20.31847,74.88162,1474.0,23.584,Rajdehare,20.30985588,74.88674341
357,Chalisgaon,1.09677146236,RAJDEHRE,20.31847,74.88162,2151.0,34.416,Rajdehare Sett.,20.30985588,74.88674341
358,Chalisgaon,3.18142610835,KALMADU,20.6526,74.96443,669.0,10.704,Rajmane,20.65634989,74.93411718
359,Chalisgaon,4.21472612311,RAMNAGAR,20.61866,74.82938,771.0,12.336,Ramnagar,20.5820306,74.81896762
360,Chalisgaon,0.418490716458,RANJANGAON,20.41812,75.0477,4363.0,69.808,Ranjangaon,20.41793157,75.05171085
361,Chalisgaon,0.860540389842,ROHINI,20.36874,74.8641,2420.0,38.72,Rohini,20.37605702,74.86678885
362,Chalisgaon,0.350048324135,ROKADE,20.43792,75.07133,690.0,11.04,Rokade,20.4394362,75.07427423
363,Chalisgaon,0.707720122163,SANGVI,20.39346,75.06545,4196.0,67.136,Sangavi,20.3930678,75.07222737
364,Chalisgaon,1.52056375461,SAYGAON,20.51045,74.79203,6571.0,105.136,Sayagaon,20.4990809,74.80014286
365,Chalisgaon,2.5100688832,SEVANAGAR,20.55262,74.8264,1399.0,22.384,Sevanagar,20.56467747,74.80601834
366,Chalisgaon,2.71037756747,MHALSHEVGE,20.44328,74.86475,654.0,10.464,Shewari,20.44308205,74.8907625
367,Chalisgaon,0.342186555258,SHIDWADI,20.593,74.970472,1543.0,24.688,Shidwadi,20.59506639,74.96803594
368,Chalisgaon,0.442605041478,SHINDI,20.37144,74.92211,2330.0,37.28,Shindi,20.37366292,74.91858778
369,Chalisgaon,0.543386135416,SHIRASGAON,20.498444,74.866861,3202.0,51.232,Shirasgaon,20.50240198,74.86992099
370,Chalisgaon,5.16021190782,PATNA,20.35158,74.97574,1817.0,29.072,Shivapur,20.3634157,75.02360165
371,Chalisgaon,1.24398122005,TAKALI PR CSN,20.47014,75.02537,1998.0,31.968,Takali Pr. Chalisgaon (CT),20.4813252,75.02560638
372,Chalisgaon,0.793286518575,TALEGAON,20.40103,74.90856,3390.0,54.24,Talegaon,20.40816363,74.90846403
373,Chalisgaon,1.55129546684,TALONDE PRCSN,20.37059,75.08036,1075.0,17.2,Talode Pr. Chalisgaon,20.3567079,75.08183858
374,Chalisgaon,0.255576710613,TALONDE PR.DE,20.4781,74.84257,827.0,13.232,Talonde Pr. Dehere,20.47615753,74.84388158
375,Chalisgaon,1.07693787591,TAMASWADI,20.54477,74.82927,1362.0,21.792,Tamaswadi,20.54673295,74.83939837
376,Chalisgaon,0.668085346132,TAMBOLE BK.,20.42289,74.9612,269.0,4.304,Tambole Bk.,20.42601713,74.95572554
377,Chalisgaon,0.668085346132,TAMBOLE BK.,20.42289,74.9612,269.0,4.304,Tambole Kh.,20.42601713,74.95572554
378,Chalisgaon,0.831276890515,TAMGAVHAN,20.42236,74.84754,1193.0,19.088,Tamgavhan,20.42977565,74.84855037
379,Chalisgaon,0.349327012181,TARWADE BK.,20.52447,75.02904,1158.0,18.528,Tarwade Bk.,20.52707241,75.03091911
380,Chalisgaon,0.943645325884,TEKAWADE KH.,20.58752,75.0523,727.0,11.632,Tekwade Bk.,20.58972545,75.06105394
381,Chalisgaon,0.943645325884,TEKAWADE KH.,20.58752,75.0523,727.0,11.632,Tekwade Kh.,20.58972545,75.06105394
382,Chalisgaon,1.04401105291,TIRPOLE,20.55704,74.91159,1552.0,24.832,Tirpole,20.56636305,74.91040338
383,Chalisgaon,0.556069298413,UMBERKHEDE,20.53803,74.91029,7159.0,114.544,Umbarkhede,20.54303047,74.91022405
384,Chalisgaon,1.87102439793,UPKHED,20.54752,74.81836,2566.0,41.056,Upkhede,20.56201852,74.82748023
385,Chalisgaon,0.578818949911,VARKHEDE BK.,20.56761,74.86661,693.0,11.088,Varkhede Bk.,20.56321233,74.86363526
386,Chalisgaon,0.578818949911,VARKHEDE BK.,20.56761,74.86661,693.0,11.088,Varkhede Kh.,20.56321233,74.86363526
387,Chalisgaon,0.567074603338,VALTHAN,20.37238,74.98315,3111.0,49.776,Varthan,20.37717811,74.98499344
388,Chalisgaon,3.84532819563,VISAPUR,20.61574,74.84621,1350.0,21.6,Visapur,20.59189157,74.81945556
389,Chalisgaon,0.855090219881,ODHARE,20.35278,74.9325,1719.0,27.504,Vishnunagar,20.35745342,74.92598625
390,Chalisgaon,0.867314235152,WAGHADU,20.448722,75.053,2343.0,37.488,Waghadu,20.4564346,75.05175767
391,Chalisgaon,0.200595015694,WAGHALE,20.438222,75.121222,590.0,9.44,Waghale,20.43748207,75.12297779
392,Chalisgaon,1.5984272431,ROKADE,20.43792,75.07133,366.0,5.856,Waghari,20.43684686,75.08662782
393,Chalisgaon,1.47779619414,WAKADI,20.451833,75.065583,507.0,8.112,Wakadi,20.45369214,75.07962784
394,Chopda,2.51543846514,ADGAON,21.28031,75.3261,4547.0,72.752,Adgaon,21.30021706,75.3376322
395,Chopda,2.67548895821,ADAWAD,21.22093,75.44079,24357.0,389.712,Adwad,21.23998463,75.45655209
