Sl. No.,Block Name,Distance,GP Name,GP_lat,GP_long,TOT_P,Throughput,Village Name,Village_lat,Village_long
100,Akkalkuwa,3.4819447073,DEBRAMAL,21.870667,74.011694,469,7.504,Palaskhobra,21.85636632,73.98167734
101,Akkalkuwa,3.5656124751,WADVFALI,21.7375,73.848361,1533,24.528,Pandhramati,21.75204425,73.87912852
102,Akkalkuwa,3.0055548123,JAMANA,21.709972,74.090833,930,14.88,Patbara,21.68686129,74.10591965
103,Akkalkuwa,0.7593505755,PECHARIDEV,21.525417,73.873556,1321,21.136,Pechari Deo,21.52005669,73.86900774
104,Akkalkuwa,1.8666539575,PIPALKHUTA,21.775139,73.928056,2744,43.904,Pimpalkhuta,21.75884844,73.92369161
105,Akkalkuwa,0.4239075208,BHAGARPANI,21.7889,74.062055,649,10.384,Pimprapani,21.79019552,74.06591629
106,Akkalkuwa,0.8649516081,RAJMOHI M,21.55025,74.043167,250,4,Pimpripada,21.55802867,74.04314509
107,Akkalkuwa,0.9348868286,BHAGARPANI,21.7889,74.062055,175,2.8,Pimpti,21.78420562,74.06956657
108,Akkalkuwa,0.581504194,PORAMBI,21.503944,73.866944,953,15.248,Porambi,21.50101924,73.86228445
109,Akkalkuwa,0.5651459003,RASINGPUR,21.575587,73.939887,1300,20.8,Raisingpur,21.57772792,73.93493009
110,Akkalkuwa,0.2566524225,RAJMOHI M,21.55025,74.043167,1981,31.696,Rajmohi Chhoti,21.5510038,74.04551254
111,Akkalkuwa,0.2566524225,RAJMOHI M,21.55025,74.043167,1981,31.696,Rajmohi (Mothi),21.5510038,74.04551254
112,Akkalkuwa,2.7553180533,MORAMBA,21.579194,73.88075,994,15.904,Ratanbara,21.5959121,73.90041936
113,Akkalkuwa,1.4304404598,MORAMBA,21.579194,73.88075,2368,37.888,Rojkund,21.589129,73.88953847
114,Akkalkuwa,2.3754413491,SAKALIUMBAR,21.743333,74.013944,1566,25.056,Sakliumar,21.73366633,74.03445318
115,Akkalkuwa,2.2811764168,DEBRAMAL,21.870667,74.011694,255,4.08,Sambar,21.8504556,74.00790453
116,Akkalkuwa,1.2424100508,UDEPUR M.,21.533889,73.912083,875,14,Sheltapani,21.52742021,73.90228937
117,Akkalkuwa,2.6263904078,SINDURI,21.828889,73.913944,1297,20.752,Sinduri,21.80971949,73.89907987
118,Akkalkuwa,3.965125323,SIGPUR BHU,21.587333,74.106583,1039,16.624,Singpur Bk,21.62152206,74.09568376
119,Akkalkuwa,1.2903265914,ALVIHIR,21.618972,74.107861,1039,16.624,Singpur Kh,21.62152206,74.09568376
120,Akkalkuwa,1.0097321676,ALVIHIR,21.618972,74.107861,575,9.2,Sojdan,21.62370835,74.11619509
121,Akkalkuwa,0.8888230931,SORAPADO,21.555278,74.000139,2111,33.776,Sorapada,21.54902627,74.00549439
122,Akkalkuwa,1.8736696255,PIPALKHUTA,21.775139,73.928056,1253,20.048,Surgas,21.78023643,73.94535115
123,Akkalkuwa,0.5495527838,TALAMBA,21.552222,73.849528,1472,23.552,Talamba,21.54903256,73.85358711
124,Akkalkuwa,2.46730154,PECHARIDEV,21.525417,73.873556,990,15.84,Tawali,21.50932701,73.85713185
125,Akkalkuwa,1.0630647812,THANAVIHIR,21.591694,74.036667,1483,23.728,Thanavihir,21.58368771,74.03104791
126,Akkalkuwa,2.4577299128,VIRPUR,21.574278,74.048194,658,10.528,Timakmauli,21.56830847,74.02530969
127,Akkalkuwa,1.6220439252,DAB,21.708194,74.024167,649,10.384,Todikund,21.6979492,74.0353437
128,Akkalkuwa,0.6243007194,UDEPUR M.,21.533889,73.912083,802,12.832,Udepur,21.53138855,73.91748709
129,Akkalkuwa,1.2926509465,RASINGPUR,21.575587,73.939887,61,0.976,Ukhalsag,21.58468709,73.93210768
130,Akkalkuwa,1.9035796962,UMARAGAVHAN,21.685838,74.081003,1216,19.456,Umaragavhan,21.67474837,74.0669683
131,Akkalkuwa,0.7205901619,PECHARIDEV,21.525417,73.873556,964,15.424,Umarkuva,21.52928287,73.86796493
132,Akkalkuwa,2.85387626,BHAGARPANI,21.7889,74.062055,708,11.328,Umati,21.76597095,74.07447284
133,Akkalkuwa,1.2272922199,M.AKKUSHVIHIR,21.574357,73.980198,219,3.504,Vakadhaman,21.58395229,73.97433229
134,Akkalkuwa,2.0622206639,VANYAVIHIR,21.562333,74.00575,2115,33.84,Vanyavihir Bk,21.56238637,74.02569146
135,Akkalkuwa,2.0622206639,VANYAVIHIR,21.562333,74.00575,2115,33.84,Vanyavihir Kh,21.56238637,74.02569146
136,Akkalkuwa,5.9317668651,PIPALKHUTA,21.775139,73.928056,1286,20.576,Vehgi,21.72184418,73.9305629
137,Akkalkuwa,3.30914584,BHAGARPANI,21.7889,74.062055,1795,28.72,Veri,21.81579051,74.04832327
138,Akkalkuwa,0.9381220611,VIRPUR,21.574278,74.048194,935,14.96,Virpur,21.5753711,74.03919811
139,Akkalkuwa,5.5914032701,NALA,21.581278,74.005722,1764,28.224,Wadfali (Na),21.57398433,74.05922436
140,Akkalkuwa,1.081867411,WADVFALI,21.7375,73.848361,1764,28.224,Wadfali (R),21.736544,73.85878457
141,Akkalkuwa,4.1538198179,VELI,21.741806,74.005556,818,13.088,Wadibar,21.72370204,74.04073248
142,Akkalkuwa,1.8966781224,DAB,21.708194,74.024167,1696,27.136,Walamba (k),21.70962114,74.005872
143,Akkalkuwa,3.3893898385,DEBRAMAL,21.870667,74.011694,289,4.624,Welkhadi,21.8424099,74.0240099
