State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-II,1929,laxmipur rampurwa,95954,27.385361,83.896917,LAXMIPUR RAMPURWA,21,,3800
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-II,1929,mahuawa katharwa,95955,27.306333,83.988722,MAHUAWA KATHARWA,21,,1605
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-II,1929,mangalpur awsani,95956,27.160333,84.049972,MANGALPUR AWSANI,21,,646
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-II,1929,naurangiya dardari,95957,27.287917,83.945444,NAURANGIYA DARDARI,21,,1640
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-II,1929,nayagaon rampur,95958,27.171778,84.045583,NAYAGAON RAMPUR,21,,1872
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-II,1929,paikwaliya marjadpur,95959,27.198917,84.158583,PAIKWALIYA MARJADPUR,21,,1013
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-II,1929,santpur sohriya,95960,27.378028,83.947722,SANTPUR SOHRIYA,21,,2006
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-II,1929,semara kathkuiya,95961,27.217944,84.131611,SEMARA KATHKUIYA,21,,677
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-II,1929,yamunapur tarbalia,95962,27.208167,84.074917,YAMUNAPUR TARBALIA,21,,985
BIHAR,10,PASHCHIM CHAMPARAN,203,BAIRIA,1930,bagahi ratanpur,95964,26.818639,84.410972,BAGAHI RATANPUR,21,,17367
BIHAR,10,PASHCHIM CHAMPARAN,203,BAIRIA,1930,bairiya,95966,26.753417,84.448532,BAIRIYA,21,,13324
BIHAR,10,PASHCHIM CHAMPARAN,203,BAIRIA,1930,bathna,95967,26.723751,84.445806,BATHNA,21,,732
BIHAR,10,PASHCHIM CHAMPARAN,203,BAIRIA,1930,dakshini patjirwa,95969,26.799235,84.400694,DAKSHINI PATJIRWA,21,,27172
BIHAR,10,PASHCHIM CHAMPARAN,203,BAIRIA,1930,fuliyakhar,95970,26.688452,84.450556,FULIYAKHAR,21,,528
BIHAR,10,PASHCHIM CHAMPARAN,203,BAIRIA,1930,laukariya,95971,26.672333,84.427694,LAUKARIYA,21,,10522
BIHAR,10,PASHCHIM CHAMPARAN,203,BAIRIA,1930,malahi balua,95972,26.741028,84.425667,MALAHI BALUA,21,,5266
BIHAR,10,PASHCHIM CHAMPARAN,203,BAIRIA,1930,miyapur,95973,26.736639,84.460694,MIYAPUR,21,,9639
BIHAR,10,PASHCHIM CHAMPARAN,203,BAIRIA,1930,pakhnaha dumariya,95974,26.748444,84.405528,PAKHNAHA DUMARIYA,21,,11973
BIHAR,10,PASHCHIM CHAMPARAN,203,BAIRIA,1930,suryapur,95976,26.76775,84.399833,SURYAPUR,21,,2056
BIHAR,10,PASHCHIM CHAMPARAN,203,BAIRIA,1930,tadhwa nandpur,95977,26.754639,84.436778,TADHWA NANDPUR,21,,2394
BIHAR,10,PASHCHIM CHAMPARAN,203,BAIRIA,1930,tumkariya,95978,26.776528,84.426056,TUMKARIYA,21,,3503
BIHAR,10,PASHCHIM CHAMPARAN,203,BAIRIA,1930,uttari patjirwa,95979,26.810389,84.385556,UTTARI PATJIRWA,21,,27172
BIHAR,10,PASHCHIM CHAMPARAN,203,BETTIAH,1931,ahwar majhariya,95980,26.759028,84.577306,AHWAR MAJHARIYA,21,,6366
BIHAR,10,PASHCHIM CHAMPARAN,203,BETTIAH,1931,banuchhapar,95981,26.808023,84.534111,BANUCHHAPAR,21,,168
BIHAR,10,PASHCHIM CHAMPARAN,203,BETTIAH,1931,barwat pasrain,95982,26.781444,84.536278,BARWAT PASRAIN,21,,786
BIHAR,10,PASHCHIM CHAMPARAN,203,BETTIAH,1931,barwatsena,95983,26.772694,84.555722,BARWATSENA,21,,1932
