State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,JEHANABAD,235,GHOSHI,1780,golakpur,3758200,25.179842,85.09368,Golakpur,21,,2952
BIHAR,10,JEHANABAD,235,GHOSHI,1780,lakhawar,3758300,25.134094,85.090172,Lakhawar,21,,1784
BIHAR,10,JEHANABAD,235,GHOSHI,1780,uber,3758500,25.092968,85.074804,Uber,21,,813
BIHAR,10,JEHANABAD,235,GHOSHI,1780,shaho bigha,3759400,25.116071,85.106978,Shaho Bigha,21,,10229
BIHAR,10,JEHANABAD,235,GHOSHI,1780,kure,3759500,25.096718,85.097091,Kure,21,,823
BIHAR,10,JEHANABAD,235,GHOSHI,1780,parawan,3760000,25.050695,85.088366,Parawan,21,,506
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,majhos,3761500,25.063235,84.909923,Majhos,21,,1172
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,makarpur,3764000,25.032439,84.987776,Makarpur,21,,823
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,chhariyari,3765300,25.062737,85.03021,Chhariyari,21,,424
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,kachnanwan,3765700,25.083895,84.939432,Kachnanwan,21,,1616
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,kumardih,3767100,25.106775,84.95318,Kumardih,21,,1063
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,kohara,3767200,25.130357,84.977196,Kohara,21,,2088
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,suganwan,3767400,25.115822,85.002449,Suganwan,21,,421
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,e. saren,3767500,25.105024,84.984329,E. Saren,21,,526
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,w. saren,3767500,25.105024,84.984329,W. Saren,21,,526
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,kalanaur,3768200,25.095265,85.011284,Kalanaur,21,,823
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,punahba,3769300,25.120162,84.922955,Punahba,21,,471
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,malathi,3770100,25.11826,85.039743,Malathi,21,,823
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,bela birro,3770400,25.089379,85.035474,Bela Birro,21,,1314
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,dharaut,3771300,25.058915,85.042497,Dharaut,21,,4000
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,bhekh,3771400,25.035948,85.062505,Bhekh,21,,461
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,jamanganj,3771600,25.034807,85.085044,Jamanganj,21,,4000
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,jagpura,3772600,25.019152,84.924236,Jagpura,21,,1335
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,solhanda,3777500,25.06606,84.956058,Solhanda,21,,424
BIHAR,10,JEHANABAD,235,MODANGANJ                                         ,1785,bandhuganj,3754600,25.216412,85.141278,Bandhuganj,2,,1144
BIHAR,10,JEHANABAD,235,HULASGANJ                                         ,1781,bauri,3773600,25.083740,85.111417,Bauri,2,,823
BIHAR,10,JEHANABAD,235,MODANGANJ                                         ,1785,bishunpur okri,3751400,25.277932,85.147458,Bishunpur Okri,2,,823
BIHAR,10,JEHANABAD,235,HULASGANJ                                         ,1781,chiri,3771900,25.169688,85.148307,Chiri,2,,1038
BIHAR,10,JEHANABAD,235,HULASGANJ                                         ,1781,dabthu,3776000,25.091972,85.183164,Dabthu,2,,3908
BIHAR,10,JEHANABAD,235,MODANGANJ                                         ,1785,dewara,3751600,25.293286,85.150769,Dewara,2,,4000
BIHAR,10,JEHANABAD,235,MODANGANJ                                         ,1785,gandhar,3749800,25.219386,85.135975,Gandhar,2,,405
