State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,MADHEPURA,213,KUMARKHAND,1841,kumarkhand block,88888,25.995028,86.992444,Kumarkhand Block,21,,11650
BIHAR,10,MADHEPURA,213,UDA KISHANGANJ,1847,mkhara,88888,25.651389,86.831667,Mkhara,21,,9359
BIHAR,10,MADHEPURA,213,ALAMNAGAR,1835,alamnagar (north),94422,25.575833,86.901944,Alamnagar (North),21,,2234
BIHAR,10,MADHEPURA,213,ALAMNAGAR,1835,alamnagar (south),94423,25.563611,86.895278,Alamnagar (South),21,,2234
BIHAR,10,MADHEPURA,213,ALAMNAGAR,1835,alamnagar (east),94424,25.560556,86.91,Alamnagar (East),21,,2234
BIHAR,10,MADHEPURA,213,ALAMNAGAR,1835,bargaon,94425,25.539444,86.866944,Bargaon,21,,12157
BIHAR,10,MADHEPURA,213,ALAMNAGAR,1835,basanbara,94426,25.599167,86.857778,Basanbara,21,,4427
BIHAR,10,MADHEPURA,213,ALAMNAGAR,1835,bispatty,94427,25.62,86.890278,Bispatty,21,,1552
BIHAR,10,MADHEPURA,213,ALAMNAGAR,1835,gangapur,94428,25.505,86.885556,Gangapur,21,,17570
BIHAR,10,MADHEPURA,213,ALAMNAGAR,1835,itahari,94429,25.537778,86.896111,Itahari,21,,7377
BIHAR,10,MADHEPURA,213,ALAMNAGAR,1835,khapur,94430,25.493056,86.850833,Khapur,21,,17267
BIHAR,10,MADHEPURA,213,ALAMNAGAR,1835,khurhan,94431,25.6025,86.862222,Khurhan,21,,9692
BIHAR,10,MADHEPURA,213,ALAMNAGAR,1835,kishanpur ratwara,94432,25.481944,86.851667,Kishanpur Ratwara,21,,2426
BIHAR,10,MADHEPURA,213,ALAMNAGAR,1835,kujauri,94433,25.549167,86.929444,Kujauri,21,,9368
BIHAR,10,MADHEPURA,213,ALAMNAGAR,1835,northua bhagipur,94434,25.568333,86.923056,Northua Bhagipur,21,,7824
BIHAR,10,MADHEPURA,213,ALAMNAGAR,1835,singhar,94435,25.603333,86.908056,Singhar,21,,6670
BIHAR,10,MADHEPURA,213,BIHARIGANJ,1836,babhangawan,94436,25.791389,86.972778,Babhangawan,21,,2267
BIHAR,10,MADHEPURA,213,BIHARIGANJ,1836,biharganj,94437,25.742222,86.990556,Biharganj,21,,12157
BIHAR,10,MADHEPURA,213,BIHARIGANJ,1836,gamail,94438,25.701667,86.986944,Gamail,21,,3565
BIHAR,10,MADHEPURA,213,BIHARIGANJ,1836,hathiaundha,94439,25.71811,87.0013,Hathiaundha,21,,16044
BIHAR,10,MADHEPURA,213,BIHARIGANJ,1836,kushthan,94440,25.742222,86.990556,Kushthan,21,,7408
BIHAR,10,MADHEPURA,213,BIHARIGANJ,1836,lakshmipur lalchand,94441,25.683889,87.018889,Lakshmipur Lalchand,21,,2578
BIHAR,10,MADHEPURA,213,BIHARIGANJ,1836,madhukarchak,94442,25.7025,87.008056,Madhukarchak,21,,9814
BIHAR,10,MADHEPURA,213,BIHARIGANJ,1836,mohanpur,94443,25.722222,86.964722,Mohanpur,21,,5018
