State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,PATNA,230,ATHAMALGOLA,1946,athmalgola block,88888,25.461177,85.605048,Athmalgola Block,21,,7556
BIHAR,10,PATNA,230,BAKHTIARPUR,1947,baktiyarpur block,88888,25.461507,85.530094,Baktiyarpur Block,21,,4281
BIHAR,10,PATNA,230,BARH,1948,block,88888,25.465452,85.694052,Block,21,,13000
BIHAR,10,PATNA,230,BIKRAM,1951,bikram block,88888,25.446608,84.860278,Bikram Block,21,,808
BIHAR,10,PATNA,230,DHANARUA,1953,dhanarua block,88888,25.363058,85.133005,Dhanarua Block,21,,665
BIHAR,10,PATNA,230,DINAPUR,1954,block,88888,25.643278,85.062014,Block,21,,13000
BIHAR,10,PATNA,230,DULHIN BAZAR,1955,dulhin bazar block,88888,25.388104,84.859083,Dulhin Bazar Block,21,,2664
BIHAR,10,PATNA,230,FATUHA,1956,fatuha block,88888,25.5082,85.301321,Fatuha Block,21,,13000
BIHAR,10,PATNA,230,MASAURHI,1960,masauri block,88888,25.366752,85.042634,MASAURI BLOCK,21,,13000
BIHAR,10,PATNA,230,MOKAMA,1961,mokama block,88888,25.403875,85.905569,Mokama Block,21,,13000
BIHAR,10,PATNA,230,NAUBATPUR,1962,naubatpur block,88888,25.478706,84.959194,Naubatpur Block,21,,13000
BIHAR,10,PATNA,230,PATNA SADAR,1965,block,88888,25.619454,85.142547,Block,21,,13000
BIHAR,10,PATNA,230,PHULWARI,1966,block,88888,25.580709,85.076758,Block,21,,13000
BIHAR,10,PATNA,230,ATHAMALGOLA,1946,bahadurpur,96229,25.451509,85.615026,BAHADURPUR,21,,13365
BIHAR,10,PATNA,230,ATHAMALGOLA,1946,kalyanpur,96230,25.460499,85.596873,KALYANPUR,21,,1508
BIHAR,10,PATNA,230,ATHAMALGOLA,1946,karjan,96231,25.441401,85.621158,KARJAN,21,,2264
BIHAR,10,PATNA,230,ATHAMALGOLA,1946,phulelpur meaura,96232,25.436596,85.636522,PHULELPUR MEAURA,21,,1830
