State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Meh, 168796, 20.546129, 72.895334, Meh, 2, 
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Tithal, 168819, 20.596167, 72.898037, Tithal, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, UMARSADI DESAIVAD, 251741, 20.511704, 72.899586, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Magod mandir, 168792, 20.556519, 72.900307, Magod mandir, 2, 
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Surwada, 168816, 20.569559, 72.900711, Surwada, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, BHATIKARAMBELI, 168701, 20.305723, 72.902752, BHATIKARAMBELI, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, UMARSADI MACHHIVAD, 88888, 20.527001, 72.903057, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, KUNTA ---MORAI, 88888, 20.428091, 72.903645, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Bhadeli jagala, 168749, 20.6489, 72.904528, Bhadeli jagala, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, KIKARLA, 168653, 20.46473, 72.905032, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, SARAN, 168683, 20.447063, 72.906121, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Bhagod, 168751, 20.535504, 72.906523, Bhagod, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, PALSANA, 168671, 20.474254, 72.906705, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, VALVADA, 168742, 20.322711, 72.907605, VALVADA, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, ZAROLI, 168744, 20.231698, 72.908206, ZAROLI, 2, 
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Atar, 168746, 20.550245, 72.908965, Atar, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, BALITHA, 168629, 20.402165, 72.91032, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Malvan, 168794, 20.722528, 72.910522, Malvan, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, RETLAV, 168679, 20.462873, 72.911964, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Segvi, 168813, 20.587809, 72.912374, Segvi, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, BAGWADA, 168627, 20.431574, 72.913091, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, BORALAI, 168703, 20.316174, 72.913948, BORALAI, 2, 
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Chharvada, 168758, 20.674773, 72.918621, Chharvada, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, ORVAD, 168670, 20.458977, 72.919705, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, MOTIWADA, 168664, 20.469026, 72.92038, Panchayath, 2, 
