1115,"[(19.636953569999999, 77.223562389999998), 26.047999999999998, {0: [-54.433975731403294, -24.566024268596706], 1: [-53.73102388223103, -25.268976117768972], 2: [-51.764089568408025, -27.235910431591975]}]"
1116,"[(19.650825090000001, 77.21870783), 9.0719999999999992, {0: [-55.801275941319375, -24.198724058680625], 1: [-51.17308155198671, -28.826918448013288], 2: [-47.2333799246404, -32.7666200753596]}]"
1117,"[(19.655756530000001, 77.245059080000004), 31.696000000000002, {1: [-59.711677939104106, -19.288322060895894], 2: [-51.59909649953154, -27.40090350046846]}]"
1118,"[(19.66492607, 77.198831479999996), 9.9199999999999999, {12: [-55.64703667370081, -24.35296332629919], 13: [-60.40782147490681, -19.59217852509319], 4: [-51.28751194518043, -28.712488054819573], 5: [-54.40455618089979, -25.59544381910021], 7: [-50.865495875186326, -29.134504124813674]}]"
1119,"[(19.66738235, 77.066558529999995), 78.975999999999999, {11: [-57.29768346690925, -16.70231653309075], 10: [-53.9050523040093, -20.094947695990697], 3: [-48.5948084872868, -25.405191512713202]}]"
1120,"[(19.675125139999999, 77.169776510000005), 31.120000000000001, {4: [-53.828324398448714, -25.171675601551286], 5: [-46.50749918819881, -32.49250081180119], 6: [-52.40442558295118, -26.595574417048823], 7: [-58.7407075770322, -20.259292422967803], 12: [-56.8093594732555, -22.190640526744502], 13: [-55.254834044992194, -23.745165955007806]}]"
1121,"[(19.680722719999999, 77.195185370000004), 26.719999999999999, {4: [-55.16648733314497, -23.83351266685503], 5: [-51.653764725753206, -27.346235274246794], 6: [-59.97781928912781, -19.022180710872192], 7: [-49.65162671128245, -29.348373288717553], 12: [-46.93694953332769, -32.06305046667231], 13: [-57.12002291342233, -21.879977086577668], 17: [-60.697927707075365, -18.302072292924635], 18: [-60.49840377474628, -18.50159622525372]}]"
1122,"[(19.68116985, 77.230895459999999), 21.263999999999999, {16: [-58.863486861464224, -20.136513138535776], 19: [-60.56859294346998, -18.43140705653002], 12: [-58.28297388380392, -20.71702611619608], 7: [-54.54839862834561, -24.45160137165439]}]"
1123,"[(19.68680865, 77.113693780000006), 2.2559999999999998, {8: [-43.209129501541625, -36.790870498458375], 15: [-58.37900761857787, -21.620992381422127]}]"
1124,"[(19.690779559999999, 77.060097600000006), 16.064, {11: [-52.0010060391713, -27.9989939608287], 10: [-39.206073573447, -40.793926426553], 3: [-58.59245413489134, -21.40754586510866]}]"
1125,"[(19.691685929999998, 77.210929019999995), 22.800000000000001, {4: [-59.92026840416949, -19.07973159583051], 5: [-58.217750213014554, -20.782249786985446], 7: [-51.330877491555995, -27.669122508444005], 12: [-50.6979190858504, -28.3020809141496], 13: [-59.449203954605395, -19.550796045394605], 16: [-60.329160628061516, -18.670839371938484], 17: [-60.395368340669464, -18.604631659330536], 18: [-58.785644241480185, -20.214355758519815], 19: [-60.00287123396416, -18.997128766035843], 20: [-59.76311744073743, -19.23688255926257]}]"
1126,"[(19.693540209999998, 77.133226590000007), 0.80000000000000004, {13: [-58.6156129068069, -21.384387093193098], 6: [-55.306344722375115, -24.693655277624885]}]"
1127,"[(19.69445589, 77.004140820000003), 15.504, {9: [-48.42225356557711, -31.57774643442289]}]"
1128,"[(19.696117860000001, 77.185642920000006), 25.456, {4: [-58.91809497154951, -20.081905028450493], 5: [-54.032767343642035, -24.967232656357965], 6: [-59.16331988703877, -19.836680112961233], 7: [-56.756964700462305, -22.243035299537695], 12: [-48.862982093352926, -30.137017906647074], 13: [-51.00500632552698, -27.994993674473022], 17: [-56.46703472156288, -22.532965278437118], 18: [-57.179010276711935, -21.820989723288065]}]"
1130,"[(19.704684799999999, 77.032893580000007), 55.311999999999998, {10: [-57.47583108016235, -18.52416891983765], 11: [-53.2800102497076, -22.7199897502924]}]"
1131,"[(19.708018460000002, 77.073127099999994), 45.375999999999998, {15: [-47.74862665254339, -28.251373347456607]}]"
1132,"[(19.708498049999999, 77.18847452), 4.1120000000000001, {5: [-58.142750491222955, -21.857249508777045], 7: [-58.93193188169778, -21.06806811830222], 12: [-53.603074177291475, -26.396925822708525], 13: [-53.42896371519784, -26.57103628480216], 17: [-52.27431818839426, -27.72568181160574], 18: [-52.46624204251002, -27.533757957489982], 20: [-59.9004273247042, -20.099572675295803], 24: [-58.30198711322427, -21.69801288677573]}]"
1134,"[(19.72082378, 77.232867369999994), 3.552, {16: [-53.368810314780134, -26.631189685219866], 24: [-58.16270038742212, -21.83729961257788], 19: [-42.968106258937155, -37.031893741062845], 20: [-48.393008477402475, -31.606991522597525]}]"
1135,"[(19.723073589999998, 76.952946620000006), 11.215999999999999, {21: [-60.11682246692291, -19.883177533077088]}]"
1136,"[(19.72649758, 77.211454369999998), 20.800000000000001, {12: [-59.54738004974968, -19.452619950250323], 16: [-59.702016855167855, -19.297983144832145], 17: [-57.39620068922301, -21.603799310776992], 18: [-51.29611643892159, -27.703883561078413], 19: [-55.313888635940856, -23.686111364059144], 20: [-50.51390466948368, -28.48609533051632], 24: [-51.28273969793533, -27.717260302064673]}]"
