State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phas
BIHAR,10,BANKA,225,DHURAIYA,1650,MAKAITA BABURA,91614,25.066367,87.098283,MAKAITA BABURA,21
BIHAR,10,BANKA,225,DHURAIYA,1650,PAIR,91615,24.893033,87.138733,PAIR,21
BIHAR,10,BANKA,225,DHURAIYA,1650,RANGAON,91616,24.865383,87.115267,RANGAON,21
BIHAR,10,BANKA,225,DHURAIYA,1650,SAINCHAK,91617,25.015883,87.081653,SAINCHAK,21
BIHAR,10,BANKA,225,DHURAIYA,1650,SIJHAT BALIYAS,91618,25.039217,87.105583,SIJHAT BALIYAS,21
BIHAR,10,BANKA,225,DHURAIYA,1650,TAHIRPUR GOURA,91619,25.033567,87.143753,TAHIRPUR GOURA,21
BIHAR,10,BANKA,225,FULLIDUMAR,1651,BHITIYA,91620,24.922895,86.735071,BHITIYA,21
BIHAR,10,BANKA,225,FULLIDUMAR,1651,DAKSHINI KOJHI,91621,24.914292,86.781065,DAKSHINI KOJHI,21
BIHAR,10,BANKA,225,FULLIDUMAR,1651,FULLIDUMAR,91622,24.981716,86.790566,FULLIDUMAR,21
BIHAR,10,BANKA,225,FULLIDUMAR,1651,KAITHA,91623,25.011556,86.784166,KAITHA,21
BIHAR,10,BANKA,225,FULLIDUMAR,1651,KENDUAR,91624,25.024193,86.833665,KENDUAR,21
BIHAR,10,BANKA,225,FULLIDUMAR,1651,KHESHAR,91625,24.956883,86.724451,KHESHAR,21
BIHAR,10,BANKA,225,FULLIDUMAR,1651,PATHDDA,91626,25.019433,86.766401,PATHDDA,21
BIHAR,10,BANKA,225,FULLIDUMAR,1651,RATA,91627,24.968783,86.743866,RATA,21
BIHAR,10,BANKA,225,FULLIDUMAR,1651,SADPUR,91628,24.988133,86.826453,SADPUR,21
BIHAR,10,BANKA,225,FULLIDUMAR,1651,TELIYA PAHAR,91629,24.994683,86.823252,TELIYA PAHAR,21
BIHAR,10,BANKA,225,FULLIDUMAR,1651,UTTARI KOJHI,91630,24.971382,86.817425,UTTARI KOJHI,21
