,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
5215,DEHRADUN,Chakrata,Astad,ASTAAD
5216,DEHRADUN,Chakrata,baanpur,baanpur
5217,DEHRADUN,Chakrata,Bangoti,BURASWA
5218,DEHRADUN,Chakrata,Baniyana,BANIYANA
5219,DEHRADUN,Chakrata,Bhaimoo,BEHMU
5220,DEHRADUN,Chakrata,Bhatar Chhautar,BHATAAD-CHOTAAD
5221,DEHRADUN,Chakrata,Bhoopau,DASAU
5222,DEHRADUN,Chakrata,Bijanu,BIJANU
5223,DEHRADUN,Chakrata,Birmau,
5224,DEHRADUN,Chakrata,Birpa,birpa
5225,DEHRADUN,Chakrata,Bisau,DAIRIYO
5226,DEHRADUN,Chakrata,Bisoi,NITHLA
5227,DEHRADUN,Chakrata,Bohaa,BOHA
5228,DEHRADUN,Chakrata,Buraswa,BURASWA
5229,DEHRADUN,Chakrata,chausaal,Chausaal
5230,DEHRADUN,Chakrata,Chhatau,CHATAU
5231,DEHRADUN,Chakrata,Chhultar,CHULTADH
5232,DEHRADUN,Chakrata,Chor Kunawa,CHOR KUNAVA
5233,DEHRADUN,Chakrata,Chunauti,BIJANU
5234,DEHRADUN,Chakrata,Dabla,DABLA
5235,DEHRADUN,Chakrata,Daduwa,KITRAULI
5236,DEHRADUN,Chakrata,Dakerna,KOTHI
5237,DEHRADUN,Chakrata,Dassou,DASAU
5238,DEHRADUN,Chakrata,Daudha,DAUDHA
5239,DEHRADUN,Chakrata,Derio,DAIRIYO
5240,DEHRADUN,Chakrata,Dhaura Pudia,DHAURAPUDIYA
5241,DEHRADUN,Chakrata,Dohajhusau,DOHA
5242,DEHRADUN,Chakrata,Dunawa,MALAITHA
5243,DEHRADUN,Chakrata,Gamari,MAGHGAON (KWAN)
5244,DEHRADUN,Chakrata,Gawaila,GABELA
5245,DEHRADUN,Chakrata,Ghananta,GHANTA
5246,DEHRADUN,Chakrata,Ghighau,KETARI
5247,DEHRADUN,Chakrata,Guthar,GUTHAD
5248,DEHRADUN,Chakrata,Haja,HAJA
5249,DEHRADUN,Chakrata,Hajta,HASHTI
5250,DEHRADUN,Chakrata,Hayotagari,HAYOTANGARI
5251,DEHRADUN,Chakrata,Hoda,MAGROLLI
5252,DEHRADUN,Chakrata,Indroli,KANDHAR
5253,DEHRADUN,Chakrata,Jadi,JADI
5254,DEHRADUN,Chakrata,Jamuwa,HASHTI
5255,DEHRADUN,Chakrata,Jashta,JASTA
5256,DEHRADUN,Chakrata,Jogyo,JOGYO
5257,DEHRADUN,Chakrata,Kaitri,KETARI
5258,DEHRADUN,Chakrata,Kaknoi,KAKNAOI
5259,DEHRADUN,Chakrata,Kandar,KANDHAR
5260,DEHRADUN,Chakrata,Kandi Chamagata,KANDI CHAMA GATA
5261,DEHRADUN,Chakrata,Kandidhar,birpa
5262,DEHRADUN,Chakrata,Kharsi,KHARSI
5263,DEHRADUN,Chakrata,Kharwi(Khabou),KHABAU
5264,DEHRADUN,Chakrata,Khatuwa,KHATUWA
5265,DEHRADUN,Chakrata,Kitrauli,KITRAULI
5266,DEHRADUN,Chakrata,Kolaha,KOHLA
5267,DEHRADUN,Chakrata,Kondoi Dondar,KANDOI BONDAR
5268,DEHRADUN,Chakrata,Koruwa,KORWA
5269,DEHRADUN,Chakrata,Kota (Kuwanu),KOTAQUANU
5270,DEHRADUN,Chakrata,Kota(Taplad),KOTA TAPLAAD
5271,DEHRADUN,Chakrata,Kothi (Bamtad),KOTHI
5272,DEHRADUN,Chakrata,Koti (Bamtad),Sainj Bamtad
5273,DEHRADUN,Chakrata,Kotuwa,KOHLA
5274,DEHRADUN,Chakrata,Kunna,KUNNA
5275,DEHRADUN,Chakrata,Kurar Khanarsichar,KURAD KHANAD SINCHAAD
5276,DEHRADUN,Chakrata,Kwarana,KUWARNA
5277,DEHRADUN,Chakrata,Kyawa,NAGAU
5278,DEHRADUN,Chakrata,Lakha Mandal,LAKHA MANDAL
5279,DEHRADUN,Chakrata,Lawari(datruta),LAVDI
5280,DEHRADUN,Chakrata,Lorli,LORLI
5281,DEHRADUN,Chakrata,Luhari,LOHARI
5282,DEHRADUN,Chakrata,Maghgaon (Kwanu),MAGHGAON (KWAN)
5283,DEHRADUN,Chakrata,Mahpavata,BEHMU
5284,DEHRADUN,Chakrata,Mahrawna,MAHRAWNA
5285,DEHRADUN,Chakrata,Mailoth(kuwanu),MAILOTH-QUANU
5286,DEHRADUN,Chakrata,Majhgaon(Duwar),MAJHGAON
5287,DEHRADUN,Chakrata,Makhti,
5288,DEHRADUN,Chakrata,Malaitha,MALAITHA
5289,DEHRADUN,Chakrata,Mangrauli,MAGROLLI
5290,DEHRADUN,Chakrata,Manuwa,Manuwa
5291,DEHRADUN,Chakrata,Matad,KITRAULI
5292,DEHRADUN,Chakrata,Matiyana,MATIYANA
5293,DEHRADUN,Chakrata,Matiyawa,DOHA
5294,DEHRADUN,Chakrata,Mauthi,MOTHI
5295,DEHRADUN,Chakrata,Megar,MYUNDA
5296,DEHRADUN,Chakrata,Mendal,MENDAL
5297,DEHRADUN,Chakrata,Mohana,MOHANA
5298,DEHRADUN,Chakrata,Mungad,MUNGAD
5299,DEHRADUN,Chakrata,Myudha,MYUNDA
5300,DEHRADUN,Chakrata,Nada,NADA
5301,DEHRADUN,Chakrata,Nagou,NAGAU
5302,DEHRADUN,Chakrata,Naraya,NARAYA
5303,DEHRADUN,Chakrata,Ninus,ninus
5304,DEHRADUN,Chakrata,Nithala,NITHLA
5305,DEHRADUN,Chakrata,Pati,RAWANA
5306,DEHRADUN,Chakrata,Pratit Nagar,
5307,DEHRADUN,Chakrata,Punaha Pokhari,PUNAH POKHRI
5308,DEHRADUN,Chakrata,Pyunal,Pyunal
5309,DEHRADUN,Chakrata,Rampur Sharna,SAHIYA
5310,DEHRADUN,Chakrata,Rangyo,RANGYO
5311,DEHRADUN,Chakrata,Rawana,RAWANA
5312,DEHRADUN,Chakrata,Rikhar,RIKHAAD
5313,DEHRADUN,Chakrata,Rikhnad Range,
5314,DEHRADUN,Chakrata,Sahiya,SAHIYA
5315,DEHRADUN,Chakrata,Sainj,Sainj Bamtad
5316,DEHRADUN,Chakrata,Sainsa,Sainj Bamtad
5317,DEHRADUN,Chakrata,Salga,SALGA
5318,DEHRADUN,Chakrata,Samog,SAMOG
5319,DEHRADUN,Chakrata,Sawara,SAWADA
5320,DEHRADUN,Chakrata,Shibau,KETARI
5321,DEHRADUN,Chakrata,Shirwa,MAHRAWNA
5322,DEHRADUN,Chakrata,Sijla,JADI
5323,DEHRADUN,Chakrata,Silamu,SILAMU
5324,DEHRADUN,Chakrata,silvada,silavada
5325,DEHRADUN,Chakrata,Siribarkoti,SIDI BARKOTI
5326,DEHRADUN,Chakrata,Sujau,SUJAU
5327,DEHRADUN,Chakrata,Sunoda,MATIYANA
5328,DEHRADUN,Chakrata,Thana,THANA
5329,DEHRADUN,Chakrata,Thanta,THANTA
5330,DEHRADUN,Chakrata,Tikri Khera,THANA
5331,DEHRADUN,Chakrata,Tungra,Tungra
5332,DEHRADUN,Chakrata,Virpa,
5333,DEHRADUN,Dehradun,Akhandwali Bhilang,AKHANDWALI BHILANG
5334,DEHRADUN,Dehradun,Amwala Karanpur,NANOOR KHEDA
5335,DEHRADUN,Dehradun,Amwala Manjhala,NANOOR KHEDA
5336,DEHRADUN,Dehradun,Amwala Tarala,AMWALA TARLA
5337,DEHRADUN,Dehradun,Amwala Uparla,NANOOR KHEDA
5338,DEHRADUN,Dehradun,Arcadia Grant,AARKADIA GRANT
5339,DEHRADUN,Dehradun,Asarori,ASHA RODI
5340,DEHRADUN,Dehradun,Ashkrodi Range,
5341,DEHRADUN,Dehradun,Asthal,ASTHAL
5342,DEHRADUN,Dehradun,Badripur,BADRIPUR
5343,DEHRADUN,Dehradun,Bagradhauran,KARLI GAAD
5344,DEHRADUN,Dehradun,Bagral Gaon,
5345,DEHRADUN,Dehradun,Bajhet,ASTHAL
5346,DEHRADUN,Dehradun,Bakraal Goan,bakraal Gaon
5347,DEHRADUN,Dehradun,Bandawali,NAGAL HATNALA
5348,DEHRADUN,Dehradun,Banjarewala Mafi,BANJARAWALA
5349,DEHRADUN,Dehradun,Banvtha,SERAKI
5350,DEHRADUN,Dehradun,Barasi Grant,BADASI GRANT
5351,DEHRADUN,Dehradun,Bhagwant Pur,BHAGVANT PUR
5352,DEHRADUN,Dehradun,Bhaiswargaon,TIMLI MANSINGH
