,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
11475,PITHORAGARH,Berinag,Aamtal,SUNATI
11476,PITHORAGARH,Berinag,Adholi,DARMOLI
11477,PITHORAGARH,Berinag,Agriya Gara,ANGARIYAGARA
11478,PITHORAGARH,Berinag,Amhat,AAMHAT
11479,PITHORAGARH,Berinag,Amtar,HATWALGAON
11480,PITHORAGARH,Berinag,Anauli,GWEER
11481,PITHORAGARH,Berinag,Arari,AIRARI
11482,PITHORAGARH,Berinag,Asur,RAITOLI
11483,PITHORAGARH,Berinag,Asyali,BALYAU
11484,PITHORAGARH,Berinag,Badet Talla Senigaon,BARET SANIGAON
11485,PITHORAGARH,Berinag,Bagdoli,MANTOLI
11486,PITHORAGARH,Berinag,Baitholi,BAITHOLI
11487,PITHORAGARH,Berinag,Bajyar Bhandari,
11488,PITHORAGARH,Berinag,Balgari,
11489,PITHORAGARH,Berinag,Balyaoo,BALYAU
11490,PITHORAGARH,Berinag,Bamret Bhakunda,BARET SANIGAON
11491,PITHORAGARH,Berinag,Bana,
11492,PITHORAGARH,Berinag,Banauli,BORA AGAR
11493,PITHORAGARH,Berinag,Banoli,SANI KHET
11494,PITHORAGARH,Berinag,Bantoli,
11495,PITHORAGARH,Berinag,Baphila,BAFILA
11496,PITHORAGARH,Berinag,Barar,THAL
11497,PITHORAGARH,Berinag,Baret Baphila,BARAIT BAFILA
11498,PITHORAGARH,Berinag,Baret Chonala,
11499,PITHORAGARH,Berinag,Bartunga Sirtoli,PURANATHAL
11500,PITHORAGARH,Berinag,Baset,AAMHAT
11501,PITHORAGARH,Berinag,Baset,BOGAR
11502,PITHORAGARH,Berinag,Baset,KALASILA
11503,PITHORAGARH,Berinag,Batgal,BATGAL
11504,PITHORAGARH,Berinag,Batla Gaon,RAI GARSAYARI
11505,PITHORAGARH,Berinag,Batroli,BARET SANIGAON
11506,PITHORAGARH,Berinag,Batula Barola,LOHATHAL
11507,PITHORAGARH,Berinag,Baya,BUDERA
11508,PITHORAGARH,Berinag,Belda Agar,BALARA AGAR
11509,PITHORAGARH,Berinag,Belkot Bhandari,BELKOT
11510,PITHORAGARH,Berinag,Belkot Pande,BELKOT
11511,PITHORAGARH,Berinag,Beri Gaon,HIPA
11512,PITHORAGARH,Berinag,Berinag   R.F.,
11513,PITHORAGARH,Berinag,Bhalsiya Udiyar,HIPA
11514,PITHORAGARH,Berinag,Bhanar Kot,LEJAM
11515,PITHORAGARH,Berinag,Bhandari Gaon,BHANDARIGAON
11516,PITHORAGARH,Berinag,Bhanela Gaon,GARTIR
11517,PITHORAGARH,Berinag,Bhati Gaon,BALI GAON
11518,PITHORAGARH,Berinag,Bhatijar,MANGAR
11519,PITHORAGARH,Berinag,Bhulki Adhyali,BHOOL KI ADHAYALI
11520,PITHORAGARH,Berinag,Bhulyudo Panoli,PURANATHAL
11521,PITHORAGARH,Berinag,Bhuni Gaon,LINGURANI
11522,PITHORAGARH,Berinag,Bhurola,DARMOLI
11523,PITHORAGARH,Berinag,Bhuvneshwar,BHUVANESWAR
11524,PITHORAGARH,Berinag,Birtola,BUDERA
11525,PITHORAGARH,Berinag,Bogar,BOGAR
11526,PITHORAGARH,Berinag,Bokal Katiya,BOGAR
11527,PITHORAGARH,Berinag,Bora Agar,BORA AGAR
11528,PITHORAGARH,Berinag,Bora Khet,LINGURANI
11529,PITHORAGARH,Berinag,Bora Sagar,SANI KHET
11530,PITHORAGARH,Berinag,Budera,BUDERA
11531,PITHORAGARH,Berinag,Byati,BYATI
11532,PITHORAGARH,Berinag,Chacharet,CHACHRAIT
11533,PITHORAGARH,Berinag,Chama,CHAAMA
11534,PITHORAGARH,Berinag,Chami Khet,LEJAM
11535,PITHORAGARH,Berinag,Chankana,CHANKANA
11536,PITHORAGARH,Berinag,Chaukhuna,CHAUKHUNA
11537,PITHORAGARH,Berinag,Chaukori,CHAUKORI
11538,PITHORAGARH,Berinag,Chaukori R.F.,
11539,PITHORAGARH,Berinag,Chauri,MAANIPUR
11540,PITHORAGARH,Berinag,Chausala,CHAUSALA
