,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
15818,UDAM SINGH NAGAR,Bajpur,Badripur,SHIVPURI
15819,UDAM SINGH NAGAR,Bajpur,Bandwari,RATANPURA
15820,UDAM SINGH NAGAR,Bajpur,Bangarh,GOVRA
15821,UDAM SINGH NAGAR,Bajpur,Bannakhera,BANNAKHERA
15822,UDAM SINGH NAGAR,Bajpur,Banna Khera Range,
15823,UDAM SINGH NAGAR,Bajpur,Bannakhera Sani,Bannakhera Sani
15824,UDAM SINGH NAGAR,Bajpur,Banskhera,BANSKHERA
15825,UDAM SINGH NAGAR,Bajpur,Banskheri,BERIYA DAULAT
15826,UDAM SINGH NAGAR,Bajpur,Barhani,BARHAINI
15827,UDAM SINGH NAGAR,Bajpur,Baria Daulat,BERIYA DAULAT
15828,UDAM SINGH NAGAR,Bajpur,Barwala,Barwala
15829,UDAM SINGH NAGAR,Bajpur,Bazawala,MEHTA BAN
15830,UDAM SINGH NAGAR,Bajpur,Bazpur,BAJPUR GAON
15831,UDAM SINGH NAGAR,Bajpur,Benirampur,DHANSARA
15832,UDAM SINGH NAGAR,Bajpur,Betkheri,BAIT KHEDI
15833,UDAM SINGH NAGAR,Bajpur,Bhainsia,BIKRAMPUR
15834,UDAM SINGH NAGAR,Bajpur,Bhawa Nagla,BHAWA NAGLA
15835,UDAM SINGH NAGAR,Bajpur,Bhikampuri,BHIKAMPURI
15836,UDAM SINGH NAGAR,Bajpur,Bhjuwa Nagla,Bhjuwa Nagla
15837,UDAM SINGH NAGAR,Bajpur,Bhonaislam Nagar,BHONAISLAM NAGAR
15838,UDAM SINGH NAGAR,Bajpur,Bichpuri,GANESHPUR
15839,UDAM SINGH NAGAR,Bajpur,Birha,BIKRAMPUR
15840,UDAM SINGH NAGAR,Bajpur,Chakarpur,CHAKARPUR
15841,UDAM SINGH NAGAR,Bajpur,Chanakpur,Chanakpur
15842,UDAM SINGH NAGAR,Bajpur,Chandanpura,Chandanpura
15843,UDAM SINGH NAGAR,Bajpur,Chhitri,BANSKHERA
15844,UDAM SINGH NAGAR,Bajpur,Deori,DIYOHARI
