,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
7927,PAURI GARHWAL,Chakisain,Akhara(Akswara),MAILE
7928,PAURI GARHWAL,Chakisain,Antakholi,ANTA KHOLI
7929,PAURI GARHWAL,Chakisain,Badeth,BADETH
7930,PAURI GARHWAL,Chakisain,Bagaeri Lagga Chopra,MATHIGAON
7931,PAURI GARHWAL,Chakisain,Bagaili,BAGELI
7932,PAURI GARHWAL,Chakisain,Bamorth,TEELA
7933,PAURI GARHWAL,Chakisain,Banari,MANJOLI
7934,PAURI GARHWAL,Chakisain,Banas,BANAS
7935,PAURI GARHWAL,Chakisain,Bangali,BANGALI
7936,PAURI GARHWAL,Chakisain,Banjkot,BANJKOT
7937,PAURI GARHWAL,Chakisain,Bartoli,SARNA
7938,PAURI GARHWAL,Chakisain,Bedoli,BANJKOT
7939,PAURI GARHWAL,Chakisain,Bhaiswada,BHANSWADA
7940,PAURI GARHWAL,Chakisain,Bharikh,DANG
7941,PAURI GARHWAL,Chakisain,Chopra,CHOPRA
7942,PAURI GARHWAL,Chakisain,Choura,CHOURA
7943,PAURI GARHWAL,Chakisain,Chouthani,CHOUTHANI
7944,PAURI GARHWAL,Chakisain,Choya,GODA
7945,PAURI GARHWAL,Chakisain,Chunkhet,CHOURA
7946,PAURI GARHWAL,Chakisain,Chyoli,CHOURA
7947,PAURI GARHWAL,Chakisain,Dangi,PINAKOT
7948,PAURI GARHWAL,Chakisain,Darmoli,DARMOLI
7949,PAURI GARHWAL,Chakisain,Dekholi Or Dev Kholi,NALAI
7950,PAURI GARHWAL,Chakisain,Dhar Gaon,GWETH GAON
7951,PAURI GARHWAL,Chakisain,Dobra,SIRTOLI
7952,PAURI GARHWAL,Chakisain,Dobri,TEELA
7953,PAURI GARHWAL,Chakisain,Dola,BANAS
7954,PAURI GARHWAL,Chakisain,Dungri Malli,DUNGRI MALLI
7955,PAURI GARHWAL,Chakisain,Dungri Talli,DUNGRI MALLI
7956,PAURI GARHWAL,Chakisain,Eeda,MATELA
7957,PAURI GARHWAL,Chakisain,Ejaar,CHOUTHANI
7958,PAURI GARHWAL,Chakisain,Gadi Gaon,GADI GAON
7959,PAURI GARHWAL,Chakisain,Gadoli,KANERA
7960,PAURI GARHWAL,Chakisain,Gewae,ANTA KHOLI
7961,PAURI GARHWAL,Chakisain,Ghandiyali,SARNA
7962,PAURI GARHWAL,Chakisain,Ghulaik,GHULEKH
7963,PAURI GARHWAL,Chakisain,Goda,GODA
7964,PAURI GARHWAL,Chakisain,Guliyari,NAUDI
7965,PAURI GARHWAL,Chakisain,Hartar,BAGELI
7966,PAURI GARHWAL,Chakisain,Hatkar,KATHUD
7967,PAURI GARHWAL,Chakisain,Iengar,KUD KANDAI
7968,PAURI GARHWAL,Chakisain,Jaakh,JAKH
7969,PAURI GARHWAL,Chakisain,Kailakhur,PINAKOT
7970,PAURI GARHWAL,Chakisain,Kanakot,KANAKOT
7971,PAURI GARHWAL,Chakisain,Kanda Bhindar,SARNA
7972,PAURI GARHWAL,Chakisain,Kandie,KANDAI (MARKHOLA)
7973,PAURI GARHWAL,Chakisain,Kathola,JAKH
7974,PAURI GARHWAL,Chakisain,Kathud,KATHUD
7975,PAURI GARHWAL,Chakisain,Khada Kheel,CHOPRA
7976,PAURI GARHWAL,Chakisain,Khand Gaon,KANAKOT
7977,PAURI GARHWAL,Chakisain,Khand Malla,KHAND MALLA
7978,PAURI GARHWAL,Chakisain,Khand Talla,KHAND TALLA
7979,PAURI GARHWAL,Chakisain,Kharkasaree,ANTA KHOLI
7980,PAURI GARHWAL,Chakisain,Khola Laga Kandaye,KANDAI (MARKHOLA)
7981,PAURI GARHWAL,Chakisain,Kimoli,KAKRODA
7982,PAURI GARHWAL,Chakisain,Kirsal,KIRSAAL
7983,PAURI GARHWAL,Chakisain,Kokli,KOKALI
7984,PAURI GARHWAL,Chakisain,Kothi,PATLEE
7985,PAURI GARHWAL,Chakisain,Koti,MAILE
7986,PAURI GARHWAL,Chakisain,Kouth,KHUT
7987,PAURI GARHWAL,Chakisain,Kuchouli,KOCHOULI
7988,PAURI GARHWAL,Chakisain,Kundeel,KUNDEEL
7989,PAURI GARHWAL,Chakisain,Kuwa Kharka,PINAKOT
7990,PAURI GARHWAL,Chakisain,Maile,MAILE
7991,PAURI GARHWAL,Chakisain,Mail Kandae,ANTA KHOLI
7992,PAURI GARHWAL,Chakisain,Maithana,DHAUR
7993,PAURI GARHWAL,Chakisain,Malund,MALUND
7994,PAURI GARHWAL,Chakisain,Mandoli,BHENDELI
7995,PAURI GARHWAL,Chakisain,Manjoli Lagga Sounthi,MANJOLI
7996,PAURI GARHWAL,Chakisain,Mar Gaon,NALAI
7997,PAURI GARHWAL,Chakisain,Markhola,KANDAI (MARKHOLA)
7998,PAURI GARHWAL,Chakisain,Mij Gaon,MIJGAON
7999,PAURI GARHWAL,Chakisain,Molthi,DARMOLI
8000,PAURI GARHWAL,Chakisain,Nagdi,PINAKOT
8001,PAURI GARHWAL,Chakisain,Nalaee,NALAI
8002,PAURI GARHWAL,Chakisain,Naula,SYOLI MALLI
8003,PAURI GARHWAL,Chakisain,Nawgaon,NAKUREE
8004,PAURI GARHWAL,Chakisain,Nawgaon,NAUGAOU
8005,PAURI GARHWAL,Chakisain,Naw Gaon,EDA NAUGAON
8006,PAURI GARHWAL,Chakisain,Pailar,PALAAR
8007,PAURI GARHWAL,Chakisain,Paithani,PAITHANI
8008,PAURI GARHWAL,Chakisain,Paligonth Or Palli,PALLI
8009,PAURI GARHWAL,Chakisain,Patulee,PATLEE
8010,PAURI GARHWAL,Chakisain,Penakot,PINAKOT
8011,PAURI GARHWAL,Chakisain,Ramasain,KOKALI
8012,PAURI GARHWAL,Chakisain,Rangsi,GWETH GAON
8013,PAURI GARHWAL,Chakisain,Rekholi,RIKHOLI
8014,PAURI GARHWAL,Chakisain,Risti,RISHTI
8015,PAURI GARHWAL,Chakisain,Rokhra,GWETH GAON
8016,PAURI GARHWAL,Chakisain,Sarna,SARNA
8017,PAURI GARHWAL,Chakisain,Sedang,PATLEE
8018,PAURI GARHWAL,Chakisain,Serabada Kot Or Sera,DANG
8019,PAURI GARHWAL,Chakisain,Silkholi Urf,PATLEE
8020,PAURI GARHWAL,Chakisain,Siloli,SELOLE
8021,PAURI GARHWAL,Chakisain,Simdi,BANJKOT
8022,PAURI GARHWAL,Chakisain,Sirtoli,SIRTOLI
8023,PAURI GARHWAL,Chakisain,Sounth,SOUNT
8024,PAURI GARHWAL,Chakisain,Southi,BANGALI
8025,PAURI GARHWAL,Chakisain,Sunar Gaon,SUNAR GAON
8026,PAURI GARHWAL,Chakisain,Syoli Malli,SYOLI MALLI
8027,PAURI GARHWAL,Chakisain,Syoli Talli,SOLI TALLI
8028,PAURI GARHWAL,Chakisain,Talsera,PALAAR
8029,PAURI GARHWAL,Chakisain,Teela,TEELA
8030,PAURI GARHWAL,Chakisain,Tirpali Or Tarpali,TIRPALI
8031,PAURI GARHWAL,Chaubatta Khal,Alkhetu,BAGDEGAD
8032,PAURI GARHWAL,Chaubatta Khal,Ameli Range,
8033,PAURI GARHWAL,Chaubatta Khal,Ansari Thapli,ANSARI THAPLA
