,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
13232,RUDRA PRAYAG,Basukedar,Arkhund,ARKHUND
13233,RUDRA PRAYAG,Basukedar,Barsir,BARSEER
13234,RUDRA PRAYAG,Basukedar,Bhunal Gaon,BHUNAL GAON
13235,RUDRA PRAYAG,Basukedar,Dangi,DANGI- SINGHATA
13236,RUDRA PRAYAG,Basukedar,Dankot,DANKOT
13237,RUDRA PRAYAG,Basukedar,Khor,KHOD-BANGAR
13238,RUDRA PRAYAG,Basukedar,Kimana,DANKOT
13239,RUDRA PRAYAG,Basukedar,Kirora Malla,KIRODA
13240,RUDRA PRAYAG,Basukedar,Kirora Talla,KIRODA
13241,RUDRA PRAYAG,Basukedar,Mathya Gaon,MATHYA GAON
13242,RUDRA PRAYAG,Basukedar,Rayari,RAIDI
13243,RUDRA PRAYAG,Basukedar,Syur,SYUR
13244,RUDRA PRAYAG,Basukedar,Uchhola,UCHHOLA
13245,RUDRA PRAYAG,Basukedar,Utarsu,UTTARSU
13246,RUDRA PRAYAG,Jakholi*,Agastyamuni-(P-1),
13247,RUDRA PRAYAG,Jakholi*,Atholi,NAG
13248,RUDRA PRAYAG,Jakholi*,Bachwar,BACHWAD
13249,RUDRA PRAYAG,Jakholi*,Badhani,BADHANI
13250,RUDRA PRAYAG,Jakholi*,Bagjiwala,BHARNGAA
13251,RUDRA PRAYAG,Jakholi*,Bag Seer,BAKSEER
13252,RUDRA PRAYAG,Jakholi*,Bainoli,BAINOLI
13253,RUDRA PRAYAG,Jakholi*,Bajira,BAJEERA
13254,RUDRA PRAYAG,Jakholi*,Barsari,MAWAN GAON
13255,RUDRA PRAYAG,Jakholi*,Barshot,DOBHA JAKHAL
13256,RUDRA PRAYAG,Jakholi*,Basta,BASHATA
13257,RUDRA PRAYAG,Jakholi*,Bharnga,BHARNGAA
13258,RUDRA PRAYAG,Jakholi*,Bhatwari,BHATWARI
13259,RUDRA PRAYAG,Jakholi*,Bhimali,SHISHAUN
13260,RUDRA PRAYAG,Jakholi*,Biran Goan,DOBHA JAKHAL
13261,RUDRA PRAYAG,Jakholi*,Budna,BUDNA
13262,RUDRA PRAYAG,Jakholi*,Chaka,CHAKA
13263,RUDRA PRAYAG,Jakholi*,Chandi,KOTHIYADA
13264,RUDRA PRAYAG,Jakholi*,Chaura,CHAUNRA
13265,RUDRA PRAYAG,Jakholi*,Chopara,SOD BHARGAON
13266,RUDRA PRAYAG,Jakholi*,Dangi,DANGI
13267,RUDRA PRAYAG,Jakholi*,Dangi,DANGI BHARDAR
13268,RUDRA PRAYAG,Jakholi*,Dangwal Gaon,DANGWAL GAON
13269,RUDRA PRAYAG,Jakholi*,Dewal,DEWAL LASYA
13270,RUDRA PRAYAG,Jakholi*,Dhan Kurali,DHAN KURALI
13271,RUDRA PRAYAG,Jakholi*,Dhankuri,JAKHANAULI
13272,RUDRA PRAYAG,Jakholi*,Dhanyau,KOTI
13273,RUDRA PRAYAG,Jakholi*,Dharada,GHARDO
13274,RUDRA PRAYAG,Jakholi*,Dhariyaj,THATI
13275,RUDRA PRAYAG,Jakholi*,Dhariyana,SILGAON
13276,RUDRA PRAYAG,Jakholi*,Dharkot,DHARKOT
13277,RUDRA PRAYAG,Jakholi*,Dhar Kuri,DHARKUDI
13278,RUDRA PRAYAG,Jakholi*,Dobh,DOBHA BADMAN
13279,RUDRA PRAYAG,Jakholi*,Dom,DOBHA JAKHAL
13280,RUDRA PRAYAG,Jakholi*,Dovalya,DABALIA
13281,RUDRA PRAYAG,Jakholi*,Gair Sera,DABALIA
13282,RUDRA PRAYAG,Jakholi*,Gethana,GAITHANA
13283,RUDRA PRAYAG,Jakholi*,Ghanat Gaon,DANGWAL GAON
13284,RUDRA PRAYAG,Jakholi*,Ghegar,GHEGAR
13285,RUDRA PRAYAG,Jakholi*,Goti,GORTI
13286,RUDRA PRAYAG,Jakholi*,Hariyali,DANGI BHARDAR
13287,RUDRA PRAYAG,Jakholi*,Jagtoli,BADHANI
13288,RUDRA PRAYAG,Jakholi*,Jaili,JAILI
13289,RUDRA PRAYAG,Jakholi*,Jakhani,JAKHANI
13290,RUDRA PRAYAG,Jakholi*,Jakhanyal Gaon,DABALIA
13291,RUDRA PRAYAG,Jakholi*,Jakhatoli,JAKHANAULI
13292,RUDRA PRAYAG,Jakholi*,Jakhawari Malli,JAKHWARI MALLI
13293,RUDRA PRAYAG,Jakholi*,Jakhawari Talli,JAKHWARI TALLI
13294,RUDRA PRAYAG,Jakholi*,Jakholi,JAKHOLI
13295,RUDRA PRAYAG,Jakholi*,Jakholi,JAKLOLI BADMAN
13296,RUDRA PRAYAG,Jakholi*,Jakholi Malli,DOBHA JAKHAL
13297,RUDRA PRAYAG,Jakholi*,Jakholi Talli,DOBHA JAKHAL
13298,RUDRA PRAYAG,Jakholi*,Kanda,KANDA
13299,RUDRA PRAYAG,Jakholi*,Kandali,KANDALI
13300,RUDRA PRAYAG,Jakholi*,Kandiyali,NANDWAN GAON
13301,RUDRA PRAYAG,Jakholi*,Kapaniya,KAPNIYA
13302,RUDRA PRAYAG,Jakholi*,Khal,BHARNGAA
13303,RUDRA PRAYAG,Jakholi*,Khaliyan,KHALIYAN
13304,RUDRA PRAYAG,Jakholi*,Kot,KOT
13305,RUDRA PRAYAG,Jakholi*,Kot,UDIYAN GAON
13306,RUDRA PRAYAG,Jakholi*,Kothiyara,KOTHIYADA
13307,RUDRA PRAYAG,Jakholi*,Koti,KOTI
13308,RUDRA PRAYAG,Jakholi*,Koti,SEM
13309,RUDRA PRAYAG,Jakholi*,Kumari,KUMRI
13310,RUDRA PRAYAG,Jakholi*,Kurchholi,KURCHHOLA
13311,RUDRA PRAYAG,Jakholi*,Kuri Aduli,KUDI ATULI
13312,RUDRA PRAYAG,Jakholi*,Kwila,KVILA
13313,RUDRA PRAYAG,Jakholi*,Laluri,LALUDI
13314,RUDRA PRAYAG,Jakholi*,Lamwar,DEWAL LASYA
13315,RUDRA PRAYAG,Jakholi*,Lariyasyu,LADIYASU
13316,RUDRA PRAYAG,Jakholi*,Lauga,LAUNGA
13317,RUDRA PRAYAG,Jakholi*,Lekh Lawari,LADIYASU
13318,RUDRA PRAYAG,Jakholi*,Liswalta,LISWALTA
13319,RUDRA PRAYAG,Jakholi*,Lukhundri,BASHATA
13320,RUDRA PRAYAG,Jakholi*,Luthiyag,LUTHIYAG
13321,RUDRA PRAYAG,Jakholi*,Mahargoan,KOTI
13322,RUDRA PRAYAG,Jakholi*,Makhet,MAKHET
13323,RUDRA PRAYAG,Jakholi*,Mamani,UROLI
13324,RUDRA PRAYAG,Jakholi*,Mar Gaon,KANDALI
13325,RUDRA PRAYAG,Jakholi*,Marora,UTTARSU
13326,RUDRA PRAYAG,Jakholi*,Mawan Gaon,MAWAN GAON
13327,RUDRA PRAYAG,Jakholi*,Mayali,MAYALI
13328,RUDRA PRAYAG,Jakholi*,Medanpur,RATANPUR
13329,RUDRA PRAYAG,Jakholi*,Munnadewal,MUNNADEVAL
13330,RUDRA PRAYAG,Jakholi*,Munyadhar,MUNYADHAR
