,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
2292,BAGESHWAR,Bageshwar,99999999Fff1 / Kapkot Range,
2293,BAGESHWAR,Bageshwar,99999999Fff3/ Bageshwar Range,
2294,BAGESHWAR,Bageshwar,Adoli,GHANGHAR
2295,BAGESHWAR,Bageshwar,Agar,AAGAR
2296,BAGESHWAR,Bageshwar,Airadi,AIRARI
2297,BAGESHWAR,Bageshwar,Airiyagar,KABHARA
2298,BAGESHWAR,Bageshwar,Aksora,AKSHAURA
2299,BAGESHWAR,Bageshwar,Amjharu,THARAEJAR
2300,BAGESHWAR,Bageshwar,Amoli,KISROLII
2301,BAGESHWAR,Bageshwar,Amsarkot,AMSARKOTE
2302,BAGESHWAR,Bageshwar,Amtora,AMTOURA
2303,BAGESHWAR,Bageshwar,Anarsa,ANARSA
2304,BAGESHWAR,Bageshwar,Aneriya,CHATIKHET
2305,BAGESHWAR,Bageshwar,Angari,PALSON
2306,BAGESHWAR,Bageshwar,Arara,
2307,BAGESHWAR,Bageshwar,Are,AAREY
2308,BAGESHWAR,Bageshwar,Ason,ASON
2309,BAGESHWAR,Bageshwar,Ason,
2310,BAGESHWAR,Bageshwar,Ason (P-2),
2311,BAGESHWAR,Bageshwar,BADIKHALSA,BINWALTIWARI
2312,BAGESHWAR,Bageshwar,Badoli,SHESHAKHANI
2313,BAGESHWAR,Bageshwar,BAGESHWAR JYULA,BINWALTIWARI
2314,BAGESHWAR,Bageshwar,Bagwalikhan,JANOUTIPALARI
2315,BAGESHWAR,Bageshwar,Bahali,BAHAALI
2316,BAGESHWAR,Bageshwar,Bahuli,BAHULI
2317,BAGESHWAR,Bageshwar,Baidibagar,BEDIBAGAR
2318,BAGESHWAR,Bageshwar,Baitoli  Mai chak,JALTHAKOT
2319,BAGESHWAR,Bageshwar,Bajigaon,QUARRALLI
2320,BAGESHWAR,Bageshwar,Balsuna,BINWALTIWARI
2321,BAGESHWAR,Bageshwar,Baman Bhiri,MATIYOLI
2322,BAGESHWAR,Bageshwar,Bamradi,BAMRARI
2323,BAGESHWAR,Bageshwar,Bamroli,GADERA
2324,BAGESHWAR,Bageshwar,Bamtana,FALYAATI
2325,BAGESHWAR,Bageshwar,Bangchuri,PALRIBAGAR
2326,BAGESHWAR,Bageshwar,Bang Churi,BANGCHURI
2327,BAGESHWAR,Bageshwar,Bang Dungariya,BHATNIKOTE
2328,BAGESHWAR,Bageshwar,Banja,KHARKTAMTA
2329,BAGESHWAR,Bageshwar,Baret,BAARET
2330,BAGESHWAR,Bageshwar,Barkhand,PALRIBAGAR
2331,BAGESHWAR,Bageshwar,Basai,NAYAL
2332,BAGESHWAR,Bageshwar,Baset,TUNERA
2333,BAGESHWAR,Bageshwar,Baskhola,KARASIBOONGA
2334,BAGESHWAR,Bageshwar,Bauri,BOURI
2335,BAGESHWAR,Bageshwar,Belta,AMTOURA
2336,BAGESHWAR,Bageshwar,Betar,KISROLII
2337,BAGESHWAR,Bageshwar,Bhanartoli,BHANARTOLI
2338,BAGESHWAR,Bageshwar,Bhatkhola Chak Kimkholi,BHATKHOLA
2339,BAGESHWAR,Bageshwar,Bhatni Kot,BHATNIKOTE
2340,BAGESHWAR,Bageshwar,Bhatoli Khalsa B,KHOLI
2341,BAGESHWAR,Bageshwar,Bhatora,BHATOURA
2342,BAGESHWAR,Bageshwar,Bhatrola,BHATRAULA
2343,BAGESHWAR,Bageshwar,Bhayeri,BHAAYERI
2344,BAGESHWAR,Bageshwar,Bheruchaibatta,BHARUCHOUBATTA
2345,BAGESHWAR,Bageshwar,Bhiri,MATIYOLI
2346,BAGESHWAR,Bageshwar,Bhitalgaon,
2347,BAGESHWAR,Bageshwar,Bhitari,PALRIBAGAR
2348,BAGESHWAR,Bageshwar,Bholana Naghar,BHOLANANAGHAR
2349,BAGESHWAR,Bageshwar,Bhulyura,KHUNOULI
2350,BAGESHWAR,Bageshwar,Bihargaon,BEHARGAON
2351,BAGESHWAR,Bageshwar,Bijori,CHIRANG
2352,BAGESHWAR,Bageshwar,Bijori Jhal,BIJORIJHAL
2353,BAGESHWAR,Bageshwar,Bijoriya,FALYAATI
2354,BAGESHWAR,Bageshwar,Bilkhet,WALNA
2355,BAGESHWAR,Bageshwar,Bilonasera,BILONA
2356,BAGESHWAR,Bageshwar,Bilori,BILORI
2357,BAGESHWAR,Bageshwar,Binsar,BINSAR
2358,BAGESHWAR,Bageshwar,Bintoli,JALTHAKOT
2359,BAGESHWAR,Bageshwar,Binwal Tewari,BINWALTIWARI
2360,BAGESHWAR,Bageshwar,Bisha Jajari,SURKALIGAON
2361,BAGESHWAR,Bageshwar,Bohala,BOHALA
2362,BAGESHWAR,Bageshwar,Boragaon Lagga Chak Chhana,AMSARKOTE
2363,BAGESHWAR,Bageshwar,Borgaon,BORGAON
2364,BAGESHWAR,Bageshwar,Borgoan,AMSARKOTE
2365,BAGESHWAR,Bageshwar,Bugadi,CHANI
2366,BAGESHWAR,Bageshwar,Burghuna,BURGHUNA
2367,BAGESHWAR,Bageshwar,Chamerta,KHOLI
2368,BAGESHWAR,Bageshwar,Chanbauri,BOHALA
2369,BAGESHWAR,Bageshwar,Chatina,
2370,BAGESHWAR,Bageshwar,Chaugaon Chhina,CHOUGAONCHINA
2371,BAGESHWAR,Bageshwar,Chauni,NAYAL
2372,BAGESHWAR,Bageshwar,Chaura,CHOURA
2373,BAGESHWAR,Bageshwar,Chaura,KABHARA
2374,BAGESHWAR,Bageshwar,Chhana Upadhyay,SHESHAKHANI
2375,BAGESHWAR,Bageshwar,Chhani,CHANI
2376,BAGESHWAR,Bageshwar,Chhati,CHATI
2377,BAGESHWAR,Bageshwar,Chhatikhet,CHATIKHET
2378,BAGESHWAR,Bageshwar,Chhatina Mai Cha,MALTA
2379,BAGESHWAR,Bageshwar,Chhauna,CHOUNA
2380,BAGESHWAR,Bageshwar,Chhiriya Kanala,BAHULI
2381,BAGESHWAR,Bageshwar,Chhurmul,
2382,BAGESHWAR,Bageshwar,Chipoli Punera,AKSHAURA
2383,BAGESHWAR,Bageshwar,Chirang,CHIRANG
2384,BAGESHWAR,Bageshwar,Choni,GWARBHILKOTE
2385,BAGESHWAR,Bageshwar,Chonli Gunth,SYUNI
2386,BAGESHWAR,Bageshwar,Chouhana,CHAUHNA
2387,BAGESHWAR,Bageshwar,Churari,GAIRAR
2388,BAGESHWAR,Bageshwar,Dalkholiya,KARASMAFI
2389,BAGESHWAR,Bageshwar,Darimthok,GUNAKOTE
2390,BAGESHWAR,Bageshwar,Darsing,DARSINGH
2391,BAGESHWAR,Bageshwar,Dayali,DIYALIKUROULI
2392,BAGESHWAR,Bageshwar,Dewalchaura,DEVALCHOURA
2393,BAGESHWAR,Bageshwar,Dewal Dank,KHOLI
2394,BAGESHWAR,Bageshwar,Dewaldhar,AAGAR
2395,BAGESHWAR,Bageshwar,Dewali,BURGHUNA
