,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
6701,NAINITAL,Betalghat,Aam Ki Sar,
6702,NAINITAL,Betalghat,Amel,AMAIL
6703,NAINITAL,Betalghat,Badhani Gaon,TALLA GAON
6704,NAINITAL,Betalghat,Bhatraunj Khan,BHATROJ
6705,NAINITAL,Betalghat,Binkote,BINKOT
6706,NAINITAL,Betalghat,Bishguli,KATMEEGAJAR
6707,NAINITAL,Betalghat,Boreseal,KORAR
6708,NAINITAL,Betalghat,Bunga,KHEARLIBUNGA
6709,NAINITAL,Betalghat,Chandrakote,CHANDRA KOT
6710,NAINITAL,Betalghat,Chandula,GHAGHARETI
6711,NAINITAL,Betalghat,Chauni,CHYUNI
6712,NAINITAL,Betalghat,Chhapar,
6713,NAINITAL,Betalghat,Chuni Chak Adwari,CHAKBAHERI
6714,NAINITAL,Betalghat,Dabarbadi,JOSHI KHOLA
6715,NAINITAL,Betalghat,Dadima,DARIMA
6716,NAINITAL,Betalghat,Dandesari,MALLI PALI
6717,NAINITAL,Betalghat,Dhari,DHARI
6718,NAINITAL,Betalghat,Dholgaon,DHOL GAON
6719,NAINITAL,Betalghat,Digthari,DIGTHARI
6720,NAINITAL,Betalghat,Ghaghreti,GHAGHARETI
6721,NAINITAL,Betalghat,Ghirauli,GHIROLI
6722,NAINITAL,Betalghat,Ghoria Halson,GHORIYA HALSO
6723,NAINITAL,Betalghat,Haldyani,HALDYANI
6724,NAINITAL,Betalghat,Halla Lagga Baroseer,
6725,NAINITAL,Betalghat,Halsau,HALSO KORD
6726,NAINITAL,Betalghat,Harchnowly,GHIROLI
6727,NAINITAL,Betalghat,Hari Nagar,SUKHA
6728,NAINITAL,Betalghat,Joshi Khola,JOSHI KHOLA
6729,NAINITAL,Betalghat,Kanda,KANDA
6730,NAINITAL,Betalghat,Katimi,KATMEEGAJAR
6731,NAINITAL,Betalghat,Kaul,TAURAD
6732,NAINITAL,Betalghat,Khairali,KHEARLIBUNGA
6733,NAINITAL,Betalghat,Khairali Chak Patal,Amtoli
6734,NAINITAL,Betalghat,Kharainy,KHAIRENI
6735,NAINITAL,Betalghat,Korar,KORAR
6736,NAINITAL,Betalghat,Kosi Range,
6737,NAINITAL,Betalghat,Lethra,HALDYANI
6738,NAINITAL,Betalghat,Malla Bardho,MALLA BARDHO
6739,NAINITAL,Betalghat,Malla Gaon,MALLA GAON
6740,NAINITAL,Betalghat,Mallipali,MALLI PALI
6741,NAINITAL,Betalghat,Nainichauba,DARIMA
6742,NAINITAL,Betalghat,Naughar,NAGHAR
6743,NAINITAL,Betalghat,Oda Basot,ODA WASKOT
6744,NAINITAL,Betalghat,Oradadar,
6745,NAINITAL,Betalghat,Paharkote,TALLI PALI
6746,NAINITAL,Betalghat,Patori,
6747,NAINITAL,Betalghat,Raheli,KHAIRENI
6748,NAINITAL,Betalghat,Rahelli,
6749,NAINITAL,Betalghat,Rajsera,
6750,NAINITAL,Betalghat,Ranibagh,NAGHAR
6751,NAINITAL,Betalghat,Rauliagaon,TIWARI GAON
6752,NAINITAL,Betalghat,Rauliya Lagga Gangadhar,TALLI PALI
6753,NAINITAL,Betalghat,Rauliya lagga Naini Chak,
6754,NAINITAL,Betalghat,Rikholi,RIKHAULI
6755,NAINITAL,Betalghat,Ropa,ROPA
6756,NAINITAL,Betalghat,Seni Range,
6757,NAINITAL,Betalghat,Seni Range,
6758,NAINITAL,Betalghat,Seti Belgaon,SHETY BELGAON
6759,NAINITAL,Betalghat,Seti Bhandar,
6760,NAINITAL,Betalghat,Seti Dharkote,SHETY DHARKOT
6761,NAINITAL,Betalghat,Seti Majhgaon,SHETY BELGAON
6762,NAINITAL,Betalghat,Sherbari,
6763,NAINITAL,Betalghat,Sirani,HALDYANI
6764,NAINITAL,Betalghat,Sonli,
6765,NAINITAL,Betalghat,Sooka,SUKHA
6766,NAINITAL,Betalghat,Sunsyari,PATORI SUNSYARI
6767,NAINITAL,Betalghat,Talla Bardho,TALLA BARDHO
6768,NAINITAL,Betalghat,Talla Gaon,TALLA GAON
6769,NAINITAL,Betalghat,Talli Pali,TALLI PALI
6770,NAINITAL,Betalghat,Talli Sethi,TALLI SETHI
6771,NAINITAL,Betalghat,Tangura Bara,TALLI PALI
6772,NAINITAL,Betalghat,Tangura Chhota,GHIROLI
6773,NAINITAL,Betalghat,Tangura Lagga Ghiroli,GHIROLI
6774,NAINITAL,Betalghat,Taurar,TAURAD
6775,NAINITAL,Betalghat,Thapla,THAPAL RICHI
6776,NAINITAL,Betalghat,Thapli,MALLA BARDHO
6777,NAINITAL,Betalghat,Tiwaregaon,TIWARI GAON
6778,NAINITAL,Dhari,Aam,HARISH TAL
6779,NAINITAL,Dhari,Adhariya,ADHERIYA
6780,NAINITAL,Dhari,Adhora,AGHORA
6781,NAINITAL,Dhari,Akshora,AKSHORA
6782,NAINITAL,Dhari,Amadau,AMDAU
6783,NAINITAL,Dhari,Amjar,AMAJHAD
6784,NAINITAL,Dhari,Anarpa,ANARPA
6785,NAINITAL,Dhari,Babiyar,BABIYAD
6786,NAINITAL,Dhari,Bagaur,OKHALKANDA MALLA
6787,NAINITAL,Dhari,Bagour,DIGOLI
6788,NAINITAL,Dhari,Balna,BALANA
6789,NAINITAL,Dhari,Bana,BURI BANA
6790,NAINITAL,Dhari,Barain Range,
6791,NAINITAL,Dhari,Baron,BADOUN
6792,NAINITAL,Dhari,Bhadrakot,BHADRAKOT
6793,NAINITAL,Dhari,Bhadraritha,BHADRARITHA
6794,NAINITAL,Dhari,Bhadretha,DHOLIGAON
6795,NAINITAL,Dhari,Bhanpokhara,BHANPOKHARA
6796,NAINITAL,Dhari,bheta,PAIJANA
6797,NAINITAL,Dhari,Bheta,
6798,NAINITAL,Dhari,Bheti Diyar Kholi,SIMAL KANYA
6799,NAINITAL,Dhari,Bhonra,BHONRA
6800,NAINITAL,Dhari,Bhumka,BHUMKA
6801,NAINITAL,Dhari,Boranshi,BURANSHI
6802,NAINITAL,Dhari,byura,CHAMOLI
6803,NAINITAL,Dhari,Byura,BYURA
6804,NAINITAL,Dhari,Chak Dalar,CHAKDALAR
6805,NAINITAL,Dhari,Chakrusi,MAJHERA
6806,NAINITAL,Dhari,Chamoli,CHAMOLI
6807,NAINITAL,Dhari,Chaukhuta,CHAUKHUTA
6808,NAINITAL,Dhari,Chaukhuta Chak Gajar,GAJAR
6809,NAINITAL,Dhari,Chaukhuta Chak Rooshi,
6810,NAINITAL,Dhari,Chaushali,
6811,NAINITAL,Dhari,Churigar,CHURIGAD
6812,NAINITAL,Dhari,Dalauz,DALOJ
6813,NAINITAL,Dhari,Dall Kanya,DALKANYA
6814,NAINITAL,Dhari,Danseeli,DHOLIGAON
6815,NAINITAL,Dhari,Davidhura Range,
6816,NAINITAL,Dhari,Davidhura Range,
6817,NAINITAL,Dhari,Deeni Mallee,DINI MALLI
6818,NAINITAL,Dhari,Deeni Tallee,DINI TALLI
6819,NAINITAL,Dhari,Dewali,DEWALI
6820,NAINITAL,Dhari,Dhanachuli,DHANCHULI
6821,NAINITAL,Dhari,Dhena,DHENA
6822,NAINITAL,Dhari,Dhena,
6823,NAINITAL,Dhari,Dholi Gaon,DHOLIGAON
6824,NAINITAL,Dhari,Digoli,DIGOLI
6825,NAINITAL,Dhari,Duduli,DUDHALI
6826,NAINITAL,Dhari,Dungari Chak Kakshawar,AGHORA
6827,NAINITAL,Dhari,Dungri,DUNGARI
6828,NAINITAL,Dhari,Gadura,
6829,NAINITAL,Dhari,Galani,GALANI
6830,NAINITAL,Dhari,Gargari Malli,GARGARI MALLI
