,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
23369,BASTI,Basti,Aamgaon,MAJHIRIA
23370,BASTI,Basti,Aaspur,BANGARH
23371,BASTI,Basti,Aeelaha,MAJHA KALAN
23372,BASTI,Basti,Agaee Bhagan,AGAEE BHAGAN
23373,BASTI,Basti,Agauna,AGAUNA
23374,BASTI,Basti,Ahirawli,MANJHAWA KALAN II
23375,BASTI,Basti,Ailiya,SONHA
23376,BASTI,Basti,Akela,DUBAULI KHURD
23377,BASTI,Basti,Akela Kuberpur,AKELA KUBERPUR
23378,BASTI,Basti,Akma,EKMA
23379,BASTI,Basti,Akolha,KACHOOR
23380,BASTI,Basti,Akpangi,LAGUNAHI
23381,BASTI,Basti,Akri Chithi,AKARI
23382,BASTI,Basti,Aksara,AKSARA
23383,BASTI,Basti,Amai Par,AMAI PAR
23384,BASTI,Basti,Amakoyel,AMAKOYEL
23385,BASTI,Basti,Amar Doobha,AMAR DOBHA
23386,BASTI,Basti,Amari,LOOHROULI
23387,BASTI,Basti,Amarouna,MAKDOOMPUR
23388,BASTI,Basti,Amchani,BELSUHI
23389,BASTI,Basti,Amhari,DAULATPOOR
23390,BASTI,Basti,Amhut,DUBKHARA
23391,BASTI,Basti,Amihwa,NEWADA
23392,BASTI,Basti,Amooli,AMOOLI
23393,BASTI,Basti,Amorhwa,DHADHRA
23394,BASTI,Basti,Amrauna,MADOPUR
23395,BASTI,Basti,Anawariyia,MANIKAORA KHURD
23396,BASTI,Basti,Anda,ANDA
23397,BASTI,Basti,Andua,MACHHIYA
23398,BASTI,Basti,Arawapur,PRATAP PUR
23399,BASTI,Basti,Areldigar Patti,ARELDIGAR PATTI
23400,BASTI,Basti,Asanhara,PIKAORA SHUKAL
23401,BASTI,Basti,Asarafpur,GANESHPUR
23402,BASTI,Basti,Asiapar Divhari,GULAURA
23403,BASTI,Basti,Asrafjoot,GANGORI
23404,BASTI,Basti,Asrafpur,GANGORI
23405,BASTI,Basti,Atar Paliya,BENIPUR
23406,BASTI,Basti,Athdama,ATHDAMA
23407,BASTI,Basti,Awasthipur,AWASTHIPUR
23408,BASTI,Basti,Baada Khurd,KOHADHWA
23409,BASTI,Basti,Baagahi,KASAILA
23410,BASTI,Basti,Baakuraha,SUKARAULI
23411,BASTI,Basti,Babhani,BABHNI MISHR
23412,BASTI,Basti,Babhinav Bz,BABHINAV BUZURG
23413,BASTI,Basti,Babhniakhurd,BIRU PUR
23414,BASTI,Basti,Baburahia,KHALIL PATTI
23415,BASTI,Basti,Badariya Bujurg,HADIYA
23416,BASTI,Basti,Baderiya Khurd,BADERIYA KHURD
23417,BASTI,Basti,Badhara,Raksa
23418,BASTI,Basti,Badhawar,SILLO
23419,BASTI,Basti,Badhhaoni Urf Shiwpur,BODAWAL
23420,BASTI,Basti,Badkuiya,KODRA
23421,BASTI,Basti,Bagahi,BAGHI
23422,BASTI,Basti,Bagahi,BASHWA
23423,BASTI,Basti,Bagdeeh,BAGDEEH
23424,BASTI,Basti,Baghahi,BHANGURA
23425,BASTI,Basti,Baghapar,BAGHAPAR
23426,BASTI,Basti,Baghaura,KONDAR
23427,BASTI,Basti,Baghi,CHAUBAH
23428,BASTI,Basti,Baghi Urf Benipur,BAGHI URF BENIPUR
23429,BASTI,Basti,Baghri,DEWAMI
