,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
61428,JHANSI,Garautha,Ahraura,AHRAURA
61429,JHANSI,Garautha,Ajneri,PHARIDA
61430,JHANSI,Garautha,Alam Pura,ALAM PURA
61431,JHANSI,Garautha,Amali,AMALI
61432,JHANSI,Garautha,Andol,BAMOR
61433,JHANSI,Garautha,Arjara,ARJAR
61434,JHANSI,Garautha,Asta,ASTA
61435,JHANSI,Garautha,Bachheh,BACHHEH
61436,JHANSI,Garautha,Bamor,BAMOR
61437,JHANSI,Garautha,Bamrauli,SEMRI
61438,JHANSI,Garautha,Bangra,BANGRA
61439,JHANSI,Garautha,Bararoo,BARARU
61440,JHANSI,Garautha,Bargain Ahir,ALAM PURA
61441,JHANSI,Garautha,Bargain Khangar,BARGAI KHANGAR
61442,JHANSI,Garautha,Barmain,BARMAIN
61443,JHANSI,Garautha,Barota,BAROTA
61444,JHANSI,Garautha,Basa,HAIBAT PURA
61445,JHANSI,Garautha,Behatar,KUDRI
61446,JHANSI,Garautha,Bhadar Wara Buzurg,BHADAR WARA BUZURG
61447,JHANSI,Garautha,Bhadarwara Khurd,BHADARWARA KHURD
61448,JHANSI,Garautha,Bhadori,MADORI
61449,JHANSI,Garautha,Bhagwant Pura,BHAGVANTPRA
61450,JHANSI,Garautha,Bharsunda,BAMOR
61451,JHANSI,Garautha,Bhonwai,BARGAI KHANGAR
61452,JHANSI,Garautha,Bijaura,BIJAURA
61453,JHANSI,Garautha,Bikram Pura,DHIPKAI
61454,JHANSI,Garautha,Bilati Karkey,BILATI KARKEY
61455,JHANSI,Garautha,Bilati Khet,BILATI KHET
61456,JHANSI,Garautha,Birari,LAKHAWATI
61457,JHANSI,Garautha,Birona,BIRONA
61458,JHANSI,Garautha,Birpura,BIRPURA
61459,JHANSI,Garautha,Chak Deora,BHADAR WARA BUZURG
61460,JHANSI,Garautha,Chak Merhka,BAMOR
61461,JHANSI,Garautha,Chak Nagra,NAGRA
61462,JHANSI,Garautha,Chak Pahar Pura,HAIBAT PURA
61463,JHANSI,Garautha,Chand Pura,SIRBO
61464,JHANSI,Garautha,Chatur Tai,CHATURTAI
61465,JHANSI,Garautha,Chhiraura Khurd,PHARIDA
61466,JHANSI,Garautha,Chokri,CHOKRI
61467,JHANSI,Garautha,Dakhaneshwar,DAKHANESHWAR
61468,JHANSI,Garautha,Deora Buzurg,BHADAR WARA BUZURG
61469,JHANSI,Garautha,Deori,DEORI
61470,JHANSI,Garautha,Dhamnod,DHAMNOD
61471,JHANSI,Garautha,Dhanaura,DHANAURA
61472,JHANSI,Garautha,Dhipkai,DHIPKAI
61473,JHANSI,Garautha,Dhondiya,KARGUA BUJURG
61474,JHANSI,Garautha,Dikoli,DIKOLI
61475,JHANSI,Garautha,Dumarai,DUMARAI
61476,JHANSI,Garautha,Dundi,DUNDI
61477,JHANSI,Garautha,Durchau,SIYA
61478,JHANSI,Garautha,Durkhuroo,DURKHUROO
61479,JHANSI,Garautha,Eoni,EONI
61480,JHANSI,Garautha,Eskil Buzurg,ESKIL BUZURG
61481,JHANSI,Garautha,Eskil Khurd,DURKHUROO
61482,JHANSI,Garautha,Gahrauli,MOTI KATRA
61483,JHANSI,Garautha,Garautha Dehat,DURKHUROO
61484,JHANSI,Garautha,Garautha Khurd,DURKHUROO
61485,JHANSI,Garautha,Garhwai,GARHWAI
61486,JHANSI,Garautha,Genda Kabola,GENDA KABOOLA
61487,JHANSI,Garautha,Ghatiyari,GHATIYARI
61488,JHANSI,Garautha,Ghat Kuwan,PUCHHI
61489,JHANSI,Garautha,Gohna,GOHNA
61490,JHANSI,Garautha,Gokal,GOKAL
61491,JHANSI,Garautha,Gonti,GONTI
61492,JHANSI,Garautha,Gora,TEHARKA
61493,JHANSI,Garautha,Gorpura,GORPURA
61494,JHANSI,Garautha,Gurha,GURHA
61495,JHANSI,Garautha,Gursarai Dehat,SEMRI
61496,JHANSI,Garautha,Habupura,CHOKRI
61497,JHANSI,Garautha,Haibat Pura,HAIBAT PURA
61498,JHANSI,Garautha,Hansari,ALAM PURA
61499,JHANSI,Garautha,Harduwa,HARDUWA
61500,JHANSI,Garautha,Hiranagar,HIRANAGAR
61501,JHANSI,Garautha,Imlota,IMLOTA
61502,JHANSI,Garautha,Jakhanwara,JHABRA
61503,JHANSI,Garautha,Jakhaura,JAKHAURA
61504,JHANSI,Garautha,Jalal Pura,JALAL PURA
61505,JHANSI,Garautha,Jaswant Pura,JASWANT PURA
61506,JHANSI,Garautha,Jhabra,JHABRA
61507,JHANSI,Garautha,Jhingharia,AHRAURA
61508,JHANSI,Garautha,Jujhar Pura,TEHARKA
61509,JHANSI,Garautha,Kachir,KACHIR
61510,JHANSI,Garautha,Kairokhar,KAIROKHAR
61511,JHANSI,Garautha,Kakarwai,KAKARWAI
61512,JHANSI,Garautha,Karan Pura,SIRBO
61513,JHANSI,Garautha,Karguwan Buzurg,KARGUA BUJURG
61514,JHANSI,Garautha,Katharri,GENDA KABOOLA
61515,JHANSI,Garautha,Kedar Tai,KEDAR TAI
61516,JHANSI,Garautha,Khadaini,SAGAULI
61517,JHANSI,Garautha,Khadaura,KHADAURA
61518,JHANSI,Garautha,Khama,GOKAL
61519,JHANSI,Garautha,Kharka,KHARKA
