,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
7949,AMROHA,Amroha,Adalpur Samdoo,Adalpur Samdu
7950,AMROHA,Amroha,Adalpur Taj,Adalpur Taj
7951,AMROHA,Amroha,Afzalpur,MAALIPUR
7952,AMROHA,Amroha,Ahamadpur Devipura,AHMADPUR DEVIPURA
7953,AMROHA,Amroha,Aharoi,Ahroi
7954,AMROHA,Amroha,Aiwajabad,Aaivzabad
7955,AMROHA,Amroha,Akbarpur Majra Karondi,Karaundi
7956,AMROHA,Amroha,Akbarpur Patti,Akbarpur Patti
7957,AMROHA,Amroha,Akbarpur Sakinya,Bhatpura Sakenia
7958,AMROHA,Amroha,Alampur Kainch,Alampur Kainch
7959,AMROHA,Amroha,Alehdadpur Kalan,Alhedadpur Kalan
7960,AMROHA,Amroha,Alehodadpur Khurd,Guleriya
7961,AMROHA,Amroha,Alimohammadpur,HUSSAINPUR NEAR MAALIKHERA
7962,AMROHA,Amroha,Alipur Chamarwa,Rampur Safed Bag
7963,AMROHA,Amroha,Alipur Khurd,Jalalpur Ghana
7964,AMROHA,Amroha,Alipur Majra Kemuth(Alampuri,Kumakhiya
7965,AMROHA,Amroha,Amera,Amhera
7966,AMROHA,Amroha,Amroha (Khas),Amroha Dehat
7967,AMROHA,Amroha,Apraula Maybag,Apraula May Bag
7968,AMROHA,Amroha,Asawar,Gajraula Prbhuvan
7969,AMROHA,Amroha,Asgaripur Joya,Asgaripur
7970,AMROHA,Amroha,Ashafpur Faizganj,Ashrafpur Faizganj
7971,AMROHA,Amroha,Atairana,ATAIRNA
7972,AMROHA,Amroha,Atrasi Kalan,Atrasi Kalan
7973,AMROHA,Amroha,Aurangabad,Aurangabad
7974,AMROHA,Amroha,Awwalpur,Avvwalpur
7975,AMROHA,Amroha,Azampur,Azampur
7976,AMROHA,Amroha,Badoniya,Badoniya
7977,AMROHA,Amroha,Badshahpur,Badshahpur
7978,AMROHA,Amroha,Bagarpur Emma,Bagarpur Imma
7979,AMROHA,Amroha,Bagarpur Kalan,Bagadpur Kalan
7980,AMROHA,Amroha,Bahadurpur Khurd,Bahadurpur Khurd
7981,AMROHA,Amroha,Bahlolpur,Sihali Narayan
7982,AMROHA,Amroha,Bakipur,BAAKIPUR
7983,AMROHA,Amroha,Bamanpur urf Bamaniya,Ghansurpur Bamniya
7984,AMROHA,Amroha,Banskheri,Bans Kheri
7985,AMROHA,Amroha,Barkhera Rajput,Barkhera Rajput
7986,AMROHA,Amroha,Barkhera Sadat,Barkhera Sadat
7987,AMROHA,Amroha,Baserataga,Baseda Taga
7988,AMROHA,Amroha,Basipur,Makanpur
7989,AMROHA,Amroha,Bastapur,Hisampur
7990,AMROHA,Amroha,Beebra Kalan,Bibra Kalan
