,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
58052,JAUNPUR,Badlapur,Abhaipur,GAJADHARPUR
58053,JAUNPUR,Badlapur,Agraura,AGRAURA
58054,JAUNPUR,Badlapur,Ahirauli,AHIROULI
58055,JAUNPUR,Badlapur,Ahiya Pur,GOPALAPUR
58056,JAUNPUR,Badlapur,Ahiyapur Urf Gopalpur,GAURA
58057,JAUNPUR,Badlapur,Ahopur,AHOPUR
58058,JAUNPUR,Badlapur,Akhua,AKHUA
58059,JAUNPUR,Badlapur,Alauddinpur,Raibhanipur
58060,JAUNPUR,Badlapur,Amari,AMAARI
58061,JAUNPUR,Badlapur,Anapur,ANAPUR
58062,JAUNPUR,Badlapur,Angrah,ANGRAH
58063,JAUNPUR,Badlapur,Anusar,ANUSAR
58064,JAUNPUR,Badlapur,Araji Anusar,ANUSAR
58065,JAUNPUR,Badlapur,Araji Sawansa,SAWANSA
58066,JAUNPUR,Badlapur,Arjunpur,ARJUNPUR
58067,JAUNPUR,Badlapur,Ashapur,DHURIPUR URF SHIV NAGAR
58068,JAUNPUR,Badlapur,Asropur,ASROPUR
58069,JAUNPUR,Badlapur,Asuapar,ASUAPAR
58070,JAUNPUR,Badlapur,Atara,SHANKARGARH (ATARA)
58071,JAUNPUR,Badlapur,Atauli,KHAMPUR
58072,JAUNPUR,Badlapur,Aunka,AUNKA
58073,JAUNPUR,Badlapur,Babhanpur,BABHANPUR
58074,JAUNPUR,Badlapur,Babura,BABURAA
58075,JAUNPUR,Badlapur,Bachhari,Bachhari
58076,JAUNPUR,Badlapur,Bachhuar,Bachhuar
58077,JAUNPUR,Badlapur,Badalapur Khurd,BADLAPUR KHURD
58078,JAUNPUR,Badlapur,Badal Patti,RATASI
58079,JAUNPUR,Badlapur,Badari,BADARI
58080,JAUNPUR,Badlapur,Baderi,BADERI
58081,JAUNPUR,Badlapur,Baghari Kalan,Baghari Kalan
58082,JAUNPUR,Badlapur,Baghari Khurd,ANUSAR
58083,JAUNPUR,Badlapur,Bagojhar,BAGOJHAR
58084,JAUNPUR,Badlapur,Bahara,RAMPUR
58085,JAUNPUR,Badlapur,Baharipur Kalan,BAHARIPUR KALAN
58086,JAUNPUR,Badlapur,Baharpur Khurd,BAHARPUR KHURD
58087,JAUNPUR,Badlapur,Bahauddeenpur,BAHAUDDEENPUR
58088,JAUNPUR,Badlapur,Bahorikpur,BAHORIKPUR
58089,JAUNPUR,Badlapur,Bahripur Khurd,KAITHORA
58090,JAUNPUR,Badlapur,Bahur,Bahur
58091,JAUNPUR,Badlapur,Baihari,BAIHARI
58092,JAUNPUR,Badlapur,Bairma,BAIRMA
58093,JAUNPUR,Badlapur,Bajaha,IBRAHIMPUR
58094,JAUNPUR,Badlapur,Bakhopur,Bakhopur
58095,JAUNPUR,Badlapur,Balipur Bharamal,DENUA
58096,JAUNPUR,Badlapur,Balipur Ghanshyampur,DENUA
58097,JAUNPUR,Badlapur,Balua,BADERI
58098,JAUNPUR,Badlapur,Balua,BALUA
58099,JAUNPUR,Badlapur,Banagawan,KHAIR PARA
58100,JAUNPUR,Badlapur,Banakat Bharthi,BANKAT BHARTHI
58101,JAUNPUR,Badlapur,Banbaha,AMAARI
58102,JAUNPUR,Badlapur,Banbirpur,BANBIRPUR
58103,JAUNPUR,Badlapur,Bangaon Bhumihar,BANGAON BHUMIHAR
58104,JAUNPUR,Badlapur,Bangaon Patti,BANGAON PATTI
58105,JAUNPUR,Badlapur,Bankat Lodi,BANKAT LODI
58106,JAUNPUR,Badlapur,Barabaspur,BARBASPUR
58107,JAUNPUR,Badlapur,Baragada,BHATAULI
58108,JAUNPUR,Badlapur,Baraiya,BARAIYA
58109,JAUNPUR,Badlapur,Barbaspur,BUDHANEPUR
58110,JAUNPUR,Badlapur,Barhupur,BARHUPUR
58111,JAUNPUR,Badlapur,Bariarpur,ASROPUR
58112,JAUNPUR,Badlapur,Bariyarepur,BHARTHARI
58113,JAUNPUR,Badlapur,Barji Khurd,GAURA
58114,JAUNPUR,Badlapur,Barsara,BARSARA
58115,JAUNPUR,Badlapur,Basahra Kalan,BASAHRA KALAN
58116,JAUNPUR,Badlapur,Basahra Khurd,BASAHRA KALAN
58117,JAUNPUR,Badlapur,Basara,KALINJARA
58118,JAUNPUR,Badlapur,Basoar,BASOAR
58119,JAUNPUR,Badlapur,Basupur,BASUPUR
58120,JAUNPUR,Badlapur,Basupur,RAM NAGAR UPDHAN
58121,JAUNPUR,Badlapur,Belahra Mau,SARAI PARASURAM
58122,JAUNPUR,Badlapur,Belasin,RASIKAPUR
58123,JAUNPUR,Badlapur,belawan,BELAWAAN
58124,JAUNPUR,Badlapur,Bendauli,Bendauli
58125,JAUNPUR,Badlapur,Besahupur,LAKHANEPUR
58126,JAUNPUR,Badlapur,Bhagatpur,BIRBHANPUR
58127,JAUNPUR,Badlapur,Bhagwanpur,BHAGWANPUR
