,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
21511,BAREILLY,Aonla,Aaspur,AASPUR
21512,BAREILLY,Aonla,Abadanpur,ABADANPUR
21513,BAREILLY,Aonla,Abra,MILAK MAJHRA
21514,BAREILLY,Aonla,Ajmer,AJMER
21515,BAREILLY,Aonla,Akha Mustkil,AKHA
21516,BAREILLY,Aonla,Alampur Japhrabad,ALAMPUR JAPHRABAD
21517,BAREILLY,Aonla,Alampur Kot,ALAMPUR KOT
21518,BAREILLY,Aonla,Alinagar,ALINAGAR
21519,BAREILLY,Aonla,Amrauli,AMRAULI
21520,BAREILLY,Aonla,Anandpur,KUSARI
21521,BAREILLY,Aonla,Andupura,MOHAMMADPUR PATHRA
21522,BAREILLY,Aonla,Anjani Mustkil,ANJANI MUSTKIL
21523,BAREILLY,Aonla,Antpur,ANTPUR
21524,BAREILLY,Aonla,Antua,KISHANPUR JAIDPUR
21525,BAREILLY,Aonla,Anurudhpur,ANURUDHPUR
21526,BAREILLY,Aonla,Arazi Be;Dhan Buzurg,BEUDHAN BUZURG
21527,BAREILLY,Aonla,Atarchedi,ATARCHEDI
21528,BAREILLY,Aonla,Aurangabad,PALTHAA
21529,BAREILLY,Aonla,Bachera,BACHERA
21530,BAREILLY,Aonla,Badrai Kuiyan,BADRAI KUIYAN
21531,BAREILLY,Aonla,Bagarpur,BAGARPUR
21532,BAREILLY,Aonla,Bahanpur,BAHANPUR
21533,BAREILLY,Aonla,Bahodakhera,KAMTHENA
21534,BAREILLY,Aonla,Bajhera,BAJHERA
21535,BAREILLY,Aonla,Bakarganj,BAKARGANJ
21536,BAREILLY,Aonla,Balaibhagvantpur,BALAIBHAGVANTPUR
21537,BAREILLY,Aonla,Ballia,BALLIA
21538,BAREILLY,Aonla,Bamiana,BAMIYANA
21539,BAREILLY,Aonla,BANARA,BANARA
21540,BAREILLY,Aonla,Baragaon,BARAGAON
21541,BAREILLY,Aonla,Bara Sirsa,BARA SIRSA
21542,BAREILLY,Aonla,Barathanpur,BARATHANPUR
21543,BAREILLY,Aonla,Bari Khera,BARI KHERA
21544,BAREILLY,Aonla,Barsera Sikandarpur,BARSERA SIKANDARPUR
21545,BAREILLY,Aonla,Basantpur,BASANTPUR
21546,BAREILLY,Aonla,Bebni,BEBNI
21547,BAREILLY,Aonla,Behari Pur,GULARIA ARIL
21548,BAREILLY,Aonla,Behta Chauhan,BAHJUIYA
21549,BAREILLY,Aonla,Behta Janu,BEHTA JANU
21550,BAREILLY,Aonla,Beudhan Buzurg,BEUDHAN BUZURG
21551,BAREILLY,Aonla,Beudhan Khurd,BEUDHAN KHURD
21552,BAREILLY,Aonla,Bhajnai,BHAJNAI
21553,BAREILLY,Aonla,Bhajuia,BAHJUIYA
21554,BAREILLY,Aonla,Bhamora,BHAMORA
21555,BAREILLY,Aonla,Bhartana,BHARTANA
21556,BAREILLY,Aonla,Bheekampur,BHEEKAMPUR
21557,BAREILLY,Aonla,Bheekampur,KUDDA
21558,BAREILLY,Aonla,Bheemlaur Rasulpur,BHEEMLAUR RASULPUR
21559,BAREILLY,Aonla,Bheempur,BHEEMPUR
21560,BAREILLY,Aonla,Bheempur Kathauti,ALAMPUR KOT
21561,BAREILLY,Aonla,Bheta Buzurg,BHETA BUZURG
21562,BAREILLY,Aonla,Bheta Laluch,BHARTANA
21563,BAREILLY,Aonla,Bhojpur,BHOJPUR
21564,BAREILLY,Aonla,Bhoora,BHOORA
21565,BAREILLY,Aonla,Bhoora,KUSARI
21566,BAREILLY,Aonla,Bhoori Pur,BHOORIPUR
21567,BAREILLY,Aonla,Bichuraiya Sirsa,BICHURAIYA SIRSA
21568,BAREILLY,Aonla,Biharipur Jageer,BIHARIPUR JAGEER
21569,BAREILLY,Aonla,Bihat,BIHAT
21570,BAREILLY,Aonla,Bilauri,BILAURI
21571,BAREILLY,Aonla,Brahampur,SARAU
21572,BAREILLY,Aonla,Chakarpur,DARUWAPUR
21573,BAREILLY,Aonla,Chakarpur Gahi,CHAKARPUR GAHI
21574,BAREILLY,Aonla,Champatpur,CHAMPAATPUR
21575,BAREILLY,Aonla,Champatpur,CHAMPATPUR
