,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
35441,CHITRAKOOT,Karwi,Ahmad Ganj,Ahmadganj
35442,CHITRAKOOT,Karwi,Airan Mafi,DUBARI
35443,CHITRAKOOT,Karwi,Ajoura,DEOKALI
35444,CHITRAKOOT,Karwi,Akabarpur,AKBARPUR B
35445,CHITRAKOOT,Karwi,Akbaria,KUI
35446,CHITRAKOOT,Karwi,Amanpur,AMANPUR
35447,CHITRAKOOT,Karwi,Amarpur,KANTHIPUR
35448,CHITRAKOOT,Karwi,Amenpur Chhiwalaha,BIHARA PAL DAV
35449,CHITRAKOOT,Karwi,Amiliha,AMILIHA
35450,CHITRAKOOT,Karwi,Amwan,ATROULI MAFI
35451,CHITRAKOOT,Karwi,Asoh,ASOH
35452,CHITRAKOOT,Karwi,Baboopur,BABOOPUR
35453,CHITRAKOOT,Karwi,Baboopur Chakala,SAMARIA JAGANNATH WASI
35454,CHITRAKOOT,Karwi,Bad Khura,LODHIA MAFI
35455,CHITRAKOOT,Karwi,Baglai,BAGLAI
35456,CHITRAKOOT,Karwi,Bahil Purwa,KARAKA PANDARIYA
35457,CHITRAKOOT,Karwi,Baihar,BAIHAR
35458,CHITRAKOOT,Karwi,Bakta Bujurg,BAKTA BUJURG
35459,CHITRAKOOT,Karwi,Balapur Khalasa,BALAPUR KHALASA
35460,CHITRAKOOT,Karwi,Balapur Mafi,BALAPUR MAFI
35461,CHITRAKOOT,Karwi,Banadi,BANADI
35462,CHITRAKOOT,Karwi,Bandar Coal,BALAPUR MAFI
35463,CHITRAKOOT,Karwi,Bandari,BANDARI
35464,CHITRAKOOT,Karwi,Bandhuin,CHHIPANI BAHAR KHERA
35465,CHITRAKOOT,Karwi,Bankat,BANKAT
35466,CHITRAKOOT,Karwi,Banwaripur,ITROUL BHIKHAMPUR
35467,CHITRAKOOT,Karwi,Barachh,BARACHH
35468,CHITRAKOOT,Karwi,Barachhi,LODHIA MAFI
35469,CHITRAKOOT,Karwi,Barahana,BARAH MAFI
35470,CHITRAKOOT,Karwi,Bara Mafi,BARA MAFI
35471,CHITRAKOOT,Karwi,Barampur,RANIPUR KHAKI
35472,CHITRAKOOT,Karwi,Barhat,GHAN
35473,CHITRAKOOT,Karwi,Barkol,DELOURA
35474,CHITRAKOOT,Karwi,Barwara,BARWARA
35475,CHITRAKOOT,Karwi,Basawanpur,CHAR
35476,CHITRAKOOT,Karwi,Beera,BAGLAI
35477,CHITRAKOOT,Karwi,Beera Misff,BAGLAI
35478,CHITRAKOOT,Karwi,Bhabha Mafi,CHHECHHERIHA KHURD
35479,CHITRAKOOT,Karwi,Bhaganpur,BHAGANPUR
35480,CHITRAKOOT,Karwi,Bhagwatpur,BHAGAWATPUR
35481,CHITRAKOOT,Karwi,Bhaisaundha,BHAISAUNDHA
35482,CHITRAKOOT,Karwi,Bhamai,BHAMAI
35483,CHITRAKOOT,Karwi,Bhambhoura,BHAMBHOURA
35484,CHITRAKOOT,Karwi,Bhanga,MACHHARIHA
35485,CHITRAKOOT,Karwi,Bharatpur Bhaisaudha,BHARATPUR BHAISAUDHA
35486,CHITRAKOOT,Karwi,Bharatpur Pahara,BHARATPUR BHAISAUDHA
35487,CHITRAKOOT,Karwi,Bharatpur Taraw,BHARATPUR BHAISAUDHA
35488,CHITRAKOOT,Karwi,Bharkori,BHARKORI
35489,CHITRAKOOT,Karwi,Bharthoul,BHARTHOUL
35490,CHITRAKOOT,Karwi,Bhatoura,DHORAHI MAFI
35491,CHITRAKOOT,Karwi,Bhawanipur,BHAGAWATPUR
35492,CHITRAKOOT,Karwi,Bhenda,ACHUR NERUA
35493,CHITRAKOOT,Karwi,Bhikhampur,PAHARA
35494,CHITRAKOOT,Karwi,Bhita Khera Kanthi Khera,BHITA KHERA KANTHI KHERA
35495,CHITRAKOOT,Karwi,Bhuihari Mafi,BHUIHARI MAFI
35496,CHITRAKOOT,Karwi,Bihara Pal Dav,BIHARA PAL DAV
35497,CHITRAKOOT,Karwi,Boodha,BOODHA SEMARWAR
35498,CHITRAKOOT,Karwi,Chakala Chak Mongari,SAMARIA JAGANNATH WASI
35499,CHITRAKOOT,Karwi,Chakala Guru Baba,KALLA
35500,CHITRAKOOT,Karwi,Chakala Rajrani,Ahmadganj
35501,CHITRAKOOT,Karwi,Chakala Sitapur,SITAPUR MAFI
35502,CHITRAKOOT,Karwi,Chakaundh,CHAKAUNDH
35503,CHITRAKOOT,Karwi,Chak Bhatoura,DHORAHI MAFI
35504,CHITRAKOOT,Karwi,Chak Bhupat,BALAPUR MAFI
35505,CHITRAKOOT,Karwi,Chak Gaura,KUI
35506,CHITRAKOOT,Karwi,Chak Jafar,CHAK JAFAR
35507,CHITRAKOOT,Karwi,Chak Lohasar,BALAPUR MAFI
35508,CHITRAKOOT,Karwi,Chak Mali,AMANPUR
35509,CHITRAKOOT,Karwi,Chak Mogari,SAMARIA JAGANNATH WASI
35510,CHITRAKOOT,Karwi,Chak Rauli,RAULI KALYANPUR
35511,CHITRAKOOT,Karwi,Chandra Gahna Mafi,CHANDRA GAHNA MAFI
