,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
44264,GAUTAM BUDDHA NAGAR,Dadri,Akalpur Jagir,AKALPUR JAGIR
44265,GAUTAM BUDDHA NAGAR,Dadri,Anandpur,ANANDPUR
44266,GAUTAM BUDDHA NAGAR,Dadri,Aurangabad,GULAOTHI KHURD
44267,GAUTAM BUDDHA NAGAR,Dadri,Badhpura,BADHPURA
44268,GAUTAM BUDDHA NAGAR,Dadri,Bairangpur Urf Nai Basti,BAIRANGPUR URF NAI BASTI
44269,GAUTAM BUDDHA NAGAR,Dadri,Bambawad,BAMBAWAD
44270,GAUTAM BUDDHA NAGAR,Dadri,Basantpur,LUHARLI 139 BASANTPUR BANGAR
44271,GAUTAM BUDDHA NAGAR,Dadri,Basantpur Bangar,SAMAUDDINPUR
44272,GAUTAM BUDDHA NAGAR,Dadri,Beel Akbarpur,BEEL AKBARPUR
44273,GAUTAM BUDDHA NAGAR,Dadri,Bhogpur,BHOGPUR
44274,GAUTAM BUDDHA NAGAR,Dadri,Bisahda,BISAHDA
44275,GAUTAM BUDDHA NAGAR,Dadri,Bisnoli,BISNOLI
44276,GAUTAM BUDDHA NAGAR,Dadri,Chak Senpur Urf Dhanibas,CHAK SENPUR URF DHANIBAS
44277,GAUTAM BUDDHA NAGAR,Dadri,Chak Sidipur,CHAUNA
44278,GAUTAM BUDDHA NAGAR,Dadri,Chamrawali Ramgarh,RAMGARH CHAMRAWALI
44279,GAUTAM BUDDHA NAGAR,Dadri,Chauna,CHAUNA
44280,GAUTAM BUDDHA NAGAR,Dadri,Chhayansa,CHHAYANSA
44281,GAUTAM BUDDHA NAGAR,Dadri,Chholas,CHHOLAS
44282,GAUTAM BUDDHA NAGAR,Dadri,Chithara,CHITHARA
44283,GAUTAM BUDDHA NAGAR,Dadri,Dadri Dehat,BISAHDA
44284,GAUTAM BUDDHA NAGAR,Dadri,Dadupur Khatana,DADUPUR KHATANA
44285,GAUTAM BUDDHA NAGAR,Dadri,Datawali,DATAWALI
44286,GAUTAM BUDDHA NAGAR,Dadri,Daya Nagar,CHHAYANSA
44287,GAUTAM BUDDHA NAGAR,Dadri,Dujana,DUJANA
44288,GAUTAM BUDDHA NAGAR,Dadri,Duriyai,DURIYAI
44289,GAUTAM BUDDHA NAGAR,Dadri,Girdharpur Sunarasi,GIRDHARPUR SUNARASI
44290,GAUTAM BUDDHA NAGAR,Dadri,Gorakhpur,RANOLI LATIFPUR
44291,GAUTAM BUDDHA NAGAR,Dadri,Gulaothi Khurd,GULAOTHI KHURD
44292,GAUTAM BUDDHA NAGAR,Dadri,Ibadullapur Urf Badalpur,BADALPUR
44293,GAUTAM BUDDHA NAGAR,Dadri,Iradatpur Urf Rajatpur,BISAHDA
44294,GAUTAM BUDDHA NAGAR,Dadri,Islamabad Kalda,ISLAMABAD KALDA
44295,GAUTAM BUDDHA NAGAR,Dadri,Jaitwapur Navarpur,JAITWAPUR NAVARPUR
44296,GAUTAM BUDDHA NAGAR,Dadri,Jarcha,JARCHA
44297,GAUTAM BUDDHA NAGAR,Dadri,Kachheda Warsabad,KACHHEDA WARSABAD
44298,GAUTAM BUDDHA NAGAR,Dadri,Kaimrala Chakrasenpur,KAIMRALA CHAKRASENPUR
44299,GAUTAM BUDDHA NAGAR,Dadri,Kalonda,KALONDA
44300,GAUTAM BUDDHA NAGAR,Dadri,Kathhera,KATHHERA
44301,GAUTAM BUDDHA NAGAR,Dadri,Khandera Girirajpur,KHANDERA GIRIRAJPUR
44302,GAUTAM BUDDHA NAGAR,Dadri,Khangoda,KHANGODA
44303,GAUTAM BUDDHA NAGAR,Dadri,Khatana Dhirkhera,KHATANA DHIRKHERA
44304,GAUTAM BUDDHA NAGAR,Dadri,Kot,KOT
44305,GAUTAM BUDDHA NAGAR,Dadri,Kudi Khera,KUDI KHERA
44306,GAUTAM BUDDHA NAGAR,Dadri,Luharli 139 Basantpur Bangar,LUHARLI 139 BASANTPUR BANGAR
44307,GAUTAM BUDDHA NAGAR,Dadri,Mahamvad,MAHAMVAD
44308,GAUTAM BUDDHA NAGAR,Dadri,Milak Khandera,KHANDERA GIRIRAJPUR
44309,GAUTAM BUDDHA NAGAR,Dadri,Muthiyani,MUTHIYANI
44310,GAUTAM BUDDHA NAGAR,Dadri,Nagla Chamroo,NAGLA CHAMROO
44311,GAUTAM BUDDHA NAGAR,Dadri,Nagla Kirani,BISAHDA
44312,GAUTAM BUDDHA NAGAR,Dadri,Nagla Nainsukh,NAGLA NAINSUKH
44313,GAUTAM BUDDHA NAGAR,Dadri,Noorpur,NOORPUR
44314,GAUTAM BUDDHA NAGAR,Dadri,Patadi (CT),PATADI
44315,GAUTAM BUDDHA NAGAR,Dadri,Phoolpur,PHOOLPUR
44316,GAUTAM BUDDHA NAGAR,Dadri,Pyawali Tajpur,PYAWALI TAJPUR
44317,GAUTAM BUDDHA NAGAR,Dadri,Ranoli Latifpur,RANOLI LATIFPUR
44318,GAUTAM BUDDHA NAGAR,Dadri,Rasoolpur Dasana,RASOOLPUR DASANA
44319,GAUTAM BUDDHA NAGAR,Dadri,Sadipur Chhidoli,SADIPUR CHHIDOLI
44320,GAUTAM BUDDHA NAGAR,Dadri,Saithali,SAITHALI
44321,GAUTAM BUDDHA NAGAR,Dadri,Salarpur Kalan,SALARPUR KALAN
44322,GAUTAM BUDDHA NAGAR,Dadri,Samauddinpur,SAMAUDDINPUR
44323,GAUTAM BUDDHA NAGAR,Dadri,Shahpur Khurd,SHAHPUR KHURD
44324,GAUTAM BUDDHA NAGAR,Dadri,Sidipur,SIDIPUR
44325,GAUTAM BUDDHA NAGAR,Dadri,Talabpur Urf Hathipur,DURIYAI
44326,GAUTAM BUDDHA NAGAR,Dadri,Tamolipur,BISAHDA
44327,GAUTAM BUDDHA NAGAR,Dadri,Tatarpur,TATARPUR
44328,GAUTAM BUDDHA NAGAR,Dadri,Uncha Amirpur,UNCHA AMIRPUR
44329,GAUTAM BUDDHA NAGAR,Dadri,Uplarasi,UPLARASI
44330,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Acchepur,ACHEPUR
44331,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Achhe Buzurg,ACHHE BUZURG
44332,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Atta Gujran,ATTA GUJRAN
44333,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Aurangpur,AURANGPUR
44334,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Bajarpur,BAJARPUR
44335,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Bela Kalan,FATEHPUR ATTA
44336,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Bela Khurd,FATEHPUR ATTA
44337,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Bhatta,BHATTA
44338,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Chachura,CHACHURA
44339,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Chandpur,ACHEPUR
44340,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Chandrawal,SHAHPUR KHURD
44341,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Changauli,CHACHURA
44342,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Chiti,CHITI
44343,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Chuharpur Bangar,CHUHARPUR BANGAR
44344,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Dalelpur,JAGANPUR AFZALPUR
44345,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Dankaur,DANKAUR DEHAT
