,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
946,ALIGARH,Atrauli,Abhaypur Bahlolpur,ABHAYPUR BAHLOLPUR
947,ALIGARH,Atrauli,ABUNASINGHPUR,TOCHHI
948,ALIGARH,Atrauli,AHAMADPURA,AHAMADPURA
949,ALIGARH,Atrauli,AJMAINDHER,AJMAINDHER
950,ALIGARH,Atrauli,Alahdadpur,ALAHDADPUR
951,ALIGARH,Atrauli,Alampur Fatehpur,ALAMPUR FATEHPUR
952,ALIGARH,Atrauli,Alampur Kayasthan,ALAMPUR KAYASTHAN
953,ALIGARH,Atrauli,Alampur Rani,ALAMPUR RANI
954,ALIGARH,Atrauli,Alipur,ALIPUR  SESAI
955,ALIGARH,Atrauli,Anandpur,PURAINI ISMAILPUR
956,ALIGARH,Atrauli,Arni,ARNI
957,ALIGARH,Atrauli,Asharfabad,ALAMPUR KAYASTHAN
958,ALIGARH,Atrauli,Asharfabad Nagaria,GIJRAULI
959,ALIGARH,Atrauli,Ata,ATA
960,ALIGARH,Atrauli,Audhakhera,HUSSAINPUR SHAHJADPUR
961,ALIGARH,Atrauli,Azadpur,PAHARIPUR
962,ALIGARH,Atrauli,Babupur,PIPLOI
963,ALIGARH,Atrauli,Bahadurpur Rachoi,BAHADURPUR RACHOI
964,ALIGARH,Atrauli,Bahadurpur Tabyu,BAHADURPUR TABYU
965,ALIGARH,Atrauli,Baharabad,BAHARABAD
966,ALIGARH,Atrauli,Bahona Kotra,BAHONA KOTRA
967,ALIGARH,Atrauli,Baijla,BAIJLA
968,ALIGARH,Atrauli,Baikala,BAIKALA
969,ALIGARH,Atrauli,Baikhurd,BAIKHURD
970,ALIGARH,Atrauli,Baimbirpur,BAIMBIRPUR
971,ALIGARH,Atrauli,Bajidpur,BAJIDPUR
972,ALIGARH,Atrauli,Banupura,BANUPURA
973,ALIGARH,Atrauli,Barhaipura,BARHEPURA
974,ALIGARH,Atrauli,Barhaul,BARAULI
975,ALIGARH,Atrauli,BARHAUL,BARHAUL
976,ALIGARH,Atrauli,Barhauli,BARHAULI
977,ALIGARH,Atrauli,BARHSARA,BARHSARA
978,ALIGARH,Atrauli,Barla,BARLA
979,ALIGARH,Atrauli,BEELPURA,BEELPURA
980,ALIGARH,Atrauli,Bhamauri Khurd,BHAMAURI KHURD
981,ALIGARH,Atrauli,Bhamori Buzurg,BHAMORI BUZURG
982,ALIGARH,Atrauli,Bhamsoi Husainpur,BHAMSOI HUSAINPUR
983,ALIGARH,Atrauli,Bhavigarh,BHAVIGARH
984,ALIGARH,Atrauli,Bhay,BHAY
985,ALIGARH,Atrauli,Bhikanpur,BHIKANPUR
986,ALIGARH,Atrauli,Bhirawali,HUSSAINPUR DEHMAFI
987,ALIGARH,Atrauli,Bhojpur Ta Datavli,UTARA
988,ALIGARH,Atrauli,Bhojpur Ta Lohgarh,BHOJPUR TA LOHGARH
989,ALIGARH,Atrauli,BHONAI,BHONAI
990,ALIGARH,Atrauli,Bhuria Majra Rampur,BHURIA MAJRA RAMPUR
991,ALIGARH,Atrauli,Bidhipur,BIDHIPUR
992,ALIGARH,Atrauli,Bijauli,BIJAULI
993,ALIGARH,Atrauli,Bilauna Chitrasi,BILAUNA CHITRASI
994,ALIGARH,Atrauli,Binamai,KUNJALPUR
995,ALIGARH,Atrauli,Birner,BIRNER
996,ALIGARH,Atrauli,Birsinghpur,KAKETHAL
997,ALIGARH,Atrauli,Bisanpur Bahanpur,BISANPUR BAHANPUR
998,ALIGARH,Atrauli,Bisora,BISORA
999,ALIGARH,Atrauli,Bonai,BONAI
1000,ALIGARH,Atrauli,Budhari Buzurg,BUDHARI BUZURG
1001,ALIGARH,Atrauli,Budhari Khurd,MANIANA UMMEDPUR
1002,ALIGARH,Atrauli,Bulapur,BULAPUR
1003,ALIGARH,Atrauli,Burhagaon,BURHAGAON
1004,ALIGARH,Atrauli,Chadauva Govardhanpur,CHANDAUVA GOVARDHANPUR
1005,ALIGARH,Atrauli,Chakathal,CHAKATHAL
1006,ALIGARH,Atrauli,CHAK KHEDIA,GANGIRI
1007,ALIGARH,Atrauli,Chalakpur,CHALAKPUR
1008,ALIGARH,Atrauli,Chandaula Sujanpur,CHANDAULA SUJANPUR
1009,ALIGARH,Atrauli,Chandauli Buzurg,CHANDAULI BUZURG
1010,ALIGARH,Atrauli,Chapauta,CHAPAUTA
1011,ALIGARH,Atrauli,Chaumuhan,CHAUMUHAN
1012,ALIGARH,Atrauli,Chaupur Hauj,CHAUPUR HAUJ
1013,ALIGARH,Atrauli,Chhabilpur,CHHABILPUR
1014,ALIGARH,Atrauli,Chharra Rafatpur,CHHARRA RAFATPUR
1015,ALIGARH,Atrauli,Chhaugawan,CHHAUGAWAN
1016,ALIGARH,Atrauli,Chitkura,CHITKURA
1017,ALIGARH,Atrauli,Dadar Alupura,DADAR ALUPURA
1018,ALIGARH,Atrauli,Dado,DADO
1019,ALIGARH,Atrauli,Daheli,SIKHARNA
1020,ALIGARH,Atrauli,Dari Alawlpur,DARI ALAWLPUR
1021,ALIGARH,Atrauli,Data Choli Buzurg,DATA CHOLI BUZURG
1022,ALIGARH,Atrauli,Data Choli Khurd,DATA CHOLI KHURD
1023,ALIGARH,Atrauli,Datavali,DATAVALI
1024,ALIGARH,Atrauli,Daud Garhi,DAUD GARHI
1025,ALIGARH,Atrauli,Dhansari,DHANSARI
1026,ALIGARH,Atrauli,Dhurra Khas Urf Premnagar,DHURRA KHAS URF PREMNAGAR
1027,ALIGARH,Atrauli,Dhurra Todarpur,DHURRA TODARPUR
1028,ALIGARH,Atrauli,Dinapur,DINAPUR
1029,ALIGARH,Atrauli,Dorai,DORAI
1030,ALIGARH,Atrauli,Dudhma,DUDHMA
1031,ALIGARH,Atrauli,Fatehpur,TODAR PUR
1032,ALIGARH,Atrauli,Fatehpur Gang,GAON KHERA
1033,ALIGARH,Atrauli,Fazalpur,FAZALPUR
1034,ALIGARH,Atrauli,Gahtauli Nirmal,GAHTAULI NIRMAL
1035,ALIGARH,Atrauli,Gahtoli Gang,GOPALPUR
