,Block Name,Distance,GP Name,GP_lat,GP_long,Village Name,Village_lat,Village_long
85,Amroha,6301.54424439,Jalalpur Narayan,28.90514,78.42534,Jalalpur Narayan,Jalalpur Bakhra,82.47776
86,Amroha,6303.44260223,Jalilpur Bakkal,28.90692,78.59898,Jaleelpur Baqqal,Jalalpur Bakhra,82.47776
87,Amroha,6308.05045262,Jalalpur Narayan,28.90514,78.42534,Jamalpur Khalsa,Jamalpur,82.56854
88,Amroha,6353.33379344,Jamna Khas,29.02909,78.44098,Jamuna Khas,Jamurkha,83.37915
89,Amroha,6360.02449953,Shahpur,28.99289,78.49131,Joya Gramin Patkoi,Jawaripatti Ajanavi Rai,83.39314
90,Amroha,6346.97462951,Kail Bakri,29.03358,78.45095,Kailbakri,Kabari,83.1571
91,Amroha,6353.75489251,KALAKHERA URF KALALKHERA,28.98165,78.45387,Kala Khera,Lakhesra,83.52968
92,Amroha,6471.84409051,Kalampur,28.43162,78.42286,Kalampur Urf Kamalpur,Dhamaipuramaipur Taluka Bansdi,84.28767
93,Amroha,6274.97819186,Hisampur,29.03975,78.43467,Kamalpur Khalsa,Kamalpur,82.266
94,Amroha,6219.25270371,Kankar Khera,28.89735,78.40815,Kanker Khera,Kankhara,81.1538
95,Amroha,6406.07230402,Sudanpur,28.99977,78.51171,Kasampur Nikat Kalali,Kaskawallia,84.23437
96,Amroha,6226.60467427,Kayampur urf Karar Nagar,29.02263,78.43861,Kayampur Urf Kararnagar,Sangrampuruparhar,81.3747
97,Amroha,6362.42696601,Nasir Nagla,28.97074,78.41628,Kazipura Sadat,Patti Muhammd Or Kazipur,83.54622
98,Amroha,6184.87291194,Khera,28.98165,78.45387,Khera,Malla Khera,80.80449
99,Amroha,6362.46899675,Khetapur Jhangir,28.92832,78.42328,Khetapur Jahangeerpur,Khurdharpur,83.42753
100,Amroha,6305.11018209,Narayanpur,29.01263,78.53636,Khidmatpur,Himmatpur Bakuchiya,82.54098
