,Block Name,Distance,GP Name,GP_lat,GP_long,Village Name,Village_lat,Village_long
0,Shahabad,6489.59419608,ABDULLAPUR,27.57595,79.947372,Abdullapur,Abdullapur,82.77192
1,Shahabad,6530.79437465,AGAMPUR  DHURHAI,27.585031,79.90361,Agampur,Agapur,83.46657
2,Shahabad,6517.47961877,AGAPUR  SARDAR,27.709633,79.946742,Agapur,Agapur,83.46657
3,Shahabad,6513.24377642,AIGAWA,27.688365,79.961026,Aigawan,Atigawan,83.35805
4,Shahabad,6557.77820738,HARRAI   TIGAWAN,27.714691,79.968446,Akhtiyarpur,Akhitiyarpur,84.16608
5,Shahabad,6466.43743282,ALAM NAGAR,27.678546,79.910615,Alam Nagar,Lalanagar,82.47605
6,Shahabad,6488.70818222,SHANKARPUR,27.508565,79.892155,Ali Hajipur,Sahajipur,82.6125
7,Shahabad,6574.83811232,AMBARI,27.613692,79.864926,Ambari,Rampur Nambari,84.28562
8,Shahabad,6575.5363967,ASALAPUR,27.43078,79.900622,Asalapur,Salapur,83.90445
9,Shahabad,6489.24668544,ASGARPUR,27.581772,80.019931,Asgarpur,Asogapur,82.68016
10,Shahabad,6568.46114476,ATARJI,27.547121,79.84961,Atarjee Panchsala,Palia Punchshala,84.02612
11,Shahabad,6549.05429897,ATARJI,27.547121,79.84961,Atarjee Sisala,Atarsuwakala,83.73649
12,Shahabad,6528.45813599,MANIKAPUR BABUHAI,27.62414,79.899865,Baburhai,Barhai Purwa,83.77705
13,Shahabad,6452.61905161,BAHADUR NAGAR,27.599985,80.026416,Bahadur Nagar,Arwansimai Bahadurgarh,82.13667
14,Shahabad,6538.81108667,BAIJOOPUR,27.517102,79.88008,Baijoopur,Baijapur,83.53144
15,Shahabad,6568.98825595,BOOTA MAU,27.435821,79.899784,Bakaura,Bakaspura,83.81557
16,Shahabad,6491.89749738,BARI,27.613692,79.864926,Bari,Bari Deeha,83.03699
17,Shahabad,6491.89749738,BARI,27.613692,79.864926,Bari,Bari Deeha,83.03699
18,Shahabad,6531.85899142,HASNAPUR,27.709901,79.97554,Baripur,Baripur,83.84769
19,Shahabad,6552.5986652,BASIT NAGAR,27.637903,79.880718,Basat Nagar,Basanwar,83.9575
20,Shahabad,6563.35913444,BASIT NAGAR,27.637903,79.880718,Basat Nagar Pansala,Amawa Taluke Sagarpali,84.11994
21,Shahabad,6405.74773362,BAZID NAGAR,27.678546,79.910615,Bazid Nagar,Alinagar,81.71148
22,Shahabad,6552.57633861,GARHEYPUR,27.714471,79.92262,Behta Kola,Bhawarkola,84.07275
23,Shahabad,6541.23665834,BHADASI,27.644032,79.903062,Bhadasi,Auraiya Bhawdas,83.76345
24,Shahabad,6564.53873249,BIHGAWAN,27.490383,79.928063,Bhigawan Pansala,Bawanpali Basdev,83.92584
25,Shahabad,6399.45901169,MISHRIPUR,27.674132,79.972716,Bhoora,Chak Bhoor,81.52623
26,Shahabad,6518.53461038,BOOTA MAU,27.435821,79.899784,Bhoota Mau Pansala,Bhainsala,83.22878
27,Shahabad,6557.9802721,BIHGAWAN,27.490383,79.928063,Bihgawan,Bhagawan Chhapar,83.86136
28,Shahabad,6583.09293004,BIJGAWAN,27.490383,79.928063,Bijgawan,Rigawan,84.19916
29,Shahabad,6505.12956008,BIRORI,27.666382,79.894342,Birauli Pansala,Birhulia,83.01319
30,Shahabad,6481.94241573,BIRORI,27.666382,79.894342,Birauri,Birapur,82.72286
31,Shahabad,6502.23745831,NAGLA KHANPUR,27.484465,79.91242,Biruapur,Birapur,82.72286
