State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase,throughput
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, ARMORI,176377,20.465199,79.988088, ARMORI GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, ARSODA,176378,20.480787,79.963561, ARSODA GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, BHAKRONDI,176379,20.421254,80.266317, BHAKRONDI GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, BORI (C.),176380,20.349748,80.070974, BORI (C.) GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, CHAMORSHI (M.),176381,20.418874,80.040893, CHAMORSHI (M.) GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, CHURMURA,176382,20.350149,79.982901, CHURMURA GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, DELANWADI,176383,20.434227,80.187471, DELANWADI GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, DELODA (B.),176384,20.322154,80.057328, DELODA (B.) GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, DEULGAON,176385,20.387411,79.989965, DEULGAON GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, DONGARGAON,176386,20.423892,79.987574, DONGARGAON GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, DONGARSAWANGI,176387,20.377065,79.987956, DONGARSAWANGI GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, INJEWARI,176388,20.39392,80.00748, INJEWARI GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, JOGISAKHARA,176389,20.497485,80.031141, JOGISAKHARA GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, KASVI,176390,20.521482,80.009597, KASVI GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, KITALI,176391,20.365766,79.991493, KITALI GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, KOREGAON (W.),176393,20.383367,80.153077, KOREGAON (W.) GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, KOSBI,176392,20.402197,80.061742, KOJABI GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, KULKULI,176394,20.450732,80.276212, KULKULI GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, KURANDI,176395,20.413104,80.145524, KURANDI GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, MANAPUR,176396,20.429302,80.195328, MANAPUR GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, MOHZARI,176397,20.442187,80.141401, MOHZARI GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, NARCHULI,176398,20.356124,80.151363, NARCHULI GP,1,2
MAHARASHTRA,27, GADCHIROLI,508, ARMORI,4372, PALASGAON,176399,20.519706,80.038137, PALASGAON GP,1,2
