State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,population
ANDHRA PRADESH,28,NIZAMABAD,533,BHEEMGAL,5421,DEVAKKAPET,NZ2195,18.6272,78.627222,DEVAKKAPET,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHEEMGAL,5421,MUCHKOOR,NZ2105,18.581194,78.456128,MUCHKOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,ANTHAMPALLY,NZ2202,18.22472,78.44752,ANTHAMPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,ANTHAMPALLY,NZ2206,18.2249,78.356972,ANTHAMPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,ANTHAMPALLY,NZ2020,18.254639,78.433944,ANTHAMPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,ANTHAMPALLY,NZ2017,18.185611,78.399444,ANTHAMPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,BASWAPUR,NZ2153,18.17447,78.46141,BASWAPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,BASWAPUR,MD2045,18.11391,78.430639,BASWAPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,BHAGIRTHPALLY,MD2165,18.12222,78.4875833333,BHAGIRTHPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,BHAGIRTHPALLY,MD2039,18.12961,78.526889,BHAGIRTHPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,BHAGIRTHPALLY,MD2006,18.09338,78.4406,BHAGIRTHPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,JANGAMPALLY,NZ2151,18.2881,78.405361,JANGAMPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,JANGAMPALLY,NZ2094,18.2625,78.336111,JANGAMPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,KANCHERLA,NZ2060,18.21291,78.5214722222,KANCHERLA,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,PONDURTHY,NZ2177,18.28972,78.33667,PONDURTHY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,RAJAMPET,NZ2014,18.3196,78.3325,RAJAMPET,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BHIKNUR,5422,RAJAMPET,NZ2011,18.321111,78.340833,RAJAMPET,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BICHKUNDA,5423,BEGUMPUR,NZ2203,18.33037,77.73092,BEGUMPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BICHKUNDA,5423,BEGUMPUR,NZ2176,18.2915,77.82055,BEGUMPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BICHKUNDA,5423,BICHKUNDA,NZ2201,18.3974,77.766194,BICHKUNDA,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BICHKUNDA,5423,BICHKUNDA,NZ2062,18.40079,77.70893,BICHKUNDA,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BICHKUNDA,5423,BURUGUPALLI,MD2199,18.23352,77.7049,BURUGUPALLI,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BICHKUNDA,5423,BURUGUPALLI,NZ2190,18.3327,77.69621,BURUGUPALLI,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BICHKUNDA,5423,GOPANPALLI,NZ2193,18.46878,77.70909,GOPANPALLI,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BICHKUNDA,5423,GUNDEKOLLOOR,NZ2212,18.4813,77.736611,GUNDEKOLLOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BICHKUNDA,5423,HASGUL,NZ2063,18.4615,77.799444,HASGUL,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BODHAN,5425,ACHANPALLY,NZ2003,18.651667,77.892778,ACHANPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BODHAN,5425,ACHANPALLY,NZ2064,18.66095,77.88585,ACHANPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BODHAN,5425,ACHANPALLY,NZ2018,18.6595,77.895139,ACHANPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BODHAN,5425,ACHANPALLY,NZ2113,18.6775,77.948617,ACHANPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BODHAN,5425,ACHANPALLY,NZ2101,18.677736,77.846147,ACHANPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BODHAN,5425,AMDAPUR,NZ2147,18.6126,77.980556,AMDAPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BODHAN,5425,BARDHIPUR,NZ2097,18.747203,77.950844,BARDHIPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BODHAN,5425,BHAVANIPET,NZ2099,18.583603,77.878064,BHAVANIPET,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DHARPALLE,5426,ANSANPALLY,NZ2214,18.5501,78.36,ANSANPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DHARPALLE,5426,ANSANPALLY,NZ2019,18.574556,78.367222,ANSANPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DHARPALLE,5426,ANSANPALLY,NZ2155,18.62149,78.30941,ANSANPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DHARPALLE,5426,DONKAL,NZ2159,18.48576,78.2819,DONKAL,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DHARPALLE,5426,GOURARAM,NZ2022,18.549417,78.243139,GOURARAM,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DHARPALLE,5426,GOURARAM,NZ2163,18.5281,78.24519,GOURARAM,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DHARPALLE,5426,NALLAVELLI,NZ2171,18.4838,78.217944,NALLAVELLI,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,DICHPALLE,5427,AMRUTHAPUR,NZ2004,18.603639,78.212917,AMRUTHAPUR,9,12,
