State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,population
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Baruahola GP,DNJ003,27.53915,95.26339,Baruahola GP,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Baruahola GP,PAN001,27.494723,95.263056,Baruahola GP,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Baruahola GP,TSK003,27.482834,95.320028,Baruahola GP,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Bozaltoli,TSK017,27.48112,95.33473,Bozaltoli,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Bozaltoli,TSK014,27.493889,95.356945,Bozaltoli,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Bozaltoli,GUJ001,27.570889,95.324917,Bozaltoli,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Bozaltoli,TSK007,27.48875,95.359417,Bozaltoli,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Bozaltoli,TSK011,27.482834,95.35925,Bozaltoli,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Bozaltoli,TSK008,27.484917,95.349862,Bozaltoli,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Bozaltoli,NOKHR1,27.539834,95.325917,Bozaltoli,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Bozaltoli,MAK001,27.48551,95.38099,Bozaltoli,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Bozaltoli,TSK004,27.495834,95.346306,Bozaltoli,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Bozaltoli,TSK005,27.473806,95.363139,Bozaltoli,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Bozaltoli,TSK006,27.492695,95.364028,Bozaltoli,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Bozaltoli,TSK001,27.490278,95.352834,Bozaltoli,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Bozaltoli,TSK002,27.488723,95.377389,Bozaltoli,9,12,
ASSAM,18,TINSUKIA,309,GUIJAN,2716,Bozaltoli,TSK009,27.487028,95.35425,Bozaltoli,9,12,
ASSAM,18,TINSUKIA,309,ITAKHULI,2718,TENGAPANI,MKM001,27.482528,95.437889,TENGAPANI,9,12,
ASSAM,18,TINSUKIA,309,ITAKHULI,2718,Bapuji,NAO001,27.381473,95.352778,Bapuji,9,12,
ASSAM,18,TINSUKIA,309,ITAKHULI,2718,Bapuji,HOO001,27.399556,95.312889,Bapuji,9,12,
ASSAM,18,TINSUKIA,309,PANITOLA,2567,JERAI,DNJ001,27.560667,95.23775,JERAI,9,12,
ASSAM,18,TINSUKIA,309,SAIKHOWA,2722,ARAIMURIA,SAI001,27.752889,95.595389,ARAIMURIA,9,12,
ASSAM,18,TINSUKIA,309,SAIKHOWA,2722,DANGIRI,TLP001,27.677556,95.599945,DANGIRI,9,12,
ASSAM,18,TINSUKIA,309,SAIKHOWA,2722,KHOBANG,DOM001,27.595445,95.554778,KHOBANG,9,12,
