State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,population
ANDHRA PRADESH                                    ,28,PRAKASAM,549,ADDANKI,5454,BOMMANAMPADU,PK2038,15.84515,80.05165,BOMMANAMPADU,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,ADDANKI,5454,BOMMANAMPADU,PK2014,15.80672,79.97259,BOMMANAMPADU,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,ADDANKI,5454,CHINAKOTHAPALLI,PK2205,15.95042,79.99108,CHINAKOTHAPALLI,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,ADDANKI,5454,CHINAKOTHAPALLI,PK2106,15.93176,79.95821,CHINAKOTHAPALLI,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,ADDANKI,5454,DHARMAVARAM,PK2098,15.905,80.05136,DHARMAVARAM,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,ADDANKI,5454,DHENUVAKONDA,PK2140,15.66847,79.93065,DHENUVAKONDA,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,ADDANKI,5454,KONGAPADU,PK2006,15.72052,80.01704,KONGAPADU,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,ADDANKI,5454,MYLAVARAM,GT2263,15.976167,79.886001,MYLAVARAM,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,ARDHAVEEDU,5455,ARDHAVEEDU,PK2061,15.67607,78.9606,ARDHAVEEDU GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,ARDHAVEEDU,5455,AYYAVARIPALLI,PK2155,15.61065,79.0448,AYYAVARIPALLI GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,ARDHAVEEDU,5455,BOGOLE,PK2127,15.56477,78.98274,BOGOLE GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,ARDHAVEEDU,5455,KAKARLA,PK2015,15.58938,79.1162,KAKARLA GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,ARDHAVEEDU,5455,KAKARLA,PK5030,15.6403,79.14159,KAKARLA GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,BALLIKURAVA,5456,AMBADIPUDI,PK2062,15.99944,80.02548,Ambadapudi Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,BALLIKURAVA,5456,CHENNUPALLI,PK2077,16.02925,79.94502,Chenupalli Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,BALLIKURAVA,5456,K.RAJUPALEM,GT2226,16.0387,80.10291,K.rajupalem Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,BALLIKURAVA,5456,KOPPERAPALEM,PK2162,16.08461,79.98764,Kopparapalem Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,BALLIKURAVA,5456,UPPUMAGULURU,GT5059,16.0939,80.096,Uppamagulurugp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,BESTAVARIPETA,5457,AKKAPALLI,PK2169,15.44576,79.13111,AKKAPALLI,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,BESTAVARIPETA,5457,BESTAVARIPETA,PK2184,15.50108,79.09499,BESTAVARIPETA,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,BESTAVARIPETA,5457,CHETTICHERLA,PK2021,15.54643,79.10192,CHETTICHERLA,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,BESTAVARIPETA,5457,MOKSHAGUNDAM,PK2101,15.45626,79.03716,MOKSHAGUNDAM,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHANDRA SEKHARA PURAM,5458,AMBAVARAM,PK2138,15.17515,79.17999,AMBAVARAM GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHANDRA SEKHARA PURAM,5458,ANIKALAPALLI,PK2022,15.18362,79.27702,ANIKALAPALLI SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHANDRA SEKHARA PURAM,5458,PEDARAJUPALEM,NL2251,15.06817,79.34505,PEDDARAJUPALEM GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIMAKURTHI,5459,BANDLAMUDI,PK2023,15.5867,79.8595,Bandlamudi Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIMAKURTHI,5459,BANDLAMUDI,PK2018,15.5841,79.8706,Bandlamudi Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIMAKURTHI,5459,BANDLAMUDI,PK2188,15.61063,79.96225,Bandlamudi Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIMAKURTHI,5459,BUDAWADA,PK2186,15.57656,79.81923,Budhavada Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIMAKURTHI,5459,DEVARAPALEM,PK2130,15.65802,79.75236,Devarapalem Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIMAKURTHI,5459,E.V.PALEM,PK2055,15.5438,79.9411,Ev palem Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIMAKURTHI,5459,PIDATHALAPUDI,PK2063,15.4742,79.9037,Pidatalapadu Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHINAGANJAM,5460,CHINNAGANJAM,PK2024,15.696,80.24289,CHINNAGAJAM GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHINAGANJAM,5460,CHINNAGANJAM,PK2154,15.72929,80.25158,CHINNAGAJAM GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHINAGANJAM,5460,CHINTHAGUMPALLI,PK2142,15.74077,80.17238,CHINTHAGUMPALLI GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHINAGANJAM,5460,MOTUPALLI,PK2053,15.781,80.307,MOTUPALLI GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHINAGANJAM,5460,NEELAYAPALEM,PK2051,15.67637,80.16279,NILAYAPALEM GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIRALA,5461,BURLAVARIPALEM,PK2201,15.7999,80.4086,BURLAVARI PALEM GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIRALA,5461,BURLAVARIPALEM,PK2025,15.8265,80.3557,BURLAVARI PALEM GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIRALA,5461,BURLAVARIPALEM,PK2002,15.83997,80.37298,BURLAVARI PALEM GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIRALA,5461,BURLAVARIPALEM,PK2001,15.82602,80.34892,BURLAVARI PALEM GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIRALA,5461,BURLAVARIPALEM,GT2133,15.873111,80.418083,BURLAVARI PALEM GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIRALA,5461,DEVINUTHALA,GT2134,15.84494,80.49161,Devinuthala Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIRALA,5461,DEVINUTHALA,GT5060,15.9032,80.4614,Devinuthala Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIRALA,5461,DEVINUTHALA,GT2003,15.90726,80.47832,Devinuthala Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIRALA,5461,DEVINUTHALA,GT2002,15.90323,80.46143,Devinuthala Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CHIRALA,5461,DEVINUTHALA,GT2240,15.87909,80.45549,Devinuthala Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,CUMBUM,5462,NARSIREDDYPALLI,PK2195,15.51932,78.98274,NARSIREDDYPALLI MPP SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,DARSI,5463,BOTLAPALEM,PK2209,15.70007,79.7956,Botlapalem Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,DARSI,5463,Darsi,PK2026,15.77487,79.67534,Darsi Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,DARSI,5463,Devavaram,GT2231,15.855361,79.728806,Devavaram Primary School,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,DARSI,5463,EAST CHAVATAPALEM,PK2185,15.70994,79.65969,East Choutupalem Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,DARSI,5463,Pedda Uyalawada,PK5036,15.5906,79.68484,Pedda Uyalawada Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,DONAKONDA,5464,ARAVALLIPADU,PK2192,15.71863,79.53113,Aravallipadu GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,DONAKONDA,5464,BHUMANAPALLI,PK2069,15.75298,79.39272,Bhumanapalli GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,DONAKONDA,5464,CHANDAVARAM,PK2156,15.94788,79.47173,Chandavaram GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,DONAKONDA,5464,DONAKONDA,PK2027,15.82935,79.48492,Donkonda Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,DORNALA,5465,CHINNA DORNALA,PK2044,15.9088,79.0959,CHINADORNALA MPP SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,DORNALA,5465,CHINNA DORNALA,PK2189,15.90072,79.17243,CHINADORNALA MPP SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,DORNALA,5465,GANTAVANIPALLI,PK5057,15.9164,78.99686,GANTAVANIPALLI MPP SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,DORNALA,5465,KATAKANIPALLI,PK5004,15.856143,79.197746,KATAKANIPALLI MPP SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,GIDDALURU,5466,ADIMURTHIPALLI,PK2196,15.2167,78.89069,ADIMURTHIPALLI SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,GIDDALURU,5466,AMBAVARAM,PK2028,15.37509,78.92957,AMBAVARAM GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,GIDDALURU,5466,AMBAVARAM,PK2165,15.36943,78.8841,AMBAVARAM GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,GIDDALURU,5466,KONGALAVEEDU,PK2097,15.3236,78.97394,KONGALAVEED  GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,GIDDALURU,5466,NARAVA,PK2137,15.3831,79.00804,NARAVA SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,GIDDALURU,5466,TAMBALLAPALLI,PK2033,15.27036,78.99873,TAMBALIPALLI SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,GIDDALURU,5466,TIMMAPURAM,PK2096,15.46243,78.9663,TIMMAPURAM GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,GUDLURU,5467,ADAVIRAJUPALEM,PK2070,15.07167,79.89641,ADAVIRAJUPALEM SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,GUDLURU,5467,AMMAVARIPALEM,NL2064,14.96387,79.88548,AMMAVARI PALEM,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,GUDLURU,5467,AMMAVARIPALEM,NL2061,14.97377,79.94533,AMMAVARI PALEM,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,GUDLURU,5467,BASIREDDYPALEM,PK2167,15.12495,79.89837,BASIREDDY PALEMGP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,GUDLURU,5467,CHEVURU,NL2050,14.97953,80.0083,CHEVURU GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,GUDLURU,5467,CHEVURU,PK2187,15.04559,80.04436,CHEVURU GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,GUDLURU,5467,MOCHERLA,PK2007,15.08765,80.00594,M0CHARLA GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,HANUMANTHUNI PADU,5468,DASARIPALLI,PK2200,15.52935,79.34018,DASARIPALLI SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,HANUMANTHUNI PADU,5468,DASARIPALLI,PK2029,15.55394,79.42124,DASARIPALLI SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,HANUMANTHUNI PADU,5468,DASARIPALLI,PK2071,15.46029,79.40667,DASARIPALLI SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,HANUMANTHUNI PADU,5468,MITTAPALEM,PK2016,15.40042,79.50365,MITTAPALEM SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,HANUMANTHUNI PADU,5468,MITTAPALEM,PK2125,15.40433,79.5075,MITTAPALEM SCHOOL,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,INKOLLU,5469,DUDDUKURU,PK2181,15.78084,80.13731,Dudukuru Community Hall,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,INKOLLU,5469,GANGAVARAM,PK2074,15.81486,80.10827,Gangavaram GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,INKOLLU,5469,IDUPULAPADU,PK2176,15.93076,80.23052,Idupulapadu GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,INKOLLU,5469,IDUPULAPADU,PK2073,15.90448,80.1958,Idupulapadu GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,INKOLLU,5469,IDUPULAPADU,PK2183,15.94066,80.17097,Idupulapadu GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,INKOLLU,5469,IDUPULAPADU,PK2141,15.91479,80.13873,Idupulapadu GP,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,JANAKAVARAM PONGULURU,5470,Alavalapadu,PK2099,15.73961,80.08511,Alavalapadu Gp,9,12,
ANDHRA PRADESH                                    ,28,PRAKASAM,549,KANDUKUR,5471,ANANDAPURAM,PK2003,15.21612,79.90423,ANANDAPURAM,9,12,
