State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,population
ASSAM,18,SIVASAGAR,311,AMGURI,2693,AMGURI,AMG001,26.812334,94.520389,AMGURI,9,12,
ASSAM,18,SIVASAGAR,311,AMGURI,2693,BHUYAHAT,KHONI1,26.87988,94.54374,BHUYAHAT,9,12,
ASSAM,18,SIVASAGAR,311,AMGURI,2693,BHUYAHAT,SLG001,26.7954722,94.488694,BHUYAHAT,9,12,
ASSAM,18,SIVASAGAR,311,AMGURI,2693,BHUYAHAT,JGU001,26.870084,94.504556,BHUYAHAT,9,12,
ASSAM,18,SIVASAGAR,311,AMGURI,2693,BHUYAHAT,BPK001,26.87111,94.46798,BHUYAHAT,9,12,
ASSAM,18,SIVASAGAR,311,AMGURI,2693,NAMTIALI,NMT001,26.876,94.644223,NAMTIALI,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,BARUAPUKHURI,KAG001,26.924056,94.627528,BARUAPUKHURI,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,CHARING,KHM001,26.926862,94.477528,CHARING,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,CHARING,GAU001,26.948059,94.536695,CHARING,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,DIKHOWMUKH,DIKHO1,26.96835,94.4917,DIKHOWMUKH,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,HATIGHULI,BHOTI1,26.95399,94.57204,HATIGHULI,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,MOGORAHAT,USS330,26.97485,94.62904,MOGORAHAT,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,MOGORAHAT,SIB020,26.956244,94.617368,MOGORAHAT,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,MOGORAHAT,NSB001,26.97175,94.62275,MOGORAHAT,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,RONGPUR,NSB005,26.98325,94.651695,RONGPUR,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,RONGPUR,NSB004,26.995,94.62475,RONGPUR,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,RONGPUR,SIB006,26.984167,94.632,RONGPUR,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,RONGPUR,SIB007,26.991723,94.640445,RONGPUR,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,RONGPUR,SIB008,26.985167,94.637112,RONGPUR,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,RONGPUR,SIB019,26.97481,94.6794,RONGPUR,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,RONGPUR,SIB013,26.981139,94.629528,RONGPUR,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,RONGPUR,SIB012,26.986338,94.644324,RONGPUR,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,RONGPUR,SIB011,26.978778,94.635473,RONGPUR,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,RONGPUR,SIB010,26.978223,94.643306,RONGPUR,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,RONGPUR,MEC001,26.948834,94.677056,RONGPUR,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,RONGPUR,NSB002,26.988614,94.631942,RONGPUR,9,12,
ASSAM,18,SIVASAGAR,311,GAURISAGAR,2695,RONGPUR,USS319,26.98548,94.6204,RONGPUR,9,12,
ASSAM,18,SIVASAGAR,311,SAPEKHATI,2698,AHUKHAT,SAP001,27.100556,95.155723,AHUKHAT,9,12,
ASSAM,18,SIVASAGAR,311,SAPEKHATI,2698,BENGENABARI,TOW001,26.993612,95.066056,BENGENABARI,9,12,
ASSAM,18,SIVASAGAR,311,SAPEKHATI,2698,BHUYANKHAT,BOT001,27.162061,95.275032,BHUYANKHAT,9,12,
ASSAM,18,SIVASAGAR,311,SAPEKHATI,2698,BHUYANKHAT,SNT001,27.200084,95.265223,BHUYANKHAT,9,12,
ASSAM,18,SIVASAGAR,311,SAPEKHATI,2698,BORHAT,NRP001,27.179444,95.349166,BORHAT,9,12,
ASSAM,18,SIVASAGAR,311,SAPEKHATI,2698,SARUPATHER,TEK001,27.055639,95.030389,SARUPATHER,9,12,
ASSAM,18,SIVASAGAR,311,SONARI,2700,Bhoralipukhuri,SON002,27.025778,95.019445,Bhoralipukhuri,9,12,
ASSAM,18,SIVASAGAR,311,SONARI,2700,Bhoralipukhuri,SON001,27.029195,95.013445,Bhoralipukhuri,9,12,
ASSAM,18,SIVASAGAR,311,SONARI,2700,Bhoralipukhuri,JOJ001,27.0762,94.93121,Bhoralipukhuri,9,12,
ASSAM,18,SIVASAGAR,311,SONARI,2700,Bordoba,MAN001,27.185862,94.914084,Bordoba,9,12,
ASSAM,18,SIVASAGAR,311,SONARI,2700,Bordoba,MAN002,27.18985,94.921517,Bordoba,9,12,
