State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,population
ASSAM,18,BARPETA,303,PAKABETBARI,2498,Dakshin Pashim Betbari,BPT010,26.327778,90.99525,Dakshin Pashim Betbari,9,12,
ASSAM,18,BARPETA,303,PAKABETBARI,2498,Dakshin Pashim Betbari,HOWLY2,26.420139,90.975612,Dakshin Pashim Betbari,9,12,
ASSAM,18,BARPETA,303,PAKABETBARI,2498,Dakshin Pashim Betbari,HOWLY1,26.42736,90.97047,Dakshin Pashim Betbari,9,12,
ASSAM,18,BARPETA,303,PAKABETBARI,2498,Dakshin Pashim Betbari,KKC001,26.395973,91.066084,Dakshin Pashim Betbari,9,12,
ASSAM,18,BARPETA,303,PAKABETBARI,2498,Dakshin Pashim Betbari,BPT004,26.323723,91.001834,Dakshin Pashim Betbari,9,12,
ASSAM,18,BARPETA,303,PAKABETBARI,2498,Dakshin Pashim Betbari,BPT001,26.328862,91.012806,Dakshin Pashim Betbari,9,12,
ASSAM,18,BARPETA,303,PAKABETBARI,2498,Dakshin Pub Paka,GAHIY1,26.331889,91.1505,Dakshin Pub Paka,9,12,
ASSAM,18,BARPETA,303,PAKABETBARI,2498,Dakshin Pub Paka,SAT001,26.36464,91.22359,Dakshin Pub Paka,9,12,
ASSAM,18,BARPETA,303,PAKABETBARI,2498,Pashim Betbari,KDP001,26.400334,90.942473,Pashim Betbari,9,12,
ASSAM,18,BARPETA,303,PAKABETBARI,2498,Uttar Betbari,MAJGA1,26.478778,91.011528,Uttar Betbari,9,12,
ASSAM,18,BARPETA,303,PAKABETBARI,2498,Uttar Pub Betbari,BHAWA1,26.4714444444,91.0686944444,Uttar Pub Betbari,9,12,
ASSAM,18,BARPETA,303,PAKABETBARI,2498,Dakshin Betbari,BPT006,26.31435,91.01255,Dakshin Betbari,9,12,
